"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2911775","NDSU13","SRR4345507","SRR14766434","SRR5904974","SRR6683743","SRR6278424","SRR14766455","SRR2077395","SRR14767695","SRR1511527","SRR14766433","SRR3037434","SRR13641955","SRR14766368"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"NCJKFECA_04383","GBFFMACB_03624","JGOBPIKM_04399","JAJDIPKB_04548","EDAOGEGO_04479","OCPBJCHP_04308","ELDOCFMP_04499","BHJELCCI_04229","CKEGPAKG_04090","IJEALMHG_04096","BENFFAFO_04429","JOCLDNKJ_04174","ENBCENPF_04452","KKHOBGKP_04586","DLDIJGFH_04386"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"NCJKFECA_04380","GBFFMACB_03627","JGOBPIKM_04396","JAJDIPKB_03248","EDAOGEGO_04476","OCPBJCHP_04311","ELDOCFMP_04502","BHJELCCI_04226","CKEGPAKG_04087","IJEALMHG_04093","BENFFAFO_04426","JOCLDNKJ_04171","ENBCENPF_04455","KKHOBGKP_04583","DLDIJGFH_04389"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"NCJKFECA_04359","GBFFMACB_03648","JGOBPIKM_04375","JAJDIPKB_03227","EDAOGEGO_04455","OCPBJCHP_04332","ELDOCFMP_04523","BHJELCCI_04205","CKEGPAKG_04066","IJEALMHG_04072","BENFFAFO_04405","JOCLDNKJ_04150","ENBCENPF_04476","KKHOBGKP_04562","DLDIJGFH_04410"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"NCJKFECA_04412","GBFFMACB_03687","JGOBPIKM_04428","JAJDIPKB_03646","EDAOGEGO_04508","OCPBJCHP_04275","ELDOCFMP_04564","BHJELCCI_04164","CKEGPAKG_04124","IJEALMHG_03979","BENFFAFO_04359","JOCLDNKJ_04207","ENBCENPF_04518","KKHOBGKP_04517","DLDIJGFH_04452"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"NCJKFECA_04475","GBFFMACB_04138","JGOBPIKM_04488","JAJDIPKB_04249","EDAOGEGO_04584","OCPBJCHP_04437","ELDOCFMP_04594","BHJELCCI_04566","CKEGPAKG_04262","IJEALMHG_04253","BENFFAFO_04436","JOCLDNKJ_04318","ENBCENPF_04569","KKHOBGKP_04593","DLDIJGFH_04546"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"NCJKFECA_02075","GBFFMACB_00659","JGOBPIKM_04178","JAJDIPKB_01922","EDAOGEGO_03083","OCPBJCHP_03089","ELDOCFMP_00073","BHJELCCI_02123","CKEGPAKG_02967","IJEALMHG_01288","BENFFAFO_00777","JOCLDNKJ_02035","ENBCENPF_00074","KKHOBGKP_01341","DLDIJGFH_02748"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"NCJKFECA_04225","GBFFMACB_03336","JGOBPIKM_01805","JAJDIPKB_04004","EDAOGEGO_00437","OCPBJCHP_04552","ELDOCFMP_01103","BHJELCCI_03132","CKEGPAKG_03840","IJEALMHG_04433","BENFFAFO_00008","JOCLDNKJ_03393","ENBCENPF_02789","KKHOBGKP_01907","DLDIJGFH_00008"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"NCJKFECA_01972","GBFFMACB_00556","JGOBPIKM_01236","JAJDIPKB_02292","EDAOGEGO_02980","OCPBJCHP_02330","ELDOCFMP_00176","BHJELCCI_02020","CKEGPAKG_03213","IJEALMHG_02341","BENFFAFO_00674","JOCLDNKJ_03880","ENBCENPF_00177","KKHOBGKP_01238","DLDIJGFH_02851"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"NCJKFECA_00360","GBFFMACB_01550","JGOBPIKM_00700","JAJDIPKB_02780","EDAOGEGO_03203","OCPBJCHP_03628","ELDOCFMP_01157","BHJELCCI_00361","CKEGPAKG_01472","IJEALMHG_00573","BENFFAFO_04088","JOCLDNKJ_02494","ENBCENPF_01129","KKHOBGKP_00700","DLDIJGFH_01218"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"NCJKFECA_00356","GBFFMACB_01546","JGOBPIKM_00696","JAJDIPKB_02776","EDAOGEGO_03207","OCPBJCHP_03632","ELDOCFMP_01161","BHJELCCI_00357","CKEGPAKG_01476","IJEALMHG_00577","BENFFAFO_04092","JOCLDNKJ_02490","ENBCENPF_01133","KKHOBGKP_00696","DLDIJGFH_01214"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"NCJKFECA_00353","GBFFMACB_01543","JGOBPIKM_00693","JAJDIPKB_02773","EDAOGEGO_03210","OCPBJCHP_03635","ELDOCFMP_01164","BHJELCCI_00354","CKEGPAKG_01479","IJEALMHG_00580","BENFFAFO_04095","JOCLDNKJ_02487","ENBCENPF_01136","KKHOBGKP_00693","DLDIJGFH_01211"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"NCJKFECA_00352","GBFFMACB_01542","JGOBPIKM_00692","JAJDIPKB_02772","EDAOGEGO_03211","OCPBJCHP_03636","ELDOCFMP_01165","BHJELCCI_00353","CKEGPAKG_01480","IJEALMHG_00581","BENFFAFO_04096","JOCLDNKJ_02486","ENBCENPF_01137","KKHOBGKP_00692","DLDIJGFH_01210"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"NCJKFECA_00327","GBFFMACB_01517","JGOBPIKM_00667","JAJDIPKB_02747","EDAOGEGO_03236","OCPBJCHP_03661","ELDOCFMP_01190","BHJELCCI_00328","CKEGPAKG_01505","IJEALMHG_00606","BENFFAFO_04121","JOCLDNKJ_02461","ENBCENPF_01162","KKHOBGKP_00667","DLDIJGFH_01185"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"NCJKFECA_00326","GBFFMACB_01516","JGOBPIKM_00666","JAJDIPKB_02746","EDAOGEGO_03237","OCPBJCHP_03662","ELDOCFMP_01191","BHJELCCI_00327","CKEGPAKG_01506","IJEALMHG_00607","BENFFAFO_04122","JOCLDNKJ_02460","ENBCENPF_01163","KKHOBGKP_00666","DLDIJGFH_01184"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"NCJKFECA_00325","GBFFMACB_01515","JGOBPIKM_00665","JAJDIPKB_02745","EDAOGEGO_03238","OCPBJCHP_03663","ELDOCFMP_01192","BHJELCCI_00326","CKEGPAKG_01507","IJEALMHG_00608","BENFFAFO_04123","JOCLDNKJ_02459","ENBCENPF_01164","KKHOBGKP_00665","DLDIJGFH_01183"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"NCJKFECA_00310","GBFFMACB_01500","JGOBPIKM_00650","JAJDIPKB_00733","EDAOGEGO_03253","OCPBJCHP_03678","ELDOCFMP_01207","BHJELCCI_00311","CKEGPAKG_01522","IJEALMHG_00623","BENFFAFO_03377","JOCLDNKJ_02444","ENBCENPF_01180","KKHOBGKP_00650","DLDIJGFH_01168"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"NCJKFECA_00300","GBFFMACB_01490","JGOBPIKM_00640","JAJDIPKB_00723","EDAOGEGO_03263","OCPBJCHP_03688","ELDOCFMP_01217","BHJELCCI_00301","CKEGPAKG_01532","IJEALMHG_00633","BENFFAFO_03367","JOCLDNKJ_02434","ENBCENPF_01190","KKHOBGKP_00640","DLDIJGFH_01158"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"NCJKFECA_00298","GBFFMACB_01488","JGOBPIKM_00638","JAJDIPKB_00721","EDAOGEGO_03265","OCPBJCHP_03690","ELDOCFMP_01219","BHJELCCI_00299","CKEGPAKG_01534","IJEALMHG_00635","BENFFAFO_03365","JOCLDNKJ_02432","ENBCENPF_01192","KKHOBGKP_00638","DLDIJGFH_01156"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"NCJKFECA_00273","GBFFMACB_01463","JGOBPIKM_00613","JAJDIPKB_00696","EDAOGEGO_03290","OCPBJCHP_02519","ELDOCFMP_01244","BHJELCCI_00274","CKEGPAKG_01559","IJEALMHG_00660","BENFFAFO_03340","JOCLDNKJ_02407","ENBCENPF_01217","KKHOBGKP_00613","DLDIJGFH_01131"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"NCJKFECA_00269","GBFFMACB_01459","JGOBPIKM_00609","JAJDIPKB_00692","EDAOGEGO_03294","OCPBJCHP_02515","ELDOCFMP_01248","BHJELCCI_00270","CKEGPAKG_01563","IJEALMHG_00664","BENFFAFO_03336","JOCLDNKJ_02403","ENBCENPF_01221","KKHOBGKP_00609","DLDIJGFH_01127"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"NCJKFECA_00259","GBFFMACB_01449","JGOBPIKM_00599","JAJDIPKB_00682","EDAOGEGO_03304","OCPBJCHP_02505","ELDOCFMP_01258","BHJELCCI_00260","CKEGPAKG_01573","IJEALMHG_00674","BENFFAFO_03326","JOCLDNKJ_00556","ENBCENPF_01231","KKHOBGKP_00599","DLDIJGFH_01117"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"NCJKFECA_00258","GBFFMACB_01448","JGOBPIKM_00598","JAJDIPKB_00681","EDAOGEGO_03305","OCPBJCHP_02504","ELDOCFMP_01259","BHJELCCI_00259","CKEGPAKG_01574","IJEALMHG_00675","BENFFAFO_03325","JOCLDNKJ_00557","ENBCENPF_01232","KKHOBGKP_00598","DLDIJGFH_01116"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"NCJKFECA_00239","GBFFMACB_01429","JGOBPIKM_00579","JAJDIPKB_00662","EDAOGEGO_03324","OCPBJCHP_02485","ELDOCFMP_01278","BHJELCCI_00240","CKEGPAKG_01593","IJEALMHG_00694","BENFFAFO_03306","JOCLDNKJ_00576","ENBCENPF_01251","KKHOBGKP_00579","DLDIJGFH_01097"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"NCJKFECA_00224","GBFFMACB_01414","JGOBPIKM_00564","JAJDIPKB_00647","EDAOGEGO_03339","OCPBJCHP_02470","ELDOCFMP_01293","BHJELCCI_00225","CKEGPAKG_01608","IJEALMHG_00709","BENFFAFO_03291","JOCLDNKJ_00591","ENBCENPF_01266","KKHOBGKP_00564","DLDIJGFH_01082"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"NCJKFECA_00210","GBFFMACB_01400","JGOBPIKM_00550","JAJDIPKB_00633","EDAOGEGO_03353","OCPBJCHP_02456","ELDOCFMP_01307","BHJELCCI_00211","CKEGPAKG_01622","IJEALMHG_00723","BENFFAFO_03277","JOCLDNKJ_00605","ENBCENPF_01280","KKHOBGKP_00550","DLDIJGFH_01068"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"NCJKFECA_00198","GBFFMACB_01388","JGOBPIKM_00538","JAJDIPKB_03888","EDAOGEGO_03365","OCPBJCHP_02444","ELDOCFMP_01319","BHJELCCI_00199","CKEGPAKG_01634","IJEALMHG_00735","BENFFAFO_03265","JOCLDNKJ_00617","ENBCENPF_01292","KKHOBGKP_00538","DLDIJGFH_01056"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"NCJKFECA_00192","GBFFMACB_01382","JGOBPIKM_00532","JAJDIPKB_03894","EDAOGEGO_03371","OCPBJCHP_02438","ELDOCFMP_01325","BHJELCCI_00193","CKEGPAKG_01640","IJEALMHG_00741","BENFFAFO_03259","JOCLDNKJ_00623","ENBCENPF_01298","KKHOBGKP_00532","DLDIJGFH_01050"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"NCJKFECA_00191","GBFFMACB_00732","JGOBPIKM_00531","JAJDIPKB_03895","EDAOGEGO_03372","OCPBJCHP_02437","ELDOCFMP_01326","BHJELCCI_00192","CKEGPAKG_01641","IJEALMHG_00742","BENFFAFO_03258","JOCLDNKJ_00624","ENBCENPF_01299","KKHOBGKP_00531","DLDIJGFH_01049"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"NCJKFECA_00188","GBFFMACB_00735","JGOBPIKM_00528","JAJDIPKB_03898","EDAOGEGO_03375","OCPBJCHP_02434","ELDOCFMP_01329","BHJELCCI_00189","CKEGPAKG_01644","IJEALMHG_00745","BENFFAFO_03255","JOCLDNKJ_00627","ENBCENPF_01302","KKHOBGKP_00528","DLDIJGFH_01046"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"NCJKFECA_00182","GBFFMACB_00741","JGOBPIKM_00522","JAJDIPKB_03904","EDAOGEGO_03381","OCPBJCHP_02428","ELDOCFMP_01335","BHJELCCI_00183","CKEGPAKG_01650","IJEALMHG_00751","BENFFAFO_03249","JOCLDNKJ_00633","ENBCENPF_01308","KKHOBGKP_00522","DLDIJGFH_01040"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"NCJKFECA_00181","GBFFMACB_00742","JGOBPIKM_00521","JAJDIPKB_04245","EDAOGEGO_03382","OCPBJCHP_02427","ELDOCFMP_01336","BHJELCCI_00182","CKEGPAKG_01651","IJEALMHG_00752","BENFFAFO_03248","JOCLDNKJ_00634","ENBCENPF_01309","KKHOBGKP_00521","DLDIJGFH_01039"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"NCJKFECA_00051","GBFFMACB_00872","JGOBPIKM_00391","JAJDIPKB_02645","EDAOGEGO_03985","OCPBJCHP_03756","ELDOCFMP_01466","BHJELCCI_00051","CKEGPAKG_02352","IJEALMHG_02846","BENFFAFO_03911","JOCLDNKJ_00763","ENBCENPF_01439","KKHOBGKP_00391","DLDIJGFH_00909"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"NCJKFECA_00050","GBFFMACB_00873","JGOBPIKM_00390","JAJDIPKB_02646","EDAOGEGO_03984","OCPBJCHP_03755","ELDOCFMP_01467","BHJELCCI_00050","CKEGPAKG_02353","IJEALMHG_02845","BENFFAFO_03910","JOCLDNKJ_00764","ENBCENPF_01440","KKHOBGKP_00390","DLDIJGFH_00908"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"NCJKFECA_00047","GBFFMACB_00876","JGOBPIKM_00387","JAJDIPKB_02649","EDAOGEGO_03981","OCPBJCHP_03752","ELDOCFMP_01470","BHJELCCI_00047","CKEGPAKG_02356","IJEALMHG_02842","BENFFAFO_03907","JOCLDNKJ_00767","ENBCENPF_01443","KKHOBGKP_00387","DLDIJGFH_00905"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"NCJKFECA_00045","GBFFMACB_00878","JGOBPIKM_00385","JAJDIPKB_02651","EDAOGEGO_03979","OCPBJCHP_03750","ELDOCFMP_01472","BHJELCCI_00045","CKEGPAKG_02358","IJEALMHG_02840","BENFFAFO_03905","JOCLDNKJ_00769","ENBCENPF_01445","KKHOBGKP_00385","DLDIJGFH_00903"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"NCJKFECA_00040","GBFFMACB_00883","JGOBPIKM_00380","JAJDIPKB_02656","EDAOGEGO_03974","OCPBJCHP_03745","ELDOCFMP_01477","BHJELCCI_00040","CKEGPAKG_02363","IJEALMHG_02835","BENFFAFO_03900","JOCLDNKJ_00774","ENBCENPF_01450","KKHOBGKP_00380","DLDIJGFH_00898"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"NCJKFECA_00002","GBFFMACB_00921","JGOBPIKM_00342","JAJDIPKB_04388","EDAOGEGO_03936","OCPBJCHP_03707","ELDOCFMP_01515","BHJELCCI_00002","CKEGPAKG_02401","IJEALMHG_04563","BENFFAFO_03862","JOCLDNKJ_00812","ENBCENPF_01488","KKHOBGKP_00342","DLDIJGFH_00860"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"NCJKFECA_03798","GBFFMACB_00928","JGOBPIKM_00335","JAJDIPKB_02561","EDAOGEGO_02254","OCPBJCHP_00730","ELDOCFMP_02904","BHJELCCI_00779","CKEGPAKG_00670","IJEALMHG_00805","BENFFAFO_02874","JOCLDNKJ_01484","ENBCENPF_02519","KKHOBGKP_00335","DLDIJGFH_02669"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"NCJKFECA_03788","GBFFMACB_00938","JGOBPIKM_00325","JAJDIPKB_02571","EDAOGEGO_02244","OCPBJCHP_00740","ELDOCFMP_02894","BHJELCCI_00789","CKEGPAKG_00660","IJEALMHG_00815","BENFFAFO_02864","JOCLDNKJ_01474","ENBCENPF_02509","KKHOBGKP_00325","DLDIJGFH_02659"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"NCJKFECA_03781","GBFFMACB_00945","JGOBPIKM_00318","JAJDIPKB_02578","EDAOGEGO_02237","OCPBJCHP_00747","ELDOCFMP_02887","BHJELCCI_00796","CKEGPAKG_00653","IJEALMHG_00822","BENFFAFO_02857","JOCLDNKJ_01467","ENBCENPF_02502","KKHOBGKP_00318","DLDIJGFH_02652"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"NCJKFECA_03773","GBFFMACB_00953","JGOBPIKM_00310","JAJDIPKB_02586","EDAOGEGO_02229","OCPBJCHP_00755","ELDOCFMP_02879","BHJELCCI_00804","CKEGPAKG_00645","IJEALMHG_00830","BENFFAFO_02849","JOCLDNKJ_01459","ENBCENPF_02494","KKHOBGKP_00310","DLDIJGFH_02644"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"NCJKFECA_03737","GBFFMACB_04780","JGOBPIKM_00274","JAJDIPKB_02622","EDAOGEGO_02193","OCPBJCHP_00791","ELDOCFMP_02843","BHJELCCI_00840","CKEGPAKG_00609","IJEALMHG_00866","BENFFAFO_02813","JOCLDNKJ_01423","ENBCENPF_02458","KKHOBGKP_00274","DLDIJGFH_02608"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"NCJKFECA_03707","GBFFMACB_02799","JGOBPIKM_00244","JAJDIPKB_00965","EDAOGEGO_02163","OCPBJCHP_00821","ELDOCFMP_02813","BHJELCCI_00870","CKEGPAKG_00579","IJEALMHG_00896","BENFFAFO_02783","JOCLDNKJ_01393","ENBCENPF_02428","KKHOBGKP_00244","DLDIJGFH_02578"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"NCJKFECA_03701","GBFFMACB_02793","JGOBPIKM_00238","JAJDIPKB_00971","EDAOGEGO_02157","OCPBJCHP_00827","ELDOCFMP_02807","BHJELCCI_00876","CKEGPAKG_00573","IJEALMHG_00902","BENFFAFO_02777","JOCLDNKJ_01387","ENBCENPF_02422","KKHOBGKP_00238","DLDIJGFH_02572"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"NCJKFECA_03700","GBFFMACB_02792","JGOBPIKM_00237","JAJDIPKB_00972","EDAOGEGO_02156","OCPBJCHP_00828","ELDOCFMP_02806","BHJELCCI_00877","CKEGPAKG_00572","IJEALMHG_00903","BENFFAFO_02776","JOCLDNKJ_01386","ENBCENPF_02421","KKHOBGKP_00237","DLDIJGFH_02571"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"NCJKFECA_03331","GBFFMACB_02761","JGOBPIKM_00206","JAJDIPKB_01002","EDAOGEGO_02125","OCPBJCHP_00859","ELDOCFMP_02775","BHJELCCI_00908","CKEGPAKG_00542","IJEALMHG_00933","BENFFAFO_02745","JOCLDNKJ_01356","ENBCENPF_02390","KKHOBGKP_00206","DLDIJGFH_02540"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"NCJKFECA_03329","GBFFMACB_02759","JGOBPIKM_00204","JAJDIPKB_01004","EDAOGEGO_02123","OCPBJCHP_00861","ELDOCFMP_02773","BHJELCCI_00910","CKEGPAKG_00540","IJEALMHG_00935","BENFFAFO_02743","JOCLDNKJ_01354","ENBCENPF_02388","KKHOBGKP_00204","DLDIJGFH_02538"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"NCJKFECA_03323","GBFFMACB_02753","JGOBPIKM_00198","JAJDIPKB_01010","EDAOGEGO_02117","OCPBJCHP_00867","ELDOCFMP_02767","BHJELCCI_00916","CKEGPAKG_00534","IJEALMHG_00941","BENFFAFO_02737","JOCLDNKJ_01348","ENBCENPF_02382","KKHOBGKP_00198","DLDIJGFH_02532"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"NCJKFECA_03316","GBFFMACB_02746","JGOBPIKM_00191","JAJDIPKB_01017","EDAOGEGO_02110","OCPBJCHP_00874","ELDOCFMP_02760","BHJELCCI_00923","CKEGPAKG_00527","IJEALMHG_00948","BENFFAFO_02730","JOCLDNKJ_01341","ENBCENPF_02375","KKHOBGKP_00191","DLDIJGFH_02525"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"NCJKFECA_03312","GBFFMACB_02742","JGOBPIKM_00187","JAJDIPKB_01021","EDAOGEGO_02106","OCPBJCHP_00878","ELDOCFMP_02756","BHJELCCI_00927","CKEGPAKG_00523","IJEALMHG_00952","BENFFAFO_02726","JOCLDNKJ_01337","ENBCENPF_02371","KKHOBGKP_00187","DLDIJGFH_02521"
