"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR1686623","SRR5905281","SRR27708439","NDSU21","SRR1514770","SRR11487643","SRR14766454","SRR14766328","SRR14766420","SRR14766373","SRR5905014","SRR14766446","SRR16976148","SRR1300559","SRR28323406"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"CGKODGEF_03002","GAMKEBON_03063","JJJDFGFB_00357","JOLBHIGI_00391","PNDPEECJ_02503","AMEEEGBM_01953","DHLDAANJ_01474","EFNBFDBI_03330","AKDEMAPK_02492","OCHGHCBG_02727","ACBOEBFK_00994","PGDKEEIB_02133","DNELAEEF_01954","LNAEIHKJ_01346","EKBJKGFA_00395"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"CGKODGEF_03001","GAMKEBON_03064","JJJDFGFB_00358","JOLBHIGI_00390","PNDPEECJ_02504","AMEEEGBM_01954","DHLDAANJ_01473","EFNBFDBI_03329","AKDEMAPK_02493","OCHGHCBG_02726","ACBOEBFK_00993","PGDKEEIB_02134","DNELAEEF_01955","LNAEIHKJ_01347","EKBJKGFA_00394"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"CGKODGEF_02998","GAMKEBON_03067","JJJDFGFB_00361","JOLBHIGI_00387","PNDPEECJ_02507","AMEEEGBM_01957","DHLDAANJ_01470","EFNBFDBI_03326","AKDEMAPK_02496","OCHGHCBG_02723","ACBOEBFK_00990","PGDKEEIB_02137","DNELAEEF_01958","LNAEIHKJ_01350","EKBJKGFA_00391"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"CGKODGEF_02996","GAMKEBON_03069","JJJDFGFB_00363","JOLBHIGI_00385","PNDPEECJ_02509","AMEEEGBM_01959","DHLDAANJ_01468","EFNBFDBI_03324","AKDEMAPK_02498","OCHGHCBG_02721","ACBOEBFK_00988","PGDKEEIB_02139","DNELAEEF_01960","LNAEIHKJ_01352","EKBJKGFA_00389"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"CGKODGEF_02991","GAMKEBON_03074","JJJDFGFB_00368","JOLBHIGI_00380","PNDPEECJ_02514","AMEEEGBM_01964","DHLDAANJ_01463","EFNBFDBI_03319","AKDEMAPK_02503","OCHGHCBG_02716","ACBOEBFK_00983","PGDKEEIB_02144","DNELAEEF_01965","LNAEIHKJ_01357","EKBJKGFA_00384"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"CGKODGEF_00931","GAMKEBON_03112","JJJDFGFB_00406","JOLBHIGI_00342","PNDPEECJ_02552","AMEEEGBM_02002","DHLDAANJ_04338","EFNBFDBI_03281","AKDEMAPK_04408","OCHGHCBG_02678","ACBOEBFK_04605","PGDKEEIB_02182","DNELAEEF_02003","LNAEIHKJ_01395","EKBJKGFA_00346"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"CGKODGEF_00938","GAMKEBON_03659","JJJDFGFB_00413","JOLBHIGI_00335","PNDPEECJ_03741","AMEEEGBM_03061","DHLDAANJ_00396","EFNBFDBI_02977","AKDEMAPK_03697","OCHGHCBG_00674","ACBOEBFK_02801","PGDKEEIB_03657","DNELAEEF_03390","LNAEIHKJ_01402","EKBJKGFA_00339"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"CGKODGEF_00948","GAMKEBON_03649","JJJDFGFB_00423","JOLBHIGI_00325","PNDPEECJ_03751","AMEEEGBM_03071","DHLDAANJ_00386","EFNBFDBI_02967","AKDEMAPK_03687","OCHGHCBG_00684","ACBOEBFK_02791","PGDKEEIB_03647","DNELAEEF_03380","LNAEIHKJ_01412","EKBJKGFA_00329"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"CGKODGEF_00955","GAMKEBON_03642","JJJDFGFB_00430","JOLBHIGI_00318","PNDPEECJ_03758","AMEEEGBM_03078","DHLDAANJ_00379","EFNBFDBI_02960","AKDEMAPK_03680","OCHGHCBG_00691","ACBOEBFK_02784","PGDKEEIB_03640","DNELAEEF_03373","LNAEIHKJ_01419","EKBJKGFA_00322"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"CGKODGEF_00963","GAMKEBON_03634","JJJDFGFB_00438","JOLBHIGI_00310","PNDPEECJ_03766","AMEEEGBM_03086","DHLDAANJ_00371","EFNBFDBI_02952","AKDEMAPK_03672","OCHGHCBG_00699","ACBOEBFK_02776","PGDKEEIB_03632","DNELAEEF_03365","LNAEIHKJ_01427","EKBJKGFA_00314"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"CGKODGEF_00999","GAMKEBON_03598","JJJDFGFB_00474","JOLBHIGI_00274","PNDPEECJ_03802","AMEEEGBM_03122","DHLDAANJ_00335","EFNBFDBI_02916","AKDEMAPK_00787","OCHGHCBG_00735","ACBOEBFK_02740","PGDKEEIB_04291","DNELAEEF_03329","LNAEIHKJ_01463","EKBJKGFA_00278"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"CGKODGEF_01029","GAMKEBON_01796","JJJDFGFB_00504","JOLBHIGI_00244","PNDPEECJ_01202","AMEEEGBM_03152","DHLDAANJ_00305","EFNBFDBI_02886","AKDEMAPK_00757","OCHGHCBG_00765","ACBOEBFK_02710","PGDKEEIB_01172","DNELAEEF_03299","LNAEIHKJ_01493","EKBJKGFA_00248"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"CGKODGEF_01035","GAMKEBON_01790","JJJDFGFB_00510","JOLBHIGI_00238","PNDPEECJ_01208","AMEEEGBM_03158","DHLDAANJ_00299","EFNBFDBI_02880","AKDEMAPK_00751","OCHGHCBG_00771","ACBOEBFK_02704","PGDKEEIB_01178","DNELAEEF_03293","LNAEIHKJ_01499","EKBJKGFA_00242"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"CGKODGEF_01036","GAMKEBON_01789","JJJDFGFB_00511","JOLBHIGI_00237","PNDPEECJ_01209","AMEEEGBM_03159","DHLDAANJ_00298","EFNBFDBI_02879","AKDEMAPK_00750","OCHGHCBG_00772","ACBOEBFK_02703","PGDKEEIB_01179","DNELAEEF_03292","LNAEIHKJ_01500","EKBJKGFA_00241"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"CGKODGEF_01067","GAMKEBON_01758","JJJDFGFB_00542","JOLBHIGI_00206","PNDPEECJ_01240","AMEEEGBM_03190","DHLDAANJ_00268","EFNBFDBI_02132","AKDEMAPK_00720","OCHGHCBG_00803","ACBOEBFK_01369","PGDKEEIB_01210","DNELAEEF_03261","LNAEIHKJ_03613","EKBJKGFA_00210"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"CGKODGEF_01069","GAMKEBON_01756","JJJDFGFB_00544","JOLBHIGI_00204","PNDPEECJ_01242","AMEEEGBM_03192","DHLDAANJ_00266","EFNBFDBI_02130","AKDEMAPK_00718","OCHGHCBG_00805","ACBOEBFK_01367","PGDKEEIB_01212","DNELAEEF_03259","LNAEIHKJ_03615","EKBJKGFA_00208"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"CGKODGEF_01075","GAMKEBON_01750","JJJDFGFB_00550","JOLBHIGI_00198","PNDPEECJ_01248","AMEEEGBM_03198","DHLDAANJ_00260","EFNBFDBI_02124","AKDEMAPK_00712","OCHGHCBG_00811","ACBOEBFK_01361","PGDKEEIB_01218","DNELAEEF_03253","LNAEIHKJ_03621","EKBJKGFA_00202"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"CGKODGEF_01082","GAMKEBON_01743","JJJDFGFB_00557","JOLBHIGI_00191","PNDPEECJ_01255","AMEEEGBM_03205","DHLDAANJ_00253","EFNBFDBI_02117","AKDEMAPK_00705","OCHGHCBG_00818","ACBOEBFK_01354","PGDKEEIB_01225","DNELAEEF_03246","LNAEIHKJ_03628","EKBJKGFA_00195"
