"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR15050788","SRR2096540","SRR5883594","SRR5905069","SRR14766450","SRR8280236","SRR27714918","SRR13641955","SRR10037243","SRR16506855","SRR7707918","NDSU8","SRR5904975","SRR23043675","SRR7041697"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"GECBOMLG_04336","NNIFEHJJ_04613","AMMIPIGE_04577","CNBCECDA_04567","MKNLEGFG_04242","ONBKJHEC_04459","JDGPEFCB_04479","KKHOBGKP_04586","OAJCOHFM_04426","MMJAGEHG_04511","BGKOLDCB_03231","CDDPGOFG_03958","EOBMODNK_04568","HFPEINND_04497","NCFACCIB_04141"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"GECBOMLG_04333","NNIFEHJJ_04610","AMMIPIGE_04580","CNBCECDA_04564","MKNLEGFG_04245","ONBKJHEC_04456","JDGPEFCB_04482","KKHOBGKP_04583","OAJCOHFM_04429","MMJAGEHG_04514","BGKOLDCB_03234","CDDPGOFG_03955","EOBMODNK_04565","HFPEINND_04500","NCFACCIB_04144"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"GECBOMLG_04312","NNIFEHJJ_04589","AMMIPIGE_04601","CNBCECDA_04543","MKNLEGFG_04266","ONBKJHEC_04435","JDGPEFCB_04503","KKHOBGKP_04562","OAJCOHFM_04450","MMJAGEHG_04535","BGKOLDCB_03255","CDDPGOFG_03934","EOBMODNK_04544","HFPEINND_04521","NCFACCIB_04165"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"GECBOMLG_04365","NNIFEHJJ_04548","AMMIPIGE_04643","CNBCECDA_04596","MKNLEGFG_04213","ONBKJHEC_04352","JDGPEFCB_04544","KKHOBGKP_04517","OAJCOHFM_04393","MMJAGEHG_04482","BGKOLDCB_03345","CDDPGOFG_04214","EOBMODNK_04598","HFPEINND_04468","NCFACCIB_04108"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"GECBOMLG_04558","NNIFEHJJ_04618","AMMIPIGE_04702","CNBCECDA_04649","MKNLEGFG_04565","ONBKJHEC_04596","JDGPEFCB_04596","KKHOBGKP_04593","OAJCOHFM_04469","MMJAGEHG_04604","BGKOLDCB_04363","CDDPGOFG_04492","EOBMODNK_04627","HFPEINND_04540","NCFACCIB_04327"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"GECBOMLG_01003","NNIFEHJJ_00594","AMMIPIGE_03844","CNBCECDA_02936","MKNLEGFG_00852","ONBKJHEC_02086","JDGPEFCB_00073","KKHOBGKP_01341","OAJCOHFM_00818","MMJAGEHG_00074","BGKOLDCB_00633","CDDPGOFG_02791","EOBMODNK_00596","HFPEINND_00074","NCFACCIB_00466"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"GECBOMLG_00922","NNIFEHJJ_01158","AMMIPIGE_00008","CNBCECDA_04356","MKNLEGFG_03880","ONBKJHEC_04585","JDGPEFCB_01589","KKHOBGKP_01907","OAJCOHFM_03166","MMJAGEHG_01161","BGKOLDCB_04289","CDDPGOFG_03479","EOBMODNK_03320","HFPEINND_01161","NCFACCIB_04551"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"GECBOMLG_01106","NNIFEHJJ_00491","AMMIPIGE_04046","CNBCECDA_02833","MKNLEGFG_00955","ONBKJHEC_02189","JDGPEFCB_00176","KKHOBGKP_01238","OAJCOHFM_00921","MMJAGEHG_00177","BGKOLDCB_03998","CDDPGOFG_02434","EOBMODNK_00493","HFPEINND_00177","NCFACCIB_00363"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"GECBOMLG_01683","NNIFEHJJ_02367","AMMIPIGE_01318","CNBCECDA_01188","MKNLEGFG_00048","ONBKJHEC_00360","JDGPEFCB_01958","KKHOBGKP_00700","OAJCOHFM_00048","MMJAGEHG_01644","BGKOLDCB_02390","CDDPGOFG_01734","EOBMODNK_01912","HFPEINND_01956","NCFACCIB_01505"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"GECBOMLG_01679","NNIFEHJJ_02363","AMMIPIGE_01322","CNBCECDA_01184","MKNLEGFG_00052","ONBKJHEC_00356","JDGPEFCB_01954","KKHOBGKP_00696","OAJCOHFM_00052","MMJAGEHG_01648","BGKOLDCB_02386","CDDPGOFG_01730","EOBMODNK_01908","HFPEINND_01952","NCFACCIB_01509"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"GECBOMLG_01676","NNIFEHJJ_02360","AMMIPIGE_01325","CNBCECDA_01181","MKNLEGFG_00055","ONBKJHEC_00353","JDGPEFCB_01951","KKHOBGKP_00693","OAJCOHFM_00055","MMJAGEHG_01651","BGKOLDCB_02383","CDDPGOFG_01727","EOBMODNK_01905","HFPEINND_01949","NCFACCIB_01512"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"GECBOMLG_01675","NNIFEHJJ_02359","AMMIPIGE_01326","CNBCECDA_01180","MKNLEGFG_00056","ONBKJHEC_00352","JDGPEFCB_01950","KKHOBGKP_00692","OAJCOHFM_00056","MMJAGEHG_01652","BGKOLDCB_02382","CDDPGOFG_01726","EOBMODNK_01904","HFPEINND_01948","NCFACCIB_01513"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"GECBOMLG_01650","NNIFEHJJ_02334","AMMIPIGE_01351","CNBCECDA_01155","MKNLEGFG_00081","ONBKJHEC_00327","JDGPEFCB_01925","KKHOBGKP_00667","OAJCOHFM_00081","MMJAGEHG_01677","BGKOLDCB_02357","CDDPGOFG_01701","EOBMODNK_01879","HFPEINND_01923","NCFACCIB_01538"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"GECBOMLG_01649","NNIFEHJJ_02333","AMMIPIGE_01352","CNBCECDA_01154","MKNLEGFG_00082","ONBKJHEC_00326","JDGPEFCB_01924","KKHOBGKP_00666","OAJCOHFM_00082","MMJAGEHG_01678","BGKOLDCB_02356","CDDPGOFG_01700","EOBMODNK_01878","HFPEINND_01922","NCFACCIB_01539"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"GECBOMLG_01648","NNIFEHJJ_02332","AMMIPIGE_01353","CNBCECDA_01153","MKNLEGFG_00083","ONBKJHEC_00325","JDGPEFCB_01923","KKHOBGKP_00665","OAJCOHFM_00083","MMJAGEHG_01679","BGKOLDCB_02355","CDDPGOFG_01699","EOBMODNK_01877","HFPEINND_01921","NCFACCIB_01540"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"GECBOMLG_01633","NNIFEHJJ_02316","AMMIPIGE_01368","CNBCECDA_01138","MKNLEGFG_00098","ONBKJHEC_00310","JDGPEFCB_01908","KKHOBGKP_00650","OAJCOHFM_00098","MMJAGEHG_01694","BGKOLDCB_04308","CDDPGOFG_01684","EOBMODNK_01862","HFPEINND_01906","NCFACCIB_02015"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"GECBOMLG_01623","NNIFEHJJ_02306","AMMIPIGE_01378","CNBCECDA_01128","MKNLEGFG_00108","ONBKJHEC_00300","JDGPEFCB_01898","KKHOBGKP_00640","OAJCOHFM_00108","MMJAGEHG_01704","BGKOLDCB_04298","CDDPGOFG_01674","EOBMODNK_01852","HFPEINND_01896","NCFACCIB_02025"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"GECBOMLG_01621","NNIFEHJJ_02304","AMMIPIGE_01380","CNBCECDA_01126","MKNLEGFG_00110","ONBKJHEC_00298","JDGPEFCB_01896","KKHOBGKP_00638","OAJCOHFM_00110","MMJAGEHG_01706","BGKOLDCB_04317","CDDPGOFG_01672","EOBMODNK_01850","HFPEINND_01894","NCFACCIB_02027"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"GECBOMLG_01596","NNIFEHJJ_02279","AMMIPIGE_01405","CNBCECDA_01101","MKNLEGFG_00135","ONBKJHEC_00273","JDGPEFCB_01871","KKHOBGKP_00613","OAJCOHFM_00135","MMJAGEHG_01731","BGKOLDCB_04504","CDDPGOFG_01647","EOBMODNK_01825","HFPEINND_01870","NCFACCIB_02052"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"GECBOMLG_01592","NNIFEHJJ_02275","AMMIPIGE_01409","CNBCECDA_01097","MKNLEGFG_00139","ONBKJHEC_00269","JDGPEFCB_01867","KKHOBGKP_00609","OAJCOHFM_00139","MMJAGEHG_01735","BGKOLDCB_04508","CDDPGOFG_01643","EOBMODNK_01821","HFPEINND_01866","NCFACCIB_02056"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"GECBOMLG_01582","NNIFEHJJ_02265","AMMIPIGE_01419","CNBCECDA_01087","MKNLEGFG_00149","ONBKJHEC_00259","JDGPEFCB_01857","KKHOBGKP_00599","OAJCOHFM_00149","MMJAGEHG_01745","BGKOLDCB_02070","CDDPGOFG_01633","EOBMODNK_01811","HFPEINND_01856","NCFACCIB_02066"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"GECBOMLG_01581","NNIFEHJJ_02264","AMMIPIGE_01420","CNBCECDA_01086","MKNLEGFG_00150","ONBKJHEC_00258","JDGPEFCB_01856","KKHOBGKP_00598","OAJCOHFM_00150","MMJAGEHG_01746","BGKOLDCB_02069","CDDPGOFG_01632","EOBMODNK_01810","HFPEINND_01855","NCFACCIB_02067"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"GECBOMLG_01562","NNIFEHJJ_02245","AMMIPIGE_01439","CNBCECDA_01067","MKNLEGFG_00169","ONBKJHEC_00239","JDGPEFCB_01837","KKHOBGKP_00579","OAJCOHFM_00169","MMJAGEHG_01765","BGKOLDCB_02050","CDDPGOFG_01613","EOBMODNK_01791","HFPEINND_01836","NCFACCIB_02086"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"GECBOMLG_01547","NNIFEHJJ_02230","AMMIPIGE_01454","CNBCECDA_01052","MKNLEGFG_00184","ONBKJHEC_00224","JDGPEFCB_01822","KKHOBGKP_00564","OAJCOHFM_00184","MMJAGEHG_01780","BGKOLDCB_02035","CDDPGOFG_00359","EOBMODNK_01776","HFPEINND_01821","NCFACCIB_02101"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"GECBOMLG_01533","NNIFEHJJ_02216","AMMIPIGE_01468","CNBCECDA_01038","MKNLEGFG_00198","ONBKJHEC_00210","JDGPEFCB_01808","KKHOBGKP_00550","OAJCOHFM_00198","MMJAGEHG_01794","BGKOLDCB_02021","CDDPGOFG_00373","EOBMODNK_01762","HFPEINND_01807","NCFACCIB_02115"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"GECBOMLG_01521","NNIFEHJJ_02204","AMMIPIGE_01480","CNBCECDA_01026","MKNLEGFG_00210","ONBKJHEC_00198","JDGPEFCB_01796","KKHOBGKP_00538","OAJCOHFM_00210","MMJAGEHG_01806","BGKOLDCB_02009","CDDPGOFG_00385","EOBMODNK_01750","HFPEINND_01795","NCFACCIB_02127"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"GECBOMLG_01515","NNIFEHJJ_02198","AMMIPIGE_01486","CNBCECDA_01020","MKNLEGFG_00216","ONBKJHEC_00192","JDGPEFCB_01790","KKHOBGKP_00532","OAJCOHFM_00216","MMJAGEHG_01812","BGKOLDCB_02003","CDDPGOFG_00391","EOBMODNK_01744","HFPEINND_01789","NCFACCIB_02133"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"GECBOMLG_01514","NNIFEHJJ_02197","AMMIPIGE_01487","CNBCECDA_01019","MKNLEGFG_00217","ONBKJHEC_00191","JDGPEFCB_01789","KKHOBGKP_00531","OAJCOHFM_00217","MMJAGEHG_01813","BGKOLDCB_02002","CDDPGOFG_00392","EOBMODNK_01743","HFPEINND_01788","NCFACCIB_02134"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"GECBOMLG_01511","NNIFEHJJ_02194","AMMIPIGE_01490","CNBCECDA_01016","MKNLEGFG_00220","ONBKJHEC_00188","JDGPEFCB_01786","KKHOBGKP_00528","OAJCOHFM_00220","MMJAGEHG_01816","BGKOLDCB_01999","CDDPGOFG_00395","EOBMODNK_01740","HFPEINND_01785","NCFACCIB_02137"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"GECBOMLG_01505","NNIFEHJJ_02188","AMMIPIGE_01496","CNBCECDA_01010","MKNLEGFG_00226","ONBKJHEC_00182","JDGPEFCB_01780","KKHOBGKP_00522","OAJCOHFM_00226","MMJAGEHG_01822","BGKOLDCB_02830","CDDPGOFG_00401","EOBMODNK_01734","HFPEINND_01779","NCFACCIB_02143"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"GECBOMLG_01504","NNIFEHJJ_02187","AMMIPIGE_01497","CNBCECDA_01009","MKNLEGFG_00227","ONBKJHEC_00181","JDGPEFCB_01779","KKHOBGKP_00521","OAJCOHFM_00227","MMJAGEHG_01823","BGKOLDCB_02829","CDDPGOFG_00402","EOBMODNK_01733","HFPEINND_01778","NCFACCIB_02144"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"GECBOMLG_01384","NNIFEHJJ_02057","AMMIPIGE_01626","CNBCECDA_00879","MKNLEGFG_00357","ONBKJHEC_00051","JDGPEFCB_01650","KKHOBGKP_00391","OAJCOHFM_00357","MMJAGEHG_01953","BGKOLDCB_00951","CDDPGOFG_00532","EOBMODNK_01619","HFPEINND_01648","NCFACCIB_01595"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"GECBOMLG_01383","NNIFEHJJ_02056","AMMIPIGE_01627","CNBCECDA_00878","MKNLEGFG_00358","ONBKJHEC_00050","JDGPEFCB_01649","KKHOBGKP_00390","OAJCOHFM_00358","MMJAGEHG_01954","BGKOLDCB_00952","CDDPGOFG_00533","EOBMODNK_01618","HFPEINND_01647","NCFACCIB_01594"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"GECBOMLG_01380","NNIFEHJJ_02053","AMMIPIGE_01630","CNBCECDA_00875","MKNLEGFG_00361","ONBKJHEC_00047","JDGPEFCB_01646","KKHOBGKP_00387","OAJCOHFM_00361","MMJAGEHG_01957","BGKOLDCB_00955","CDDPGOFG_00536","EOBMODNK_01615","HFPEINND_01644","NCFACCIB_01591"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"GECBOMLG_01378","NNIFEHJJ_02051","AMMIPIGE_01632","CNBCECDA_00873","MKNLEGFG_00363","ONBKJHEC_00045","JDGPEFCB_01644","KKHOBGKP_00385","OAJCOHFM_00363","MMJAGEHG_01959","BGKOLDCB_00957","CDDPGOFG_00538","EOBMODNK_01613","HFPEINND_01642","NCFACCIB_01589"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"GECBOMLG_01373","NNIFEHJJ_02046","AMMIPIGE_01637","CNBCECDA_00868","MKNLEGFG_00368","ONBKJHEC_00040","JDGPEFCB_01639","KKHOBGKP_00380","OAJCOHFM_00368","MMJAGEHG_01964","BGKOLDCB_00962","CDDPGOFG_00543","EOBMODNK_01608","HFPEINND_01637","NCFACCIB_01584"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"GECBOMLG_01335","NNIFEHJJ_02008","AMMIPIGE_01676","CNBCECDA_00830","MKNLEGFG_00406","ONBKJHEC_00002","JDGPEFCB_01598","KKHOBGKP_00342","OAJCOHFM_00406","MMJAGEHG_02002","BGKOLDCB_01000","CDDPGOFG_00581","EOBMODNK_01570","HFPEINND_01599","NCFACCIB_01546"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"GECBOMLG_02392","NNIFEHJJ_03108","AMMIPIGE_02408","CNBCECDA_03015","MKNLEGFG_03367","ONBKJHEC_03709","JDGPEFCB_03391","KKHOBGKP_00335","OAJCOHFM_00413","MMJAGEHG_03392","BGKOLDCB_03608","CDDPGOFG_00588","EOBMODNK_02652","HFPEINND_03392","NCFACCIB_00763"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"GECBOMLG_02382","NNIFEHJJ_03118","AMMIPIGE_02418","CNBCECDA_03025","MKNLEGFG_03377","ONBKJHEC_03699","JDGPEFCB_03381","KKHOBGKP_00325","OAJCOHFM_00423","MMJAGEHG_03382","BGKOLDCB_03598","CDDPGOFG_00598","EOBMODNK_02662","HFPEINND_03382","NCFACCIB_00753"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"GECBOMLG_02375","NNIFEHJJ_03125","AMMIPIGE_02425","CNBCECDA_03032","MKNLEGFG_03384","ONBKJHEC_03692","JDGPEFCB_03374","KKHOBGKP_00318","OAJCOHFM_00430","MMJAGEHG_03375","BGKOLDCB_03591","CDDPGOFG_00605","EOBMODNK_02669","HFPEINND_03375","NCFACCIB_00746"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"GECBOMLG_02367","NNIFEHJJ_03133","AMMIPIGE_02433","CNBCECDA_03040","MKNLEGFG_03392","ONBKJHEC_03684","JDGPEFCB_03366","KKHOBGKP_00310","OAJCOHFM_00438","MMJAGEHG_03367","BGKOLDCB_03583","CDDPGOFG_00613","EOBMODNK_02677","HFPEINND_03367","NCFACCIB_00738"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"GECBOMLG_02331","NNIFEHJJ_03169","AMMIPIGE_02469","CNBCECDA_03076","MKNLEGFG_03428","ONBKJHEC_03648","JDGPEFCB_03330","KKHOBGKP_00274","OAJCOHFM_00474","MMJAGEHG_03331","BGKOLDCB_04356","CDDPGOFG_00871","EOBMODNK_02713","HFPEINND_03331","NCFACCIB_00702"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"GECBOMLG_02301","NNIFEHJJ_03199","AMMIPIGE_02499","CNBCECDA_03106","MKNLEGFG_03458","ONBKJHEC_03618","JDGPEFCB_03300","KKHOBGKP_00244","OAJCOHFM_00504","MMJAGEHG_03301","BGKOLDCB_00199","CDDPGOFG_00901","EOBMODNK_02743","HFPEINND_03301","NCFACCIB_00672"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"GECBOMLG_02295","NNIFEHJJ_03205","AMMIPIGE_02505","CNBCECDA_03112","MKNLEGFG_03464","ONBKJHEC_03612","JDGPEFCB_03294","KKHOBGKP_00238","OAJCOHFM_00510","MMJAGEHG_03295","BGKOLDCB_00205","CDDPGOFG_00907","EOBMODNK_02749","HFPEINND_03295","NCFACCIB_00666"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"GECBOMLG_02294","NNIFEHJJ_03206","AMMIPIGE_02506","CNBCECDA_03113","MKNLEGFG_03465","ONBKJHEC_03611","JDGPEFCB_03293","KKHOBGKP_00237","OAJCOHFM_00511","MMJAGEHG_03294","BGKOLDCB_00206","CDDPGOFG_00908","EOBMODNK_02750","HFPEINND_03294","NCFACCIB_00665"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"GECBOMLG_02263","NNIFEHJJ_03237","AMMIPIGE_02537","CNBCECDA_03144","MKNLEGFG_01576","ONBKJHEC_02234","JDGPEFCB_03262","KKHOBGKP_00206","OAJCOHFM_00542","MMJAGEHG_03263","BGKOLDCB_00237","CDDPGOFG_00939","EOBMODNK_02781","HFPEINND_03263","NCFACCIB_00634"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"GECBOMLG_02261","NNIFEHJJ_03239","AMMIPIGE_02539","CNBCECDA_03146","MKNLEGFG_01578","ONBKJHEC_02236","JDGPEFCB_03260","KKHOBGKP_00204","OAJCOHFM_00544","MMJAGEHG_03261","BGKOLDCB_00239","CDDPGOFG_00941","EOBMODNK_02783","HFPEINND_03261","NCFACCIB_00632"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"GECBOMLG_02255","NNIFEHJJ_03245","AMMIPIGE_02545","CNBCECDA_03152","MKNLEGFG_01584","ONBKJHEC_02242","JDGPEFCB_03254","KKHOBGKP_00198","OAJCOHFM_00550","MMJAGEHG_03255","BGKOLDCB_00245","CDDPGOFG_00947","EOBMODNK_02789","HFPEINND_03255","NCFACCIB_00626"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"GECBOMLG_02248","NNIFEHJJ_03252","AMMIPIGE_02552","CNBCECDA_03159","MKNLEGFG_01591","ONBKJHEC_02249","JDGPEFCB_03247","KKHOBGKP_00191","OAJCOHFM_00557","MMJAGEHG_03248","BGKOLDCB_00252","CDDPGOFG_00954","EOBMODNK_02796","HFPEINND_03248","NCFACCIB_00619"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"GECBOMLG_02244","NNIFEHJJ_03256","AMMIPIGE_02556","CNBCECDA_03163","MKNLEGFG_01595","ONBKJHEC_02253","JDGPEFCB_03243","KKHOBGKP_00187","OAJCOHFM_00561","MMJAGEHG_03244","BGKOLDCB_00256","CDDPGOFG_00958","EOBMODNK_02800","HFPEINND_03244","NCFACCIB_00615"
