"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR980326","SRR28323393","NDSU20","SRR18233395","SRR1106157","SRR14766383","SRR10037239","SRR16506855","SRR14766328","SRR14766432","SRR27708426","SRR6310053","SRR5928609","SRR15146531","SRR17468265"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"ICDMIJBP_01441","OHOJMOPM_00048","CFFCAIFL_01748","PPEDBENP_01968","DECCOBHM_02374","JCMLOGCE_03100","OOMIMPCI_00700","MMJAGEHG_01644","EFNBFDBI_03591","MHLDJHJA_03658","IOLIIFNA_02690","DNOEEKHJ_01129","MAMFPLAJ_03266","ALBEMBBG_00048","IHODCDMG_01645"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"ICDMIJBP_01437","OHOJMOPM_00052","CFFCAIFL_01752","PPEDBENP_01964","DECCOBHM_02370","JCMLOGCE_03104","OOMIMPCI_00696","MMJAGEHG_01648","EFNBFDBI_03595","MHLDJHJA_03654","IOLIIFNA_02686","DNOEEKHJ_01133","MAMFPLAJ_03270","ALBEMBBG_00052","IHODCDMG_01649"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"ICDMIJBP_01434","OHOJMOPM_00055","CFFCAIFL_01755","PPEDBENP_01961","DECCOBHM_02367","JCMLOGCE_03107","OOMIMPCI_00693","MMJAGEHG_01651","EFNBFDBI_03598","MHLDJHJA_03651","IOLIIFNA_02683","DNOEEKHJ_01136","MAMFPLAJ_03273","ALBEMBBG_00055","IHODCDMG_01652"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"ICDMIJBP_01433","OHOJMOPM_00056","CFFCAIFL_01756","PPEDBENP_01960","DECCOBHM_02366","JCMLOGCE_03108","OOMIMPCI_00692","MMJAGEHG_01652","EFNBFDBI_03599","MHLDJHJA_03650","IOLIIFNA_02682","DNOEEKHJ_01137","MAMFPLAJ_03274","ALBEMBBG_00056","IHODCDMG_01653"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"ICDMIJBP_01408","OHOJMOPM_00081","CFFCAIFL_01781","PPEDBENP_01935","DECCOBHM_02341","JCMLOGCE_03133","OOMIMPCI_00667","MMJAGEHG_01677","EFNBFDBI_03624","MHLDJHJA_03625","IOLIIFNA_02657","DNOEEKHJ_01162","MAMFPLAJ_03299","ALBEMBBG_00081","IHODCDMG_01678"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"ICDMIJBP_01407","OHOJMOPM_00082","CFFCAIFL_01782","PPEDBENP_01934","DECCOBHM_02340","JCMLOGCE_03134","OOMIMPCI_00666","MMJAGEHG_01678","EFNBFDBI_03625","MHLDJHJA_03624","IOLIIFNA_02656","DNOEEKHJ_01163","MAMFPLAJ_03300","ALBEMBBG_00082","IHODCDMG_01679"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"ICDMIJBP_01406","OHOJMOPM_00083","CFFCAIFL_01783","PPEDBENP_01933","DECCOBHM_02339","JCMLOGCE_03135","OOMIMPCI_00665","MMJAGEHG_01679","EFNBFDBI_03626","MHLDJHJA_03623","IOLIIFNA_02655","DNOEEKHJ_01164","MAMFPLAJ_03301","ALBEMBBG_00083","IHODCDMG_01680"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"ICDMIJBP_01391","OHOJMOPM_00098","CFFCAIFL_01798","PPEDBENP_01918","DECCOBHM_02324","JCMLOGCE_03150","OOMIMPCI_00650","MMJAGEHG_01694","EFNBFDBI_01512","MHLDJHJA_00815","IOLIIFNA_00688","DNOEEKHJ_01179","MAMFPLAJ_03799","ALBEMBBG_00098","IHODCDMG_01695"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"ICDMIJBP_01381","OHOJMOPM_00108","CFFCAIFL_01808","PPEDBENP_01908","DECCOBHM_02314","JCMLOGCE_03160","OOMIMPCI_00640","MMJAGEHG_01704","EFNBFDBI_01522","MHLDJHJA_00825","IOLIIFNA_00678","DNOEEKHJ_01189","MAMFPLAJ_03809","ALBEMBBG_00108","IHODCDMG_01705"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"ICDMIJBP_01379","OHOJMOPM_00110","CFFCAIFL_01810","PPEDBENP_01906","DECCOBHM_02312","JCMLOGCE_01168","OOMIMPCI_00638","MMJAGEHG_01706","EFNBFDBI_01524","MHLDJHJA_00827","IOLIIFNA_00676","DNOEEKHJ_01191","MAMFPLAJ_03811","ALBEMBBG_00110","IHODCDMG_01707"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"ICDMIJBP_01354","OHOJMOPM_00135","CFFCAIFL_01835","PPEDBENP_01881","DECCOBHM_02287","JCMLOGCE_01143","OOMIMPCI_00613","MMJAGEHG_01731","EFNBFDBI_01549","MHLDJHJA_00852","IOLIIFNA_00651","DNOEEKHJ_01216","MAMFPLAJ_00337","ALBEMBBG_00135","IHODCDMG_01732"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"ICDMIJBP_01350","OHOJMOPM_00139","CFFCAIFL_01839","PPEDBENP_01877","DECCOBHM_02283","JCMLOGCE_01139","OOMIMPCI_00609","MMJAGEHG_01735","EFNBFDBI_01553","MHLDJHJA_00856","IOLIIFNA_00647","DNOEEKHJ_01220","MAMFPLAJ_00341","ALBEMBBG_00139","IHODCDMG_01736"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"ICDMIJBP_01340","OHOJMOPM_00149","CFFCAIFL_01849","PPEDBENP_01867","DECCOBHM_02273","JCMLOGCE_01129","OOMIMPCI_00599","MMJAGEHG_01745","EFNBFDBI_01563","MHLDJHJA_00866","IOLIIFNA_00637","DNOEEKHJ_01230","MAMFPLAJ_00350","ALBEMBBG_00149","IHODCDMG_01746"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"ICDMIJBP_01339","OHOJMOPM_00150","CFFCAIFL_01850","PPEDBENP_01866","DECCOBHM_02272","JCMLOGCE_01128","OOMIMPCI_00598","MMJAGEHG_01746","EFNBFDBI_01564","MHLDJHJA_00867","IOLIIFNA_00636","DNOEEKHJ_01231","MAMFPLAJ_00351","ALBEMBBG_00150","IHODCDMG_01747"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"ICDMIJBP_01320","OHOJMOPM_00169","CFFCAIFL_01869","PPEDBENP_01847","DECCOBHM_02253","JCMLOGCE_01109","OOMIMPCI_00579","MMJAGEHG_01765","EFNBFDBI_01583","MHLDJHJA_00886","IOLIIFNA_00617","DNOEEKHJ_01250","MAMFPLAJ_00370","ALBEMBBG_00169","IHODCDMG_01766"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"ICDMIJBP_01305","OHOJMOPM_00184","CFFCAIFL_01884","PPEDBENP_01832","DECCOBHM_02238","JCMLOGCE_01094","OOMIMPCI_00564","MMJAGEHG_01780","EFNBFDBI_01598","MHLDJHJA_00901","IOLIIFNA_00602","DNOEEKHJ_01265","MAMFPLAJ_00385","ALBEMBBG_00184","IHODCDMG_01781"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"ICDMIJBP_01291","OHOJMOPM_00198","CFFCAIFL_01898","PPEDBENP_01818","DECCOBHM_02224","JCMLOGCE_01080","OOMIMPCI_00550","MMJAGEHG_01794","EFNBFDBI_01612","MHLDJHJA_00915","IOLIIFNA_00588","DNOEEKHJ_01279","MAMFPLAJ_00399","ALBEMBBG_00196","IHODCDMG_01795"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"ICDMIJBP_01279","OHOJMOPM_00210","CFFCAIFL_01910","PPEDBENP_01806","DECCOBHM_02212","JCMLOGCE_01068","OOMIMPCI_00538","MMJAGEHG_01806","EFNBFDBI_01624","MHLDJHJA_00927","IOLIIFNA_00576","DNOEEKHJ_01291","MAMFPLAJ_00411","ALBEMBBG_00208","IHODCDMG_01807"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"ICDMIJBP_01273","OHOJMOPM_00216","CFFCAIFL_01916","PPEDBENP_01800","DECCOBHM_02206","JCMLOGCE_01062","OOMIMPCI_00532","MMJAGEHG_01812","EFNBFDBI_01630","MHLDJHJA_00933","IOLIIFNA_00570","DNOEEKHJ_01297","MAMFPLAJ_00417","ALBEMBBG_00214","IHODCDMG_01813"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"ICDMIJBP_01272","OHOJMOPM_00217","CFFCAIFL_01917","PPEDBENP_01799","DECCOBHM_02205","JCMLOGCE_01061","OOMIMPCI_00531","MMJAGEHG_01813","EFNBFDBI_01631","MHLDJHJA_00934","IOLIIFNA_00569","DNOEEKHJ_01298","MAMFPLAJ_00418","ALBEMBBG_00215","IHODCDMG_01814"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"ICDMIJBP_01269","OHOJMOPM_00220","CFFCAIFL_01920","PPEDBENP_01796","DECCOBHM_02202","JCMLOGCE_01058","OOMIMPCI_00528","MMJAGEHG_01816","EFNBFDBI_01634","MHLDJHJA_00937","IOLIIFNA_00566","DNOEEKHJ_01301","MAMFPLAJ_00421","ALBEMBBG_00218","IHODCDMG_01817"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"ICDMIJBP_01263","OHOJMOPM_00226","CFFCAIFL_01926","PPEDBENP_01790","DECCOBHM_02196","JCMLOGCE_01052","OOMIMPCI_00522","MMJAGEHG_01822","EFNBFDBI_01640","MHLDJHJA_00943","IOLIIFNA_00560","DNOEEKHJ_01307","MAMFPLAJ_00427","ALBEMBBG_00224","IHODCDMG_01823"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"ICDMIJBP_01262","OHOJMOPM_00227","CFFCAIFL_01927","PPEDBENP_01789","DECCOBHM_02195","JCMLOGCE_01051","OOMIMPCI_00521","MMJAGEHG_01823","EFNBFDBI_01641","MHLDJHJA_00944","IOLIIFNA_00559","DNOEEKHJ_01308","MAMFPLAJ_00428","ALBEMBBG_00225","IHODCDMG_01824"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"ICDMIJBP_01132","OHOJMOPM_00357","CFFCAIFL_02056","PPEDBENP_02693","DECCOBHM_02065","JCMLOGCE_03030","OOMIMPCI_00391","MMJAGEHG_01953","EFNBFDBI_03330","MHLDJHJA_03184","IOLIIFNA_03185","DNOEEKHJ_01437","MAMFPLAJ_00557","ALBEMBBG_00354","IHODCDMG_01953"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"ICDMIJBP_01131","OHOJMOPM_00358","CFFCAIFL_02057","PPEDBENP_02694","DECCOBHM_02064","JCMLOGCE_03031","OOMIMPCI_00390","MMJAGEHG_01954","EFNBFDBI_03329","MHLDJHJA_03185","IOLIIFNA_03184","DNOEEKHJ_01438","MAMFPLAJ_00558","ALBEMBBG_00355","IHODCDMG_01954"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"ICDMIJBP_01128","OHOJMOPM_00361","CFFCAIFL_02060","PPEDBENP_02697","DECCOBHM_02061","JCMLOGCE_03034","OOMIMPCI_00387","MMJAGEHG_01957","EFNBFDBI_03326","MHLDJHJA_03188","IOLIIFNA_03181","DNOEEKHJ_01441","MAMFPLAJ_00561","ALBEMBBG_00358","IHODCDMG_01957"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"ICDMIJBP_01126","OHOJMOPM_00363","CFFCAIFL_02062","PPEDBENP_02699","DECCOBHM_02059","JCMLOGCE_03036","OOMIMPCI_00385","MMJAGEHG_01959","EFNBFDBI_03324","MHLDJHJA_03190","IOLIIFNA_03179","DNOEEKHJ_01443","MAMFPLAJ_00563","ALBEMBBG_00360","IHODCDMG_01959"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"ICDMIJBP_01121","OHOJMOPM_00368","CFFCAIFL_02067","PPEDBENP_02704","DECCOBHM_02054","JCMLOGCE_03041","OOMIMPCI_00380","MMJAGEHG_01964","EFNBFDBI_03319","MHLDJHJA_03195","IOLIIFNA_03174","DNOEEKHJ_01448","MAMFPLAJ_00568","ALBEMBBG_00365","IHODCDMG_01964"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"ICDMIJBP_01083","OHOJMOPM_00406","CFFCAIFL_04561","PPEDBENP_02742","DECCOBHM_02016","JCMLOGCE_04554","OOMIMPCI_00342","MMJAGEHG_02002","EFNBFDBI_03281","MHLDJHJA_03233","IOLIIFNA_04469","DNOEEKHJ_01486","MAMFPLAJ_04574","ALBEMBBG_00403","IHODCDMG_02002"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"ICDMIJBP_02836","OHOJMOPM_00413","CFFCAIFL_02402","PPEDBENP_01765","DECCOBHM_03112","JCMLOGCE_00973","OOMIMPCI_00335","MMJAGEHG_03392","EFNBFDBI_02977","MHLDJHJA_01428","IOLIIFNA_03441","DNOEEKHJ_02835","MAMFPLAJ_00006","ALBEMBBG_00410","IHODCDMG_03389"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"ICDMIJBP_02826","OHOJMOPM_00423","CFFCAIFL_02392","PPEDBENP_01755","DECCOBHM_03122","JCMLOGCE_00963","OOMIMPCI_00325","MMJAGEHG_03382","EFNBFDBI_02967","MHLDJHJA_01438","IOLIIFNA_03451","DNOEEKHJ_02825","MAMFPLAJ_00016","ALBEMBBG_00420","IHODCDMG_03379"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"ICDMIJBP_02819","OHOJMOPM_00430","CFFCAIFL_02385","PPEDBENP_01748","DECCOBHM_03129","JCMLOGCE_00956","OOMIMPCI_00318","MMJAGEHG_03375","EFNBFDBI_02960","MHLDJHJA_01445","IOLIIFNA_03458","DNOEEKHJ_02818","MAMFPLAJ_00023","ALBEMBBG_00427","IHODCDMG_03372"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"ICDMIJBP_02811","OHOJMOPM_00438","CFFCAIFL_02377","PPEDBENP_01740","DECCOBHM_03137","JCMLOGCE_00948","OOMIMPCI_00310","MMJAGEHG_03367","EFNBFDBI_02952","MHLDJHJA_01453","IOLIIFNA_03466","DNOEEKHJ_02810","MAMFPLAJ_00031","ALBEMBBG_00435","IHODCDMG_03364"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"ICDMIJBP_02775","OHOJMOPM_00474","CFFCAIFL_02341","PPEDBENP_01704","DECCOBHM_03173","JCMLOGCE_00912","OOMIMPCI_00274","MMJAGEHG_03331","EFNBFDBI_02916","MHLDJHJA_01489","IOLIIFNA_03502","DNOEEKHJ_02774","MAMFPLAJ_00067","ALBEMBBG_00471","IHODCDMG_03328"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"ICDMIJBP_02745","OHOJMOPM_00504","CFFCAIFL_02311","PPEDBENP_01674","DECCOBHM_03203","JCMLOGCE_00882","OOMIMPCI_00244","MMJAGEHG_03301","EFNBFDBI_02886","MHLDJHJA_01519","IOLIIFNA_01712","DNOEEKHJ_02744","MAMFPLAJ_00097","ALBEMBBG_00501","IHODCDMG_03298"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"ICDMIJBP_02738","OHOJMOPM_00510","CFFCAIFL_02305","PPEDBENP_01668","DECCOBHM_03209","JCMLOGCE_00876","OOMIMPCI_00238","MMJAGEHG_03295","EFNBFDBI_02880","MHLDJHJA_01525","IOLIIFNA_01718","DNOEEKHJ_02738","MAMFPLAJ_00103","ALBEMBBG_00507","IHODCDMG_03292"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"ICDMIJBP_02737","OHOJMOPM_00511","CFFCAIFL_02304","PPEDBENP_01667","DECCOBHM_03210","JCMLOGCE_00875","OOMIMPCI_00237","MMJAGEHG_03294","EFNBFDBI_02879","MHLDJHJA_01526","IOLIIFNA_01719","DNOEEKHJ_02737","MAMFPLAJ_00104","ALBEMBBG_00508","IHODCDMG_03291"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"ICDMIJBP_02706","OHOJMOPM_00542","CFFCAIFL_02273","PPEDBENP_01636","DECCOBHM_03241","JCMLOGCE_00844","OOMIMPCI_00206","MMJAGEHG_03263","EFNBFDBI_02132","MHLDJHJA_01556","IOLIIFNA_01749","DNOEEKHJ_02706","MAMFPLAJ_00134","ALBEMBBG_00539","IHODCDMG_03260"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"ICDMIJBP_02704","OHOJMOPM_00544","CFFCAIFL_02271","PPEDBENP_01634","DECCOBHM_03243","JCMLOGCE_00842","OOMIMPCI_00204","MMJAGEHG_03261","EFNBFDBI_02130","MHLDJHJA_01558","IOLIIFNA_01751","DNOEEKHJ_02704","MAMFPLAJ_00136","ALBEMBBG_00541","IHODCDMG_03258"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"ICDMIJBP_02698","OHOJMOPM_00550","CFFCAIFL_02265","PPEDBENP_01628","DECCOBHM_03249","JCMLOGCE_00836","OOMIMPCI_00198","MMJAGEHG_03255","EFNBFDBI_02124","MHLDJHJA_01564","IOLIIFNA_01757","DNOEEKHJ_02698","MAMFPLAJ_00142","ALBEMBBG_00547","IHODCDMG_03252"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"ICDMIJBP_02691","OHOJMOPM_00557","CFFCAIFL_02258","PPEDBENP_01621","DECCOBHM_03256","JCMLOGCE_00829","OOMIMPCI_00191","MMJAGEHG_03248","EFNBFDBI_02117","MHLDJHJA_01571","IOLIIFNA_01764","DNOEEKHJ_02691","MAMFPLAJ_00149","ALBEMBBG_00554","IHODCDMG_03245"
