"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766330","SRR17518186","SRR14766411","SRR1334125","NDSU3","SRR3097528","SRR3097456","SRR5905071","SRR2102508","SRR28412151","SRR19397116","SRR15712217","SRR14766455","SRR6475644","SRR5928609"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"POPOBFCK_01513","CBIADFLF_02886","IABIGAJC_00177","AOJNFOHD_00177","EOMJMOHL_03605","ALLEBCBP_02902","PIILDIKB_00425","JHIKAEHP_00492","PEGBKDIG_00859","CAFPMJGF_01237","KKIADDGI_01467","BMHAMMBM_03215","BHJELCCI_02020","JMHMHBON_01237","MAMFPLAJ_01332"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"POPOBFCK_00977","CBIADFLF_00979","IABIGAJC_01996","AOJNFOHD_01115","EOMJMOHL_01057","ALLEBCBP_00289","PIILDIKB_01244","JHIKAEHP_04100","PEGBKDIG_02397","CAFPMJGF_00698","KKIADDGI_00701","BMHAMMBM_00696","BHJELCCI_00361","JMHMHBON_00700","MAMFPLAJ_03266"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"POPOBFCK_00981","CBIADFLF_00983","IABIGAJC_01992","AOJNFOHD_01111","EOMJMOHL_01053","ALLEBCBP_00293","PIILDIKB_01248","JHIKAEHP_04104","PEGBKDIG_02401","CAFPMJGF_00694","KKIADDGI_00697","BMHAMMBM_00692","BHJELCCI_00357","JMHMHBON_00696","MAMFPLAJ_03270"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"POPOBFCK_00984","CBIADFLF_00986","IABIGAJC_01989","AOJNFOHD_01108","EOMJMOHL_01050","ALLEBCBP_00296","PIILDIKB_01251","JHIKAEHP_04107","PEGBKDIG_02404","CAFPMJGF_00691","KKIADDGI_00694","BMHAMMBM_00689","BHJELCCI_00354","JMHMHBON_00693","MAMFPLAJ_03273"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"POPOBFCK_00985","CBIADFLF_00987","IABIGAJC_01988","AOJNFOHD_01107","EOMJMOHL_01049","ALLEBCBP_00297","PIILDIKB_01252","JHIKAEHP_04108","PEGBKDIG_02405","CAFPMJGF_00690","KKIADDGI_00693","BMHAMMBM_00688","BHJELCCI_00353","JMHMHBON_00692","MAMFPLAJ_03274"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"POPOBFCK_01010","CBIADFLF_01012","IABIGAJC_01963","AOJNFOHD_01082","EOMJMOHL_01024","ALLEBCBP_00322","PIILDIKB_01277","JHIKAEHP_04133","PEGBKDIG_02430","CAFPMJGF_00665","KKIADDGI_00668","BMHAMMBM_00663","BHJELCCI_00328","JMHMHBON_00667","MAMFPLAJ_03299"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"POPOBFCK_01011","CBIADFLF_01013","IABIGAJC_01962","AOJNFOHD_01081","EOMJMOHL_01023","ALLEBCBP_00323","PIILDIKB_01278","JHIKAEHP_04134","PEGBKDIG_02431","CAFPMJGF_00664","KKIADDGI_00667","BMHAMMBM_00662","BHJELCCI_00327","JMHMHBON_00666","MAMFPLAJ_03300"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"POPOBFCK_01012","CBIADFLF_01014","IABIGAJC_01961","AOJNFOHD_01080","EOMJMOHL_01022","ALLEBCBP_00324","PIILDIKB_01279","JHIKAEHP_04135","PEGBKDIG_02432","CAFPMJGF_00663","KKIADDGI_00666","BMHAMMBM_00661","BHJELCCI_00326","JMHMHBON_00665","MAMFPLAJ_03301"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"POPOBFCK_01027","CBIADFLF_01029","IABIGAJC_01946","AOJNFOHD_01065","EOMJMOHL_01007","ALLEBCBP_00339","PIILDIKB_01294","JHIKAEHP_02586","PEGBKDIG_02448","CAFPMJGF_00647","KKIADDGI_00651","BMHAMMBM_00646","BHJELCCI_00311","JMHMHBON_00650","MAMFPLAJ_03799"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"POPOBFCK_01037","CBIADFLF_01039","IABIGAJC_01936","AOJNFOHD_01055","EOMJMOHL_00997","ALLEBCBP_00349","PIILDIKB_01304","JHIKAEHP_02576","PEGBKDIG_02458","CAFPMJGF_00637","KKIADDGI_00641","BMHAMMBM_00636","BHJELCCI_00301","JMHMHBON_00640","MAMFPLAJ_03809"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"POPOBFCK_01039","CBIADFLF_01041","IABIGAJC_01934","AOJNFOHD_01053","EOMJMOHL_00995","ALLEBCBP_00351","PIILDIKB_01306","JHIKAEHP_02574","PEGBKDIG_02460","CAFPMJGF_00635","KKIADDGI_00639","BMHAMMBM_00634","BHJELCCI_00299","JMHMHBON_00638","MAMFPLAJ_03811"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"POPOBFCK_01064","CBIADFLF_01066","IABIGAJC_01386","AOJNFOHD_01028","EOMJMOHL_00970","ALLEBCBP_00376","PIILDIKB_01331","JHIKAEHP_02549","PEGBKDIG_02485","CAFPMJGF_00610","KKIADDGI_00614","BMHAMMBM_00609","BHJELCCI_00274","JMHMHBON_00613","MAMFPLAJ_00337"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"POPOBFCK_01068","CBIADFLF_01070","IABIGAJC_01390","AOJNFOHD_01024","EOMJMOHL_00966","ALLEBCBP_00380","PIILDIKB_01335","JHIKAEHP_02545","PEGBKDIG_02489","CAFPMJGF_00606","KKIADDGI_00610","BMHAMMBM_00605","BHJELCCI_00270","JMHMHBON_00609","MAMFPLAJ_00341"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"POPOBFCK_01078","CBIADFLF_01080","IABIGAJC_01400","AOJNFOHD_01014","EOMJMOHL_00956","ALLEBCBP_00390","PIILDIKB_01345","JHIKAEHP_02535","PEGBKDIG_02499","CAFPMJGF_00596","KKIADDGI_00600","BMHAMMBM_00595","BHJELCCI_00260","JMHMHBON_00599","MAMFPLAJ_00350"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"POPOBFCK_01079","CBIADFLF_01081","IABIGAJC_01401","AOJNFOHD_01013","EOMJMOHL_00955","ALLEBCBP_00391","PIILDIKB_01346","JHIKAEHP_02534","PEGBKDIG_02500","CAFPMJGF_00595","KKIADDGI_00599","BMHAMMBM_00594","BHJELCCI_00259","JMHMHBON_00598","MAMFPLAJ_00351"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"POPOBFCK_01098","CBIADFLF_01100","IABIGAJC_01420","AOJNFOHD_00994","EOMJMOHL_00936","ALLEBCBP_00410","PIILDIKB_01365","JHIKAEHP_02515","PEGBKDIG_02519","CAFPMJGF_00576","KKIADDGI_00580","BMHAMMBM_00575","BHJELCCI_00240","JMHMHBON_00579","MAMFPLAJ_00370"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"POPOBFCK_01113","CBIADFLF_01115","IABIGAJC_01435","AOJNFOHD_00979","EOMJMOHL_00921","ALLEBCBP_00425","PIILDIKB_01380","JHIKAEHP_02500","PEGBKDIG_02534","CAFPMJGF_00561","KKIADDGI_00565","BMHAMMBM_00560","BHJELCCI_00225","JMHMHBON_00564","MAMFPLAJ_00385"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"POPOBFCK_01127","CBIADFLF_01129","IABIGAJC_01449","AOJNFOHD_00965","EOMJMOHL_00907","ALLEBCBP_00439","PIILDIKB_01394","JHIKAEHP_02486","PEGBKDIG_02548","CAFPMJGF_00547","KKIADDGI_00551","BMHAMMBM_00546","BHJELCCI_00211","JMHMHBON_00550","MAMFPLAJ_00399"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"POPOBFCK_01139","CBIADFLF_01141","IABIGAJC_01461","AOJNFOHD_00953","EOMJMOHL_00895","ALLEBCBP_00451","PIILDIKB_01406","JHIKAEHP_02474","PEGBKDIG_02560","CAFPMJGF_00535","KKIADDGI_00539","BMHAMMBM_00534","BHJELCCI_00199","JMHMHBON_00538","MAMFPLAJ_00411"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"POPOBFCK_01145","CBIADFLF_01147","IABIGAJC_01467","AOJNFOHD_00947","EOMJMOHL_00889","ALLEBCBP_00457","PIILDIKB_01412","JHIKAEHP_02468","PEGBKDIG_02566","CAFPMJGF_00529","KKIADDGI_00533","BMHAMMBM_00528","BHJELCCI_00193","JMHMHBON_00532","MAMFPLAJ_00417"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"POPOBFCK_01146","CBIADFLF_01148","IABIGAJC_01468","AOJNFOHD_00946","EOMJMOHL_00888","ALLEBCBP_00458","PIILDIKB_01413","JHIKAEHP_02467","PEGBKDIG_02567","CAFPMJGF_00528","KKIADDGI_00532","BMHAMMBM_00527","BHJELCCI_00192","JMHMHBON_00531","MAMFPLAJ_00418"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"POPOBFCK_01149","CBIADFLF_01151","IABIGAJC_01471","AOJNFOHD_00943","EOMJMOHL_00885","ALLEBCBP_00461","PIILDIKB_01416","JHIKAEHP_02464","PEGBKDIG_02570","CAFPMJGF_00525","KKIADDGI_00529","BMHAMMBM_00524","BHJELCCI_00189","JMHMHBON_00528","MAMFPLAJ_00421"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"POPOBFCK_01155","CBIADFLF_01157","IABIGAJC_01477","AOJNFOHD_00937","EOMJMOHL_00879","ALLEBCBP_00467","PIILDIKB_01422","JHIKAEHP_02458","PEGBKDIG_02576","CAFPMJGF_00519","KKIADDGI_00523","BMHAMMBM_00518","BHJELCCI_00183","JMHMHBON_00522","MAMFPLAJ_00427"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"POPOBFCK_01156","CBIADFLF_01158","IABIGAJC_01478","AOJNFOHD_00936","EOMJMOHL_00878","ALLEBCBP_00468","PIILDIKB_01423","JHIKAEHP_02457","PEGBKDIG_02577","CAFPMJGF_00518","KKIADDGI_00522","BMHAMMBM_00517","BHJELCCI_00182","JMHMHBON_00521","MAMFPLAJ_00428"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"POPOBFCK_01286","CBIADFLF_01288","IABIGAJC_01608","AOJNFOHD_00809","EOMJMOHL_00748","ALLEBCBP_00598","PIILDIKB_01552","JHIKAEHP_02327","PEGBKDIG_03584","CAFPMJGF_00388","KKIADDGI_00392","BMHAMMBM_00387","BHJELCCI_00051","JMHMHBON_00391","MAMFPLAJ_00557"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"POPOBFCK_01287","CBIADFLF_01289","IABIGAJC_01609","AOJNFOHD_00808","EOMJMOHL_00747","ALLEBCBP_00599","PIILDIKB_01553","JHIKAEHP_02326","PEGBKDIG_03585","CAFPMJGF_00387","KKIADDGI_00391","BMHAMMBM_00386","BHJELCCI_00050","JMHMHBON_00390","MAMFPLAJ_00558"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"POPOBFCK_01290","CBIADFLF_01292","IABIGAJC_01612","AOJNFOHD_00805","EOMJMOHL_00744","ALLEBCBP_00602","PIILDIKB_01556","JHIKAEHP_02323","PEGBKDIG_03588","CAFPMJGF_00384","KKIADDGI_00388","BMHAMMBM_00383","BHJELCCI_00047","JMHMHBON_00387","MAMFPLAJ_00561"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"POPOBFCK_01292","CBIADFLF_01294","IABIGAJC_01614","AOJNFOHD_00803","EOMJMOHL_00742","ALLEBCBP_00604","PIILDIKB_01558","JHIKAEHP_02321","PEGBKDIG_03590","CAFPMJGF_00382","KKIADDGI_00386","BMHAMMBM_00381","BHJELCCI_00045","JMHMHBON_00385","MAMFPLAJ_00563"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"POPOBFCK_01297","CBIADFLF_01299","IABIGAJC_01619","AOJNFOHD_00798","EOMJMOHL_00737","ALLEBCBP_00609","PIILDIKB_01563","JHIKAEHP_02316","PEGBKDIG_03595","CAFPMJGF_00377","KKIADDGI_00381","BMHAMMBM_00376","BHJELCCI_00040","JMHMHBON_00380","MAMFPLAJ_00568"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"POPOBFCK_01335","CBIADFLF_01337","IABIGAJC_01657","AOJNFOHD_00760","EOMJMOHL_00699","ALLEBCBP_04409","PIILDIKB_04447","JHIKAEHP_01626","PEGBKDIG_03633","CAFPMJGF_00339","KKIADDGI_00342","BMHAMMBM_00338","BHJELCCI_00002","JMHMHBON_00342","MAMFPLAJ_04574"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"POPOBFCK_02434","CBIADFLF_03067","IABIGAJC_02889","AOJNFOHD_00753","EOMJMOHL_00692","ALLEBCBP_01772","PIILDIKB_04136","JHIKAEHP_01619","PEGBKDIG_01040","CAFPMJGF_00332","KKIADDGI_00335","BMHAMMBM_00331","BHJELCCI_00779","JMHMHBON_00335","MAMFPLAJ_00006"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"POPOBFCK_02444","CBIADFLF_03077","IABIGAJC_02879","AOJNFOHD_00743","EOMJMOHL_00682","ALLEBCBP_01762","PIILDIKB_04146","JHIKAEHP_01609","PEGBKDIG_01050","CAFPMJGF_00322","KKIADDGI_00325","BMHAMMBM_00321","BHJELCCI_00789","JMHMHBON_00325","MAMFPLAJ_00016"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"POPOBFCK_02451","CBIADFLF_03084","IABIGAJC_02872","AOJNFOHD_00736","EOMJMOHL_00675","ALLEBCBP_01755","PIILDIKB_04153","JHIKAEHP_01602","PEGBKDIG_01057","CAFPMJGF_00315","KKIADDGI_00318","BMHAMMBM_00314","BHJELCCI_00796","JMHMHBON_00318","MAMFPLAJ_00023"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"POPOBFCK_02459","CBIADFLF_03092","IABIGAJC_02864","AOJNFOHD_00728","EOMJMOHL_00667","ALLEBCBP_01747","PIILDIKB_04161","JHIKAEHP_01594","PEGBKDIG_01065","CAFPMJGF_00307","KKIADDGI_00310","BMHAMMBM_00306","BHJELCCI_00804","JMHMHBON_00310","MAMFPLAJ_00031"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"POPOBFCK_02495","CBIADFLF_03128","IABIGAJC_02828","AOJNFOHD_00692","EOMJMOHL_00631","ALLEBCBP_01711","PIILDIKB_04197","JHIKAEHP_01558","PEGBKDIG_01101","CAFPMJGF_00271","KKIADDGI_00274","BMHAMMBM_00270","BHJELCCI_00840","JMHMHBON_00274","MAMFPLAJ_00067"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"POPOBFCK_02525","CBIADFLF_03158","IABIGAJC_02798","AOJNFOHD_00662","EOMJMOHL_00601","ALLEBCBP_01681","PIILDIKB_02496","JHIKAEHP_01528","PEGBKDIG_01131","CAFPMJGF_00241","KKIADDGI_00244","BMHAMMBM_00240","BHJELCCI_00870","JMHMHBON_00244","MAMFPLAJ_00097"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"POPOBFCK_02531","CBIADFLF_03164","IABIGAJC_02792","AOJNFOHD_00656","EOMJMOHL_00595","ALLEBCBP_01675","PIILDIKB_02490","JHIKAEHP_01522","PEGBKDIG_01137","CAFPMJGF_00235","KKIADDGI_00238","BMHAMMBM_00234","BHJELCCI_00876","JMHMHBON_00238","MAMFPLAJ_00103"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"POPOBFCK_02532","CBIADFLF_03165","IABIGAJC_02791","AOJNFOHD_00655","EOMJMOHL_00594","ALLEBCBP_01674","PIILDIKB_02489","JHIKAEHP_01521","PEGBKDIG_01138","CAFPMJGF_00234","KKIADDGI_00237","BMHAMMBM_00233","BHJELCCI_00877","JMHMHBON_00237","MAMFPLAJ_00104"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"POPOBFCK_02563","CBIADFLF_03196","IABIGAJC_02760","AOJNFOHD_03764","EOMJMOHL_02878","ALLEBCBP_01644","PIILDIKB_02458","JHIKAEHP_01490","PEGBKDIG_01169","CAFPMJGF_00203","KKIADDGI_00206","BMHAMMBM_00202","BHJELCCI_00908","JMHMHBON_00206","MAMFPLAJ_00134"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"POPOBFCK_02565","CBIADFLF_03198","IABIGAJC_02758","AOJNFOHD_03762","EOMJMOHL_02876","ALLEBCBP_01642","PIILDIKB_02456","JHIKAEHP_01488","PEGBKDIG_01171","CAFPMJGF_00201","KKIADDGI_00204","BMHAMMBM_00200","BHJELCCI_00910","JMHMHBON_00204","MAMFPLAJ_00136"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"POPOBFCK_02571","CBIADFLF_03204","IABIGAJC_02752","AOJNFOHD_03756","EOMJMOHL_02870","ALLEBCBP_01636","PIILDIKB_02450","JHIKAEHP_01482","PEGBKDIG_01177","CAFPMJGF_00195","KKIADDGI_00198","BMHAMMBM_00194","BHJELCCI_00916","JMHMHBON_00198","MAMFPLAJ_00142"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"POPOBFCK_02578","CBIADFLF_03211","IABIGAJC_02745","AOJNFOHD_03749","EOMJMOHL_02863","ALLEBCBP_01629","PIILDIKB_02443","JHIKAEHP_01475","PEGBKDIG_01184","CAFPMJGF_00188","KKIADDGI_00191","BMHAMMBM_00187","BHJELCCI_00923","JMHMHBON_00191","MAMFPLAJ_00149"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"POPOBFCK_02582","CBIADFLF_03215","IABIGAJC_02741","AOJNFOHD_03745","EOMJMOHL_02859","ALLEBCBP_01625","PIILDIKB_02439","JHIKAEHP_01471","PEGBKDIG_01188","CAFPMJGF_00184","KKIADDGI_00187","BMHAMMBM_00183","BHJELCCI_00927","JMHMHBON_00187","MAMFPLAJ_00153"
