"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5905029","NDSU12","SRR7798780","SRR7012122","SRR10240819","SRR5883578","SRR2096609","SRR23043684","SRR11487643","SRR14766351","SRR14766443","SRR7041896","SRR15712217","SRR14095467","SRR5928712"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"PLHCNFHB_01104","KMJDPIGG_02514","JMEEGOOJ_03526","NJJGCHOI_00437","JGJLLKKG_01104","DGJMLPEB_00574","EDMDPJBM_03686","LDHFOKNP_03539","AMEEEGBM_01589","OAFANHMB_01912","BJFLHFPA_04606","LNFOPOPD_04276","BMHAMMBM_01662","EIKGHHBD_01851","CDFNNGFP_04362"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"PLHCNFHB_00493","KMJDPIGG_01019","JMEEGOOJ_00075","NJJGCHOI_02139","JGJLLKKG_00177","DGJMLPEB_00075","EDMDPJBM_00228","LDHFOKNP_02509","AMEEEGBM_00176","OAFANHMB_00439","BJFLHFPA_01868","LNFOPOPD_02410","BMHAMMBM_03215","EIKGHHBD_00922","CDFNNGFP_02376"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"PLHCNFHB_01988","KMJDPIGG_00047","JMEEGOOJ_00612","NJJGCHOI_00906","JGJLLKKG_01929","DGJMLPEB_02537","EDMDPJBM_02068","LDHFOKNP_01258","AMEEEGBM_01644","OAFANHMB_02193","BJFLHFPA_03829","LNFOPOPD_03878","BMHAMMBM_00696","EIKGHHBD_00700","CDFNNGFP_00850"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"PLHCNFHB_01992","KMJDPIGG_00051","JMEEGOOJ_00616","NJJGCHOI_00910","JGJLLKKG_01925","DGJMLPEB_02541","EDMDPJBM_02072","LDHFOKNP_01254","AMEEEGBM_01648","OAFANHMB_02197","BJFLHFPA_03833","LNFOPOPD_03874","BMHAMMBM_00692","EIKGHHBD_00696","CDFNNGFP_00854"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"PLHCNFHB_01995","KMJDPIGG_00054","JMEEGOOJ_00619","NJJGCHOI_00913","JGJLLKKG_01922","DGJMLPEB_02544","EDMDPJBM_02075","LDHFOKNP_01251","AMEEEGBM_01651","OAFANHMB_02200","BJFLHFPA_03836","LNFOPOPD_03871","BMHAMMBM_00689","EIKGHHBD_00693","CDFNNGFP_00857"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"PLHCNFHB_01996","KMJDPIGG_00055","JMEEGOOJ_00620","NJJGCHOI_00914","JGJLLKKG_01921","DGJMLPEB_02545","EDMDPJBM_02076","LDHFOKNP_01250","AMEEEGBM_01652","OAFANHMB_02201","BJFLHFPA_03837","LNFOPOPD_03870","BMHAMMBM_00688","EIKGHHBD_00692","CDFNNGFP_00858"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"PLHCNFHB_02021","KMJDPIGG_00080","JMEEGOOJ_00645","NJJGCHOI_00939","JGJLLKKG_01896","DGJMLPEB_02570","EDMDPJBM_02101","LDHFOKNP_01225","AMEEEGBM_01677","OAFANHMB_02226","BJFLHFPA_03862","LNFOPOPD_03845","BMHAMMBM_00663","EIKGHHBD_00667","CDFNNGFP_00883"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"PLHCNFHB_02022","KMJDPIGG_00081","JMEEGOOJ_00646","NJJGCHOI_00940","JGJLLKKG_01895","DGJMLPEB_02571","EDMDPJBM_02102","LDHFOKNP_01224","AMEEEGBM_01678","OAFANHMB_02227","BJFLHFPA_03863","LNFOPOPD_03844","BMHAMMBM_00662","EIKGHHBD_00666","CDFNNGFP_00884"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"PLHCNFHB_02023","KMJDPIGG_00082","JMEEGOOJ_00647","NJJGCHOI_00941","JGJLLKKG_01894","DGJMLPEB_02572","EDMDPJBM_02103","LDHFOKNP_01223","AMEEEGBM_01679","OAFANHMB_02228","BJFLHFPA_03864","LNFOPOPD_03843","BMHAMMBM_00661","EIKGHHBD_00665","CDFNNGFP_00885"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"PLHCNFHB_02038","KMJDPIGG_00097","JMEEGOOJ_00662","NJJGCHOI_00956","JGJLLKKG_01879","DGJMLPEB_02587","EDMDPJBM_02118","LDHFOKNP_01208","AMEEEGBM_01694","OAFANHMB_02243","BJFLHFPA_03879","LNFOPOPD_01884","BMHAMMBM_00646","EIKGHHBD_00649","CDFNNGFP_00900"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"PLHCNFHB_02048","KMJDPIGG_00107","JMEEGOOJ_00672","NJJGCHOI_00966","JGJLLKKG_01869","DGJMLPEB_02597","EDMDPJBM_02128","LDHFOKNP_01198","AMEEEGBM_01704","OAFANHMB_02253","BJFLHFPA_03889","LNFOPOPD_01874","BMHAMMBM_00636","EIKGHHBD_00639","CDFNNGFP_00910"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"PLHCNFHB_02050","KMJDPIGG_00109","JMEEGOOJ_00674","NJJGCHOI_00968","JGJLLKKG_01867","DGJMLPEB_02599","EDMDPJBM_02130","LDHFOKNP_01196","AMEEEGBM_01706","OAFANHMB_02255","BJFLHFPA_02939","LNFOPOPD_01872","BMHAMMBM_00634","EIKGHHBD_00637","CDFNNGFP_00912"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"PLHCNFHB_02075","KMJDPIGG_00134","JMEEGOOJ_00699","NJJGCHOI_00993","JGJLLKKG_01842","DGJMLPEB_02624","EDMDPJBM_02155","LDHFOKNP_01171","AMEEEGBM_01731","OAFANHMB_02280","BJFLHFPA_02964","LNFOPOPD_01847","BMHAMMBM_00609","EIKGHHBD_00612","CDFNNGFP_00937"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"PLHCNFHB_02079","KMJDPIGG_00138","JMEEGOOJ_00703","NJJGCHOI_00997","JGJLLKKG_01838","DGJMLPEB_02628","EDMDPJBM_02159","LDHFOKNP_01167","AMEEEGBM_01735","OAFANHMB_02284","BJFLHFPA_02968","LNFOPOPD_01843","BMHAMMBM_00605","EIKGHHBD_00608","CDFNNGFP_00941"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"PLHCNFHB_02089","KMJDPIGG_00148","JMEEGOOJ_00713","NJJGCHOI_01007","JGJLLKKG_01828","DGJMLPEB_02638","EDMDPJBM_02169","LDHFOKNP_01157","AMEEEGBM_01745","OAFANHMB_02294","BJFLHFPA_02978","LNFOPOPD_01833","BMHAMMBM_00595","EIKGHHBD_00598","CDFNNGFP_00951"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"PLHCNFHB_02090","KMJDPIGG_00149","JMEEGOOJ_00714","NJJGCHOI_01008","JGJLLKKG_01827","DGJMLPEB_02639","EDMDPJBM_02170","LDHFOKNP_01156","AMEEEGBM_01746","OAFANHMB_02295","BJFLHFPA_02979","LNFOPOPD_01832","BMHAMMBM_00594","EIKGHHBD_00597","CDFNNGFP_00952"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"PLHCNFHB_02109","KMJDPIGG_00168","JMEEGOOJ_00733","NJJGCHOI_01027","JGJLLKKG_01808","DGJMLPEB_02658","EDMDPJBM_02189","LDHFOKNP_01137","AMEEEGBM_01765","OAFANHMB_02314","BJFLHFPA_02998","LNFOPOPD_01813","BMHAMMBM_00575","EIKGHHBD_00578","CDFNNGFP_00971"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"PLHCNFHB_02124","KMJDPIGG_00183","JMEEGOOJ_00748","NJJGCHOI_01042","JGJLLKKG_01793","DGJMLPEB_02673","EDMDPJBM_01387","LDHFOKNP_01122","AMEEEGBM_01780","OAFANHMB_02329","BJFLHFPA_03013","LNFOPOPD_01798","BMHAMMBM_00560","EIKGHHBD_00563","CDFNNGFP_00986"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"PLHCNFHB_02138","KMJDPIGG_00197","JMEEGOOJ_00762","NJJGCHOI_01056","JGJLLKKG_01779","DGJMLPEB_02687","EDMDPJBM_01373","LDHFOKNP_01108","AMEEEGBM_01794","OAFANHMB_02343","BJFLHFPA_03027","LNFOPOPD_01784","BMHAMMBM_00546","EIKGHHBD_00549","CDFNNGFP_01000"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"PLHCNFHB_02150","KMJDPIGG_00209","JMEEGOOJ_00774","NJJGCHOI_01068","JGJLLKKG_01767","DGJMLPEB_02699","EDMDPJBM_01361","LDHFOKNP_01096","AMEEEGBM_01806","OAFANHMB_02355","BJFLHFPA_03039","LNFOPOPD_01772","BMHAMMBM_00534","EIKGHHBD_00537","CDFNNGFP_01012"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"PLHCNFHB_02156","KMJDPIGG_00215","JMEEGOOJ_00780","NJJGCHOI_01074","JGJLLKKG_01761","DGJMLPEB_02705","EDMDPJBM_01355","LDHFOKNP_01090","AMEEEGBM_01812","OAFANHMB_02361","BJFLHFPA_03045","LNFOPOPD_01766","BMHAMMBM_00528","EIKGHHBD_00531","CDFNNGFP_01018"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"PLHCNFHB_02157","KMJDPIGG_00216","JMEEGOOJ_00781","NJJGCHOI_01075","JGJLLKKG_01760","DGJMLPEB_02706","EDMDPJBM_01354","LDHFOKNP_01089","AMEEEGBM_01813","OAFANHMB_02362","BJFLHFPA_03046","LNFOPOPD_01765","BMHAMMBM_00527","EIKGHHBD_00530","CDFNNGFP_01019"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"PLHCNFHB_02160","KMJDPIGG_00219","JMEEGOOJ_00784","NJJGCHOI_01078","JGJLLKKG_01757","DGJMLPEB_02709","EDMDPJBM_01351","LDHFOKNP_01086","AMEEEGBM_01816","OAFANHMB_02365","BJFLHFPA_03049","LNFOPOPD_01762","BMHAMMBM_00524","EIKGHHBD_00527","CDFNNGFP_01022"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"PLHCNFHB_02166","KMJDPIGG_00225","JMEEGOOJ_00790","NJJGCHOI_01084","JGJLLKKG_01751","DGJMLPEB_02715","EDMDPJBM_01345","LDHFOKNP_01080","AMEEEGBM_01822","OAFANHMB_02371","BJFLHFPA_03055","LNFOPOPD_01756","BMHAMMBM_00518","EIKGHHBD_00521","CDFNNGFP_01028"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"PLHCNFHB_02167","KMJDPIGG_00226","JMEEGOOJ_00791","NJJGCHOI_01085","JGJLLKKG_01750","DGJMLPEB_02716","EDMDPJBM_01344","LDHFOKNP_01079","AMEEEGBM_01823","OAFANHMB_02372","BJFLHFPA_01876","LNFOPOPD_01755","BMHAMMBM_00517","EIKGHHBD_00520","CDFNNGFP_01029"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"PLHCNFHB_02281","KMJDPIGG_00356","JMEEGOOJ_00921","NJJGCHOI_01215","JGJLLKKG_01620","DGJMLPEB_03675","EDMDPJBM_01214","LDHFOKNP_00949","AMEEEGBM_01953","OAFANHMB_03435","BJFLHFPA_02007","LNFOPOPD_01625","BMHAMMBM_00387","EIKGHHBD_00391","CDFNNGFP_01144"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"PLHCNFHB_02282","KMJDPIGG_00357","JMEEGOOJ_00922","NJJGCHOI_01216","JGJLLKKG_01619","DGJMLPEB_03676","EDMDPJBM_01213","LDHFOKNP_00948","AMEEEGBM_01954","OAFANHMB_03436","BJFLHFPA_02008","LNFOPOPD_01624","BMHAMMBM_00386","EIKGHHBD_00390","CDFNNGFP_01145"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"PLHCNFHB_02285","KMJDPIGG_00360","JMEEGOOJ_00925","NJJGCHOI_01219","JGJLLKKG_01616","DGJMLPEB_03679","EDMDPJBM_01210","LDHFOKNP_00945","AMEEEGBM_01957","OAFANHMB_03439","BJFLHFPA_02011","LNFOPOPD_01621","BMHAMMBM_00383","EIKGHHBD_00387","CDFNNGFP_01148"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"PLHCNFHB_02287","KMJDPIGG_00362","JMEEGOOJ_00927","NJJGCHOI_01221","JGJLLKKG_01614","DGJMLPEB_03681","EDMDPJBM_01208","LDHFOKNP_00943","AMEEEGBM_01959","OAFANHMB_03441","BJFLHFPA_02013","LNFOPOPD_01619","BMHAMMBM_00381","EIKGHHBD_00385","CDFNNGFP_01150"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"PLHCNFHB_02292","KMJDPIGG_00367","JMEEGOOJ_00932","NJJGCHOI_01226","JGJLLKKG_01609","DGJMLPEB_03686","EDMDPJBM_01203","LDHFOKNP_00938","AMEEEGBM_01964","OAFANHMB_03446","BJFLHFPA_02018","LNFOPOPD_01614","BMHAMMBM_00376","EIKGHHBD_00380","CDFNNGFP_01155"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"PLHCNFHB_02330","KMJDPIGG_00405","JMEEGOOJ_00970","NJJGCHOI_01264","JGJLLKKG_01571","DGJMLPEB_03724","EDMDPJBM_01165","LDHFOKNP_00900","AMEEEGBM_02002","OAFANHMB_03472","BJFLHFPA_04623","LNFOPOPD_01576","BMHAMMBM_00338","EIKGHHBD_00342","CDFNNGFP_01193"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"PLHCNFHB_03024","KMJDPIGG_00412","JMEEGOOJ_01634","NJJGCHOI_01957","JGJLLKKG_03033","DGJMLPEB_02485","EDMDPJBM_03799","LDHFOKNP_02992","AMEEEGBM_03061","OAFANHMB_01316","BJFLHFPA_04069","LNFOPOPD_02228","BMHAMMBM_00331","EIKGHHBD_00335","CDFNNGFP_02836"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"PLHCNFHB_03014","KMJDPIGG_00422","JMEEGOOJ_01624","NJJGCHOI_01947","JGJLLKKG_03043","DGJMLPEB_02475","EDMDPJBM_03789","LDHFOKNP_02982","AMEEEGBM_03071","OAFANHMB_01326","BJFLHFPA_04059","LNFOPOPD_02218","BMHAMMBM_00321","EIKGHHBD_00325","CDFNNGFP_02846"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"PLHCNFHB_03007","KMJDPIGG_00429","JMEEGOOJ_01617","NJJGCHOI_01940","JGJLLKKG_03050","DGJMLPEB_02468","EDMDPJBM_03782","LDHFOKNP_02975","AMEEEGBM_03078","OAFANHMB_01333","BJFLHFPA_04052","LNFOPOPD_02211","BMHAMMBM_00314","EIKGHHBD_00318","CDFNNGFP_02853"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"PLHCNFHB_02999","KMJDPIGG_00437","JMEEGOOJ_01609","NJJGCHOI_01932","JGJLLKKG_03058","DGJMLPEB_02460","EDMDPJBM_03774","LDHFOKNP_02967","AMEEEGBM_03086","OAFANHMB_01341","BJFLHFPA_04044","LNFOPOPD_02203","BMHAMMBM_00306","EIKGHHBD_00310","CDFNNGFP_02861"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"PLHCNFHB_02963","KMJDPIGG_00473","JMEEGOOJ_01573","NJJGCHOI_01896","JGJLLKKG_03094","DGJMLPEB_02424","EDMDPJBM_03738","LDHFOKNP_02931","AMEEEGBM_03122","OAFANHMB_01377","BJFLHFPA_04009","LNFOPOPD_02167","BMHAMMBM_00270","EIKGHHBD_00274","CDFNNGFP_02897"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"PLHCNFHB_02933","KMJDPIGG_00503","JMEEGOOJ_01543","NJJGCHOI_01866","JGJLLKKG_03124","DGJMLPEB_02394","EDMDPJBM_01929","LDHFOKNP_02901","AMEEEGBM_03152","OAFANHMB_01407","BJFLHFPA_00676","LNFOPOPD_02137","BMHAMMBM_00240","EIKGHHBD_00244","CDFNNGFP_02927"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"PLHCNFHB_02927","KMJDPIGG_00509","JMEEGOOJ_01537","NJJGCHOI_01860","JGJLLKKG_03130","DGJMLPEB_02388","EDMDPJBM_01935","LDHFOKNP_02895","AMEEEGBM_03158","OAFANHMB_01413","BJFLHFPA_00682","LNFOPOPD_02131","BMHAMMBM_00234","EIKGHHBD_00238","CDFNNGFP_02933"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"PLHCNFHB_02926","KMJDPIGG_00510","JMEEGOOJ_01536","NJJGCHOI_01859","JGJLLKKG_03131","DGJMLPEB_02387","EDMDPJBM_01936","LDHFOKNP_02894","AMEEEGBM_03159","OAFANHMB_01414","BJFLHFPA_00683","LNFOPOPD_02130","BMHAMMBM_00233","EIKGHHBD_00237","CDFNNGFP_02934"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"PLHCNFHB_02895","KMJDPIGG_00541","JMEEGOOJ_01505","NJJGCHOI_01828","JGJLLKKG_03162","DGJMLPEB_02356","EDMDPJBM_01966","LDHFOKNP_02863","AMEEEGBM_03190","OAFANHMB_01445","BJFLHFPA_00713","LNFOPOPD_02099","BMHAMMBM_00202","EIKGHHBD_00206","CDFNNGFP_02965"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"PLHCNFHB_02893","KMJDPIGG_00543","JMEEGOOJ_01503","NJJGCHOI_01826","JGJLLKKG_03164","DGJMLPEB_02354","EDMDPJBM_01968","LDHFOKNP_02861","AMEEEGBM_03192","OAFANHMB_01447","BJFLHFPA_00715","LNFOPOPD_02097","BMHAMMBM_00200","EIKGHHBD_00204","CDFNNGFP_02967"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"PLHCNFHB_02887","KMJDPIGG_00549","JMEEGOOJ_01497","NJJGCHOI_01820","JGJLLKKG_03170","DGJMLPEB_02348","EDMDPJBM_01974","LDHFOKNP_02855","AMEEEGBM_03198","OAFANHMB_01453","BJFLHFPA_00721","LNFOPOPD_02091","BMHAMMBM_00194","EIKGHHBD_00198","CDFNNGFP_02973"
