"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2994389","SRR15146532","SRR12420044","SRR7196769","SRR8728065","SRR14766414","SRR10995710","SRR23043677","SRR6475628","SRR18233388","SRR18233385","NDSU7","SRR2911775","SRR14766336","SRR28262169"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"APBHMKIJ_01650","FDAPHJIA_02747","IIEOGEEO_02569","ECBAHKLN_00778","OMPAEEHE_02437","CBFLKJKM_00198","PBEADCDK_00727","ANJCIHOA_02180","KPAOFOOC_00877","ACOJFAEA_01753","AJBEKOEN_01310","IGPMGEKP_00641","NCJKFECA_00210","LBLKLJFF_00982","ANCOLAMI_00546"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"APBHMKIJ_01638","FDAPHJIA_02759","IIEOGEEO_02557","ECBAHKLN_00790","OMPAEEHE_02449","CBFLKJKM_00210","PBEADCDK_00739","ANJCIHOA_02168","KPAOFOOC_00865","ACOJFAEA_01765","AJBEKOEN_01322","IGPMGEKP_00653","NCJKFECA_00198","LBLKLJFF_00970","ANCOLAMI_00534"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"APBHMKIJ_01632","FDAPHJIA_02765","IIEOGEEO_02551","ECBAHKLN_00796","OMPAEEHE_02455","CBFLKJKM_00216","PBEADCDK_00745","ANJCIHOA_02162","KPAOFOOC_00859","ACOJFAEA_01771","AJBEKOEN_01328","IGPMGEKP_00659","NCJKFECA_00192","LBLKLJFF_00964","ANCOLAMI_00528"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"APBHMKIJ_01631","FDAPHJIA_02766","IIEOGEEO_02550","ECBAHKLN_00797","OMPAEEHE_02456","CBFLKJKM_00217","PBEADCDK_00746","ANJCIHOA_02161","KPAOFOOC_00858","ACOJFAEA_01772","AJBEKOEN_01329","IGPMGEKP_00660","NCJKFECA_00191","LBLKLJFF_00963","ANCOLAMI_00527"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"APBHMKIJ_01628","FDAPHJIA_02769","IIEOGEEO_02547","ECBAHKLN_00800","OMPAEEHE_02459","CBFLKJKM_00220","PBEADCDK_00749","ANJCIHOA_02158","KPAOFOOC_00855","ACOJFAEA_01775","AJBEKOEN_01332","IGPMGEKP_00663","NCJKFECA_00188","LBLKLJFF_00960","ANCOLAMI_00524"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"APBHMKIJ_01622","FDAPHJIA_02775","IIEOGEEO_02541","ECBAHKLN_00806","OMPAEEHE_02465","CBFLKJKM_00226","PBEADCDK_00755","ANJCIHOA_02152","KPAOFOOC_00849","ACOJFAEA_01781","AJBEKOEN_01338","IGPMGEKP_00669","NCJKFECA_00182","LBLKLJFF_04361","ANCOLAMI_00518"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"APBHMKIJ_01621","FDAPHJIA_02776","IIEOGEEO_03730","ECBAHKLN_00807","OMPAEEHE_02466","CBFLKJKM_00227","PBEADCDK_00756","ANJCIHOA_02151","KPAOFOOC_00848","ACOJFAEA_01782","AJBEKOEN_01339","IGPMGEKP_00670","NCJKFECA_00181","LBLKLJFF_04360","ANCOLAMI_00517"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"APBHMKIJ_02530","FDAPHJIA_01437","IIEOGEEO_01837","ECBAHKLN_00937","OMPAEEHE_03822","CBFLKJKM_00357","PBEADCDK_00886","ANJCIHOA_02021","KPAOFOOC_00718","ACOJFAEA_01912","AJBEKOEN_01469","IGPMGEKP_00799","NCJKFECA_00051","LBLKLJFF_01892","ANCOLAMI_00388"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"APBHMKIJ_02531","FDAPHJIA_01436","IIEOGEEO_01836","ECBAHKLN_00938","OMPAEEHE_03821","CBFLKJKM_00358","PBEADCDK_00887","ANJCIHOA_02020","KPAOFOOC_00717","ACOJFAEA_01913","AJBEKOEN_01470","IGPMGEKP_00800","NCJKFECA_00050","LBLKLJFF_01891","ANCOLAMI_00387"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"APBHMKIJ_02534","FDAPHJIA_01433","IIEOGEEO_01833","ECBAHKLN_00941","OMPAEEHE_03818","CBFLKJKM_00361","PBEADCDK_00890","ANJCIHOA_02017","KPAOFOOC_00714","ACOJFAEA_01916","AJBEKOEN_01473","IGPMGEKP_00803","NCJKFECA_00047","LBLKLJFF_01888","ANCOLAMI_00384"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"APBHMKIJ_02536","FDAPHJIA_01431","IIEOGEEO_01831","ECBAHKLN_00943","OMPAEEHE_03816","CBFLKJKM_00363","PBEADCDK_00892","ANJCIHOA_02015","KPAOFOOC_00712","ACOJFAEA_01918","AJBEKOEN_01475","IGPMGEKP_00805","NCJKFECA_00045","LBLKLJFF_01886","ANCOLAMI_00382"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"APBHMKIJ_02541","FDAPHJIA_01426","IIEOGEEO_01826","ECBAHKLN_00948","OMPAEEHE_03811","CBFLKJKM_00368","PBEADCDK_00897","ANJCIHOA_02010","KPAOFOOC_00707","ACOJFAEA_01923","AJBEKOEN_01480","IGPMGEKP_00810","NCJKFECA_00040","LBLKLJFF_01881","ANCOLAMI_00377"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"APBHMKIJ_02579","FDAPHJIA_01388","IIEOGEEO_01788","ECBAHKLN_00986","OMPAEEHE_04642","CBFLKJKM_00406","PBEADCDK_00935","ANJCIHOA_01972","KPAOFOOC_00669","ACOJFAEA_01961","AJBEKOEN_01518","IGPMGEKP_00848","NCJKFECA_00002","LBLKLJFF_04396","ANCOLAMI_00339"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"APBHMKIJ_01367","FDAPHJIA_01381","IIEOGEEO_00989","ECBAHKLN_00993","OMPAEEHE_01238","CBFLKJKM_02496","PBEADCDK_03308","ANJCIHOA_03399","KPAOFOOC_02560","ACOJFAEA_03021","AJBEKOEN_03321","IGPMGEKP_04378","NCJKFECA_03798","LBLKLJFF_00506","ANCOLAMI_00332"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"APBHMKIJ_01357","FDAPHJIA_01371","IIEOGEEO_00999","ECBAHKLN_01003","OMPAEEHE_01248","CBFLKJKM_02486","PBEADCDK_03298","ANJCIHOA_03389","KPAOFOOC_02570","ACOJFAEA_03031","AJBEKOEN_03311","IGPMGEKP_04368","NCJKFECA_03788","LBLKLJFF_00496","ANCOLAMI_00322"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"APBHMKIJ_01350","FDAPHJIA_01364","IIEOGEEO_01006","ECBAHKLN_01010","OMPAEEHE_01255","CBFLKJKM_02479","PBEADCDK_03291","ANJCIHOA_03382","KPAOFOOC_02577","ACOJFAEA_03038","AJBEKOEN_03304","IGPMGEKP_04361","NCJKFECA_03781","LBLKLJFF_00489","ANCOLAMI_00315"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"APBHMKIJ_01342","FDAPHJIA_01356","IIEOGEEO_01014","ECBAHKLN_01018","OMPAEEHE_01263","CBFLKJKM_02471","PBEADCDK_03283","ANJCIHOA_03374","KPAOFOOC_02585","ACOJFAEA_03046","AJBEKOEN_03296","IGPMGEKP_04353","NCJKFECA_03773","LBLKLJFF_00481","ANCOLAMI_00307"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"APBHMKIJ_01306","FDAPHJIA_01320","IIEOGEEO_01050","ECBAHKLN_01054","OMPAEEHE_01299","CBFLKJKM_02435","PBEADCDK_03247","ANJCIHOA_03338","KPAOFOOC_02621","ACOJFAEA_03082","AJBEKOEN_03260","IGPMGEKP_03764","NCJKFECA_03737","LBLKLJFF_00445","ANCOLAMI_00271"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"APBHMKIJ_01276","FDAPHJIA_01290","IIEOGEEO_01080","ECBAHKLN_01084","OMPAEEHE_01329","CBFLKJKM_02405","PBEADCDK_03217","ANJCIHOA_03308","KPAOFOOC_02651","ACOJFAEA_03112","AJBEKOEN_03230","IGPMGEKP_03794","NCJKFECA_03707","LBLKLJFF_00415","ANCOLAMI_00241"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"APBHMKIJ_01270","FDAPHJIA_01284","IIEOGEEO_01086","ECBAHKLN_01090","OMPAEEHE_01335","CBFLKJKM_02399","PBEADCDK_03211","ANJCIHOA_03302","KPAOFOOC_02657","ACOJFAEA_03118","AJBEKOEN_03224","IGPMGEKP_03800","NCJKFECA_03701","LBLKLJFF_00409","ANCOLAMI_00235"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"APBHMKIJ_01269","FDAPHJIA_01283","IIEOGEEO_01087","ECBAHKLN_01091","OMPAEEHE_01336","CBFLKJKM_02398","PBEADCDK_03210","ANJCIHOA_03301","KPAOFOOC_02658","ACOJFAEA_03119","AJBEKOEN_03223","IGPMGEKP_03801","NCJKFECA_03700","LBLKLJFF_00408","ANCOLAMI_00234"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"APBHMKIJ_01238","FDAPHJIA_01252","IIEOGEEO_01118","ECBAHKLN_01123","OMPAEEHE_01366","CBFLKJKM_02367","PBEADCDK_03179","ANJCIHOA_03270","KPAOFOOC_02689","ACOJFAEA_03150","AJBEKOEN_03192","IGPMGEKP_03832","NCJKFECA_03331","LBLKLJFF_00378","ANCOLAMI_00203"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"APBHMKIJ_01236","FDAPHJIA_01250","IIEOGEEO_01120","ECBAHKLN_01125","OMPAEEHE_01368","CBFLKJKM_02365","PBEADCDK_03177","ANJCIHOA_03268","KPAOFOOC_02691","ACOJFAEA_03152","AJBEKOEN_03190","IGPMGEKP_03834","NCJKFECA_03329","LBLKLJFF_00376","ANCOLAMI_00201"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"APBHMKIJ_01230","FDAPHJIA_01244","IIEOGEEO_01126","ECBAHKLN_01131","OMPAEEHE_01374","CBFLKJKM_02359","PBEADCDK_03171","ANJCIHOA_03262","KPAOFOOC_02697","ACOJFAEA_03158","AJBEKOEN_03184","IGPMGEKP_03840","NCJKFECA_03323","LBLKLJFF_00370","ANCOLAMI_00195"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"APBHMKIJ_01223","FDAPHJIA_01237","IIEOGEEO_01133","ECBAHKLN_01138","OMPAEEHE_01381","CBFLKJKM_02352","PBEADCDK_03164","ANJCIHOA_03255","KPAOFOOC_02704","ACOJFAEA_03165","AJBEKOEN_03177","IGPMGEKP_03847","NCJKFECA_03316","LBLKLJFF_00363","ANCOLAMI_00188"
