"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5928153","SRR28323390","SRR14766438","NDSU16","SRR5000227","SRR10037225","SRR5905291","SRR10963338","SRR1501680","SRR5928609","SRR2911774","SRR2962651","SRR14766386","SRR11043408","SRR2096614"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"BMGCDLMI_04379","OILBKPLO_04156","EJBBKOOG_03945","PJHKJHDN_04414","FKHFPJNE_04370","KILFPKNN_04325","FGPKPDMB_04551","HJPBANPH_04030","BPMCEJLP_04471","MAMFPLAJ_03978","PFMPIDLH_04584","MAOMFHLF_04384","OKEMFKGG_04426","OBBHNEFO_04456","NJPCONAJ_04430"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"BMGCDLMI_04382","OILBKPLO_04159","EJBBKOOG_03948","PJHKJHDN_04411","FKHFPJNE_04373","KILFPKNN_04322","FGPKPDMB_04548","HJPBANPH_04027","BPMCEJLP_04468","MAMFPLAJ_03975","PFMPIDLH_04581","MAOMFHLF_04387","OKEMFKGG_04423","OBBHNEFO_04459","NJPCONAJ_04433"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"BMGCDLMI_04403","OILBKPLO_04180","EJBBKOOG_03969","PJHKJHDN_04390","FKHFPJNE_04394","KILFPKNN_04301","FGPKPDMB_04527","HJPBANPH_04006","BPMCEJLP_04447","MAMFPLAJ_03954","PFMPIDLH_04560","MAOMFHLF_04408","OKEMFKGG_04402","OBBHNEFO_04480","NJPCONAJ_04454"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"BMGCDLMI_04444","OILBKPLO_04079","EJBBKOOG_04132","PJHKJHDN_04443","FKHFPJNE_04436","KILFPKNN_04397","FGPKPDMB_04581","HJPBANPH_04189","BPMCEJLP_04500","MAMFPLAJ_03470","PFMPIDLH_04514","MAOMFHLF_04449","OKEMFKGG_04456","OBBHNEFO_04522","NJPCONAJ_04401"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"BMGCDLMI_04504","OILBKPLO_04476","EJBBKOOG_04513","PJHKJHDN_04535","FKHFPJNE_04465","KILFPKNN_04513","FGPKPDMB_04633","HJPBANPH_04440","BPMCEJLP_04552","MAMFPLAJ_04511","PFMPIDLH_04613","MAOMFHLF_04618","OKEMFKGG_04596","OBBHNEFO_04573","NJPCONAJ_04544"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"BMGCDLMI_00598","OILBKPLO_04299","EJBBKOOG_01685","PJHKJHDN_01341","FKHFPJNE_03938","KILFPKNN_00074","FGPKPDMB_00074","HJPBANPH_01166","BPMCEJLP_02089","MAMFPLAJ_03874","PFMPIDLH_00074","MAOMFHLF_02096","OKEMFKGG_00074","OBBHNEFO_00074","NJPCONAJ_03071"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"BMGCDLMI_02749","OILBKPLO_02745","EJBBKOOG_03363","PJHKJHDN_02474","FKHFPJNE_01668","KILFPKNN_01336","FGPKPDMB_00676","HJPBANPH_03836","BPMCEJLP_00008","MAMFPLAJ_04396","PFMPIDLH_01108","MAOMFHLF_02408","OKEMFKGG_01699","OBBHNEFO_00677","NJPCONAJ_03592"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"BMGCDLMI_00495","OILBKPLO_03497","EJBBKOOG_01582","PJHKJHDN_01238","FKHFPJNE_03835","KILFPKNN_00177","FGPKPDMB_00177","HJPBANPH_01063","BPMCEJLP_01987","MAMFPLAJ_01332","PFMPIDLH_00177","MAOMFHLF_01993","OKEMFKGG_00178","OBBHNEFO_00177","NJPCONAJ_01715"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"BMGCDLMI_03716","OILBKPLO_03179","EJBBKOOG_01335","PJHKJHDN_00699","FKHFPJNE_00700","KILFPKNN_00715","FGPKPDMB_01986","HJPBANPH_01600","BPMCEJLP_01540","MAMFPLAJ_03266","PFMPIDLH_03038","MAOMFHLF_00774","OKEMFKGG_01161","OBBHNEFO_01620","NJPCONAJ_04017"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"BMGCDLMI_03712","OILBKPLO_03183","EJBBKOOG_01331","PJHKJHDN_00695","FKHFPJNE_00696","KILFPKNN_00719","FGPKPDMB_01990","HJPBANPH_01604","BPMCEJLP_01544","MAMFPLAJ_03270","PFMPIDLH_03034","MAOMFHLF_00770","OKEMFKGG_01157","OBBHNEFO_01624","NJPCONAJ_04021"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"BMGCDLMI_03709","OILBKPLO_03186","EJBBKOOG_01328","PJHKJHDN_00692","FKHFPJNE_00693","KILFPKNN_00722","FGPKPDMB_01993","HJPBANPH_01607","BPMCEJLP_01547","MAMFPLAJ_03273","PFMPIDLH_03031","MAOMFHLF_00767","OKEMFKGG_01154","OBBHNEFO_01627","NJPCONAJ_04024"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"BMGCDLMI_03708","OILBKPLO_03187","EJBBKOOG_01327","PJHKJHDN_00691","FKHFPJNE_00692","KILFPKNN_00723","FGPKPDMB_01994","HJPBANPH_01608","BPMCEJLP_01548","MAMFPLAJ_03274","PFMPIDLH_03030","MAOMFHLF_00766","OKEMFKGG_01153","OBBHNEFO_01628","NJPCONAJ_04025"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"BMGCDLMI_03683","OILBKPLO_03212","EJBBKOOG_01302","PJHKJHDN_00666","FKHFPJNE_00667","KILFPKNN_00748","FGPKPDMB_02019","HJPBANPH_01633","BPMCEJLP_01573","MAMFPLAJ_03299","PFMPIDLH_03005","MAOMFHLF_00741","OKEMFKGG_01128","OBBHNEFO_01653","NJPCONAJ_04050"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"BMGCDLMI_03682","OILBKPLO_03213","EJBBKOOG_01301","PJHKJHDN_00665","FKHFPJNE_00666","KILFPKNN_00749","FGPKPDMB_02020","HJPBANPH_01634","BPMCEJLP_01574","MAMFPLAJ_03300","PFMPIDLH_03004","MAOMFHLF_00740","OKEMFKGG_01127","OBBHNEFO_01654","NJPCONAJ_04051"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"BMGCDLMI_03681","OILBKPLO_03214","EJBBKOOG_01300","PJHKJHDN_00664","FKHFPJNE_00665","KILFPKNN_00750","FGPKPDMB_02021","HJPBANPH_01635","BPMCEJLP_01575","MAMFPLAJ_03301","PFMPIDLH_03003","MAOMFHLF_00739","OKEMFKGG_01126","OBBHNEFO_01655","NJPCONAJ_04052"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"BMGCDLMI_03666","OILBKPLO_03229","EJBBKOOG_01284","PJHKJHDN_00649","FKHFPJNE_00650","KILFPKNN_00765","FGPKPDMB_02036","HJPBANPH_04427","BPMCEJLP_01590","MAMFPLAJ_03799","PFMPIDLH_02988","MAOMFHLF_00724","OKEMFKGG_01111","OBBHNEFO_01670","NJPCONAJ_01373"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"BMGCDLMI_03656","OILBKPLO_03239","EJBBKOOG_01274","PJHKJHDN_00639","FKHFPJNE_00640","KILFPKNN_00775","FGPKPDMB_02046","HJPBANPH_04417","BPMCEJLP_01600","MAMFPLAJ_03809","PFMPIDLH_02978","MAOMFHLF_00714","OKEMFKGG_01101","OBBHNEFO_01680","NJPCONAJ_01363"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"BMGCDLMI_03654","OILBKPLO_03241","EJBBKOOG_01272","PJHKJHDN_00637","FKHFPJNE_00638","KILFPKNN_00777","FGPKPDMB_02048","HJPBANPH_03558","BPMCEJLP_01603","MAMFPLAJ_03811","PFMPIDLH_02976","MAOMFHLF_00712","OKEMFKGG_01099","OBBHNEFO_01682","NJPCONAJ_01361"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"BMGCDLMI_03629","OILBKPLO_01770","EJBBKOOG_01247","PJHKJHDN_00612","FKHFPJNE_00613","KILFPKNN_00802","FGPKPDMB_02073","HJPBANPH_03533","BPMCEJLP_01628","MAMFPLAJ_00337","PFMPIDLH_02951","MAOMFHLF_00687","OKEMFKGG_01074","OBBHNEFO_01707","NJPCONAJ_01336"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"BMGCDLMI_03625","OILBKPLO_01774","EJBBKOOG_01243","PJHKJHDN_00608","FKHFPJNE_00609","KILFPKNN_00806","FGPKPDMB_02077","HJPBANPH_03529","BPMCEJLP_01632","MAMFPLAJ_00341","PFMPIDLH_02947","MAOMFHLF_00683","OKEMFKGG_01070","OBBHNEFO_01711","NJPCONAJ_01332"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"BMGCDLMI_03615","OILBKPLO_01784","EJBBKOOG_01233","PJHKJHDN_00598","FKHFPJNE_00599","KILFPKNN_00816","FGPKPDMB_02087","HJPBANPH_03519","BPMCEJLP_01642","MAMFPLAJ_00350","PFMPIDLH_02937","MAOMFHLF_00673","OKEMFKGG_01060","OBBHNEFO_01721","NJPCONAJ_01322"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"BMGCDLMI_03614","OILBKPLO_01785","EJBBKOOG_01232","PJHKJHDN_00597","FKHFPJNE_00598","KILFPKNN_00817","FGPKPDMB_02088","HJPBANPH_03518","BPMCEJLP_01643","MAMFPLAJ_00351","PFMPIDLH_02936","MAOMFHLF_00672","OKEMFKGG_01059","OBBHNEFO_01722","NJPCONAJ_01321"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"BMGCDLMI_03595","OILBKPLO_01804","EJBBKOOG_01213","PJHKJHDN_00578","FKHFPJNE_00579","KILFPKNN_00836","FGPKPDMB_02107","HJPBANPH_03499","BPMCEJLP_01662","MAMFPLAJ_00370","PFMPIDLH_02917","MAOMFHLF_00653","OKEMFKGG_01040","OBBHNEFO_01741","NJPCONAJ_01302"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"BMGCDLMI_03580","OILBKPLO_01819","EJBBKOOG_01198","PJHKJHDN_00563","FKHFPJNE_00564","KILFPKNN_00851","FGPKPDMB_02122","HJPBANPH_04167","BPMCEJLP_01677","MAMFPLAJ_00385","PFMPIDLH_02902","MAOMFHLF_00638","OKEMFKGG_01025","OBBHNEFO_01756","NJPCONAJ_01287"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"BMGCDLMI_03193","OILBKPLO_01833","EJBBKOOG_01184","PJHKJHDN_00549","FKHFPJNE_00550","KILFPKNN_00865","FGPKPDMB_02136","HJPBANPH_04153","BPMCEJLP_01691","MAMFPLAJ_00399","PFMPIDLH_02888","MAOMFHLF_00624","OKEMFKGG_01011","OBBHNEFO_01770","NJPCONAJ_01273"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"BMGCDLMI_03181","OILBKPLO_01845","EJBBKOOG_02528","PJHKJHDN_00537","FKHFPJNE_00538","KILFPKNN_00877","FGPKPDMB_02148","HJPBANPH_03702","BPMCEJLP_01703","MAMFPLAJ_00411","PFMPIDLH_02876","MAOMFHLF_00612","OKEMFKGG_00999","OBBHNEFO_01782","NJPCONAJ_01261"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"BMGCDLMI_03175","OILBKPLO_01851","EJBBKOOG_02522","PJHKJHDN_00531","FKHFPJNE_00532","KILFPKNN_00883","FGPKPDMB_02154","HJPBANPH_03696","BPMCEJLP_01709","MAMFPLAJ_00417","PFMPIDLH_02870","MAOMFHLF_00606","OKEMFKGG_00993","OBBHNEFO_01788","NJPCONAJ_01255"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"BMGCDLMI_03174","OILBKPLO_01852","EJBBKOOG_02521","PJHKJHDN_00530","FKHFPJNE_00531","KILFPKNN_00884","FGPKPDMB_02155","HJPBANPH_03695","BPMCEJLP_01710","MAMFPLAJ_00418","PFMPIDLH_02869","MAOMFHLF_00605","OKEMFKGG_00992","OBBHNEFO_01789","NJPCONAJ_01254"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"BMGCDLMI_03171","OILBKPLO_01855","EJBBKOOG_02518","PJHKJHDN_00527","FKHFPJNE_00528","KILFPKNN_00887","FGPKPDMB_02158","HJPBANPH_03692","BPMCEJLP_01713","MAMFPLAJ_00421","PFMPIDLH_02866","MAOMFHLF_00602","OKEMFKGG_00989","OBBHNEFO_01792","NJPCONAJ_01251"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"BMGCDLMI_03165","OILBKPLO_01861","EJBBKOOG_02512","PJHKJHDN_00521","FKHFPJNE_00522","KILFPKNN_00893","FGPKPDMB_02164","HJPBANPH_03686","BPMCEJLP_01719","MAMFPLAJ_00427","PFMPIDLH_02860","MAOMFHLF_00596","OKEMFKGG_00983","OBBHNEFO_01798","NJPCONAJ_01245"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"BMGCDLMI_03164","OILBKPLO_01862","EJBBKOOG_02511","PJHKJHDN_00520","FKHFPJNE_00521","KILFPKNN_00894","FGPKPDMB_02165","HJPBANPH_03685","BPMCEJLP_01720","MAMFPLAJ_00428","PFMPIDLH_02859","MAOMFHLF_00595","OKEMFKGG_00982","OBBHNEFO_01799","NJPCONAJ_01244"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"BMGCDLMI_03034","OILBKPLO_03388","EJBBKOOG_00400","PJHKJHDN_00391","FKHFPJNE_00391","KILFPKNN_01024","FGPKPDMB_02295","HJPBANPH_03887","BPMCEJLP_04312","MAMFPLAJ_00557","PFMPIDLH_03266","MAOMFHLF_00466","OKEMFKGG_00852","OBBHNEFO_01929","NJPCONAJ_03249"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"BMGCDLMI_03033","OILBKPLO_03389","EJBBKOOG_00401","PJHKJHDN_00390","FKHFPJNE_00390","KILFPKNN_01025","FGPKPDMB_02296","HJPBANPH_03888","BPMCEJLP_04313","MAMFPLAJ_00558","PFMPIDLH_03265","MAOMFHLF_00465","OKEMFKGG_00851","OBBHNEFO_01930","NJPCONAJ_03250"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"BMGCDLMI_03030","OILBKPLO_03392","EJBBKOOG_00404","PJHKJHDN_00387","FKHFPJNE_00387","KILFPKNN_01028","FGPKPDMB_02299","HJPBANPH_03891","BPMCEJLP_04316","MAMFPLAJ_00561","PFMPIDLH_03262","MAOMFHLF_00462","OKEMFKGG_00848","OBBHNEFO_01933","NJPCONAJ_03253"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"BMGCDLMI_03028","OILBKPLO_03395","EJBBKOOG_00406","PJHKJHDN_00385","FKHFPJNE_00385","KILFPKNN_01030","FGPKPDMB_02301","HJPBANPH_03893","BPMCEJLP_04318","MAMFPLAJ_00563","PFMPIDLH_03260","MAOMFHLF_00460","OKEMFKGG_00846","OBBHNEFO_01935","NJPCONAJ_03255"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"BMGCDLMI_03023","OILBKPLO_03400","EJBBKOOG_00411","PJHKJHDN_00380","FKHFPJNE_00380","KILFPKNN_01035","FGPKPDMB_02306","HJPBANPH_03898","BPMCEJLP_04323","MAMFPLAJ_00568","PFMPIDLH_03255","MAOMFHLF_00455","OKEMFKGG_00841","OBBHNEFO_01940","NJPCONAJ_03260"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"BMGCDLMI_02985","OILBKPLO_03438","EJBBKOOG_00449","PJHKJHDN_00342","FKHFPJNE_00342","KILFPKNN_01073","FGPKPDMB_02344","HJPBANPH_03936","BPMCEJLP_04361","MAMFPLAJ_04574","PFMPIDLH_03217","MAOMFHLF_00416","OKEMFKGG_00803","OBBHNEFO_01978","NJPCONAJ_04589"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"BMGCDLMI_02165","OILBKPLO_03010","EJBBKOOG_00456","PJHKJHDN_00335","FKHFPJNE_00335","KILFPKNN_01080","FGPKPDMB_03400","HJPBANPH_00808","BPMCEJLP_02167","MAMFPLAJ_00006","PFMPIDLH_03210","MAOMFHLF_01867","OKEMFKGG_00796","OBBHNEFO_03366","NJPCONAJ_00663"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"BMGCDLMI_02155","OILBKPLO_03000","EJBBKOOG_00466","PJHKJHDN_00325","FKHFPJNE_00325","KILFPKNN_01090","FGPKPDMB_03390","HJPBANPH_00818","BPMCEJLP_02177","MAMFPLAJ_00016","PFMPIDLH_03200","MAOMFHLF_01857","OKEMFKGG_00786","OBBHNEFO_03356","NJPCONAJ_00653"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"BMGCDLMI_02148","OILBKPLO_02993","EJBBKOOG_00473","PJHKJHDN_00318","FKHFPJNE_00318","KILFPKNN_01097","FGPKPDMB_03383","HJPBANPH_00825","BPMCEJLP_02184","MAMFPLAJ_00023","PFMPIDLH_03193","MAOMFHLF_01850","OKEMFKGG_00779","OBBHNEFO_03349","NJPCONAJ_00646"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"BMGCDLMI_02140","OILBKPLO_02985","EJBBKOOG_00481","PJHKJHDN_00310","FKHFPJNE_00310","KILFPKNN_01105","FGPKPDMB_03375","HJPBANPH_00833","BPMCEJLP_02192","MAMFPLAJ_00031","PFMPIDLH_03185","MAOMFHLF_01842","OKEMFKGG_00771","OBBHNEFO_03341","NJPCONAJ_00638"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"BMGCDLMI_02104","OILBKPLO_02950","EJBBKOOG_00517","PJHKJHDN_00274","FKHFPJNE_00274","KILFPKNN_01141","FGPKPDMB_03339","HJPBANPH_00869","BPMCEJLP_02228","MAMFPLAJ_00067","PFMPIDLH_03149","MAOMFHLF_01806","OKEMFKGG_00735","OBBHNEFO_03305","NJPCONAJ_00602"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"BMGCDLMI_02074","OILBKPLO_02920","EJBBKOOG_00547","PJHKJHDN_00244","FKHFPJNE_00244","KILFPKNN_01171","FGPKPDMB_03309","HJPBANPH_00899","BPMCEJLP_02258","MAMFPLAJ_00097","PFMPIDLH_03119","MAOMFHLF_01776","OKEMFKGG_00705","OBBHNEFO_03275","NJPCONAJ_00572"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"BMGCDLMI_02068","OILBKPLO_02914","EJBBKOOG_00553","PJHKJHDN_00238","FKHFPJNE_00238","KILFPKNN_01177","FGPKPDMB_03303","HJPBANPH_00905","BPMCEJLP_02264","MAMFPLAJ_00103","PFMPIDLH_03113","MAOMFHLF_01770","OKEMFKGG_00699","OBBHNEFO_03269","NJPCONAJ_00566"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"BMGCDLMI_02067","OILBKPLO_02913","EJBBKOOG_00554","PJHKJHDN_00237","FKHFPJNE_00237","KILFPKNN_01178","FGPKPDMB_03302","HJPBANPH_00906","BPMCEJLP_02265","MAMFPLAJ_00104","PFMPIDLH_03112","MAOMFHLF_01769","OKEMFKGG_00698","OBBHNEFO_03268","NJPCONAJ_00565"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"BMGCDLMI_02036","OILBKPLO_02143","EJBBKOOG_00584","PJHKJHDN_00206","FKHFPJNE_00206","KILFPKNN_01209","FGPKPDMB_03271","HJPBANPH_00937","BPMCEJLP_02296","MAMFPLAJ_00134","PFMPIDLH_03554","MAOMFHLF_01738","OKEMFKGG_03809","OBBHNEFO_03237","NJPCONAJ_00534"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"BMGCDLMI_02034","OILBKPLO_02141","EJBBKOOG_00586","PJHKJHDN_00204","FKHFPJNE_00204","KILFPKNN_01211","FGPKPDMB_03269","HJPBANPH_00939","BPMCEJLP_02298","MAMFPLAJ_00136","PFMPIDLH_03552","MAOMFHLF_01736","OKEMFKGG_03807","OBBHNEFO_03235","NJPCONAJ_00532"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"BMGCDLMI_02028","OILBKPLO_02135","EJBBKOOG_00592","PJHKJHDN_00198","FKHFPJNE_00198","KILFPKNN_01217","FGPKPDMB_03263","HJPBANPH_00945","BPMCEJLP_02304","MAMFPLAJ_00142","PFMPIDLH_03546","MAOMFHLF_01730","OKEMFKGG_03801","OBBHNEFO_03229","NJPCONAJ_00526"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"BMGCDLMI_02021","OILBKPLO_02128","EJBBKOOG_00599","PJHKJHDN_00191","FKHFPJNE_00191","KILFPKNN_01224","FGPKPDMB_03256","HJPBANPH_00952","BPMCEJLP_02311","MAMFPLAJ_00149","PFMPIDLH_03539","MAOMFHLF_01723","OKEMFKGG_03794","OBBHNEFO_03222","NJPCONAJ_00519"
