"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3037434","SRR2994384","NDSU1","SRR11101167","SRR12075372","SRR14766444","SRR5928153","SRR15712222","NDSU6","SRR14766361","SRR5985919","SRR14766386","SRR8041750","SRR28412153","SRR4292616"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"ENBCENPF_04569","KKCBMJKJ_04438","GEPIEMCB_04720","ELELPFCC_04589","OHGDDBEJ_04526","PJHKONLG_04517","BMGCDLMI_04504","JIDNIGFB_04586","LBKLGAEM_04642","MGNDMLEC_04536","CNEOHEEB_04541","OKEMFKGG_04596","EJCMFNNE_04500","IKEDIMNK_04511","OOMOJDPP_04516"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"ENBCENPF_00074","KKCBMJKJ_00331","GEPIEMCB_01338","ELELPFCC_03115","OHGDDBEJ_00599","PJHKONLG_02053","BMGCDLMI_00598","JIDNIGFB_01340","LBKLGAEM_00595","MGNDMLEC_02419","CNEOHEEB_00595","OKEMFKGG_00074","EJCMFNNE_02155","IKEDIMNK_01296","OOMOJDPP_01102"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"ENBCENPF_02789","KKCBMJKJ_04110","GEPIEMCB_02412","ELELPFCC_00437","OHGDDBEJ_01109","PJHKONLG_02906","BMGCDLMI_02749","JIDNIGFB_02335","LBKLGAEM_01647","MGNDMLEC_04079","CNEOHEEB_01105","OKEMFKGG_01699","EJCMFNNE_03786","IKEDIMNK_03665","OOMOJDPP_03142"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"ENBCENPF_00177","KKCBMJKJ_00228","GEPIEMCB_01235","ELELPFCC_03012","OHGDDBEJ_00495","PJHKONLG_02918","BMGCDLMI_00495","JIDNIGFB_01237","LBKLGAEM_00492","MGNDMLEC_02522","CNEOHEEB_00492","OKEMFKGG_00178","EJCMFNNE_02647","IKEDIMNK_01193","OOMOJDPP_00266"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"ENBCENPF_01129","KKCBMJKJ_03997","GEPIEMCB_00047","ELELPFCC_00803","OHGDDBEJ_01476","PJHKONLG_03759","BMGCDLMI_03716","JIDNIGFB_00047","LBKLGAEM_01200","MGNDMLEC_00533","CNEOHEEB_01472","OKEMFKGG_01161","EJCMFNNE_00360","IKEDIMNK_00696","OOMOJDPP_03704"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"ENBCENPF_01133","KKCBMJKJ_03993","GEPIEMCB_00051","ELELPFCC_00799","OHGDDBEJ_01472","PJHKONLG_03763","BMGCDLMI_03712","JIDNIGFB_00051","LBKLGAEM_01204","MGNDMLEC_00537","CNEOHEEB_01468","OKEMFKGG_01157","EJCMFNNE_00356","IKEDIMNK_00692","OOMOJDPP_03708"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"ENBCENPF_01136","KKCBMJKJ_03990","GEPIEMCB_00054","ELELPFCC_00796","OHGDDBEJ_01469","PJHKONLG_03766","BMGCDLMI_03709","JIDNIGFB_00054","LBKLGAEM_01207","MGNDMLEC_00540","CNEOHEEB_01465","OKEMFKGG_01154","EJCMFNNE_00353","IKEDIMNK_00689","OOMOJDPP_03711"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"ENBCENPF_01137","KKCBMJKJ_03989","GEPIEMCB_00055","ELELPFCC_00795","OHGDDBEJ_01468","PJHKONLG_03767","BMGCDLMI_03708","JIDNIGFB_00055","LBKLGAEM_01208","MGNDMLEC_00541","CNEOHEEB_01464","OKEMFKGG_01153","EJCMFNNE_00352","IKEDIMNK_00688","OOMOJDPP_03712"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"ENBCENPF_01162","KKCBMJKJ_03964","GEPIEMCB_00080","ELELPFCC_00770","OHGDDBEJ_01443","PJHKONLG_03792","BMGCDLMI_03683","JIDNIGFB_00080","LBKLGAEM_01233","MGNDMLEC_00566","CNEOHEEB_01439","OKEMFKGG_01128","EJCMFNNE_00327","IKEDIMNK_00663","OOMOJDPP_03737"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"ENBCENPF_01163","KKCBMJKJ_03963","GEPIEMCB_00081","ELELPFCC_00769","OHGDDBEJ_01442","PJHKONLG_03793","BMGCDLMI_03682","JIDNIGFB_00081","LBKLGAEM_01234","MGNDMLEC_00567","CNEOHEEB_01438","OKEMFKGG_01127","EJCMFNNE_00326","IKEDIMNK_00662","OOMOJDPP_03738"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"ENBCENPF_01164","KKCBMJKJ_03962","GEPIEMCB_00082","ELELPFCC_00768","OHGDDBEJ_01441","PJHKONLG_03794","BMGCDLMI_03681","JIDNIGFB_00082","LBKLGAEM_01235","MGNDMLEC_00568","CNEOHEEB_01437","OKEMFKGG_01126","EJCMFNNE_00325","IKEDIMNK_00661","OOMOJDPP_03739"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"ENBCENPF_01180","KKCBMJKJ_02230","GEPIEMCB_00097","ELELPFCC_00753","OHGDDBEJ_01426","PJHKONLG_04048","BMGCDLMI_03666","JIDNIGFB_00098","LBKLGAEM_01250","MGNDMLEC_00583","CNEOHEEB_01422","OKEMFKGG_01111","EJCMFNNE_00310","IKEDIMNK_00645","OOMOJDPP_01313"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"ENBCENPF_01190","KKCBMJKJ_02220","GEPIEMCB_00107","ELELPFCC_00743","OHGDDBEJ_01416","PJHKONLG_04058","BMGCDLMI_03656","JIDNIGFB_00108","LBKLGAEM_01260","MGNDMLEC_00593","CNEOHEEB_01412","OKEMFKGG_01101","EJCMFNNE_00300","IKEDIMNK_00635","OOMOJDPP_01303"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"ENBCENPF_01192","KKCBMJKJ_02218","GEPIEMCB_00109","ELELPFCC_00741","OHGDDBEJ_01414","PJHKONLG_04060","BMGCDLMI_03654","JIDNIGFB_00110","LBKLGAEM_01262","MGNDMLEC_00595","CNEOHEEB_01410","OKEMFKGG_01099","EJCMFNNE_00298","IKEDIMNK_00633","OOMOJDPP_01301"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"ENBCENPF_01217","KKCBMJKJ_02193","GEPIEMCB_00134","ELELPFCC_00716","OHGDDBEJ_01389","PJHKONLG_01911","BMGCDLMI_03629","JIDNIGFB_00135","LBKLGAEM_01287","MGNDMLEC_00620","CNEOHEEB_01385","OKEMFKGG_01074","EJCMFNNE_00273","IKEDIMNK_00608","OOMOJDPP_01276"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"ENBCENPF_01221","KKCBMJKJ_02189","GEPIEMCB_00138","ELELPFCC_00712","OHGDDBEJ_01385","PJHKONLG_01907","BMGCDLMI_03625","JIDNIGFB_00139","LBKLGAEM_01291","MGNDMLEC_00624","CNEOHEEB_01381","OKEMFKGG_01070","EJCMFNNE_00269","IKEDIMNK_00604","OOMOJDPP_01272"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"ENBCENPF_01231","KKCBMJKJ_02179","GEPIEMCB_00148","ELELPFCC_00702","OHGDDBEJ_01375","PJHKONLG_01897","BMGCDLMI_03615","JIDNIGFB_00149","LBKLGAEM_01301","MGNDMLEC_00634","CNEOHEEB_01371","OKEMFKGG_01060","EJCMFNNE_00259","IKEDIMNK_00594","OOMOJDPP_01262"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"ENBCENPF_01232","KKCBMJKJ_02178","GEPIEMCB_00149","ELELPFCC_00701","OHGDDBEJ_01374","PJHKONLG_01896","BMGCDLMI_03614","JIDNIGFB_00150","LBKLGAEM_01302","MGNDMLEC_00635","CNEOHEEB_01370","OKEMFKGG_01059","EJCMFNNE_00258","IKEDIMNK_00593","OOMOJDPP_01261"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"ENBCENPF_01251","KKCBMJKJ_02159","GEPIEMCB_00168","ELELPFCC_00682","OHGDDBEJ_01355","PJHKONLG_01877","BMGCDLMI_03595","JIDNIGFB_00169","LBKLGAEM_01321","MGNDMLEC_00654","CNEOHEEB_01351","OKEMFKGG_01040","EJCMFNNE_00239","IKEDIMNK_00574","OOMOJDPP_01242"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"ENBCENPF_01266","KKCBMJKJ_02144","GEPIEMCB_00183","ELELPFCC_00667","OHGDDBEJ_01340","PJHKONLG_01862","BMGCDLMI_03580","JIDNIGFB_00185","LBKLGAEM_01336","MGNDMLEC_00669","CNEOHEEB_01336","OKEMFKGG_01025","EJCMFNNE_00224","IKEDIMNK_00559","OOMOJDPP_01227"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"ENBCENPF_01280","KKCBMJKJ_02130","GEPIEMCB_00197","ELELPFCC_00653","OHGDDBEJ_01326","PJHKONLG_01848","BMGCDLMI_03193","JIDNIGFB_00199","LBKLGAEM_01350","MGNDMLEC_00683","CNEOHEEB_01322","OKEMFKGG_01011","EJCMFNNE_00210","IKEDIMNK_00545","OOMOJDPP_01213"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"ENBCENPF_01292","KKCBMJKJ_02118","GEPIEMCB_00209","ELELPFCC_00641","OHGDDBEJ_01314","PJHKONLG_01836","BMGCDLMI_03181","JIDNIGFB_00211","LBKLGAEM_01362","MGNDMLEC_00695","CNEOHEEB_01310","OKEMFKGG_00999","EJCMFNNE_00198","IKEDIMNK_00533","OOMOJDPP_01201"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"ENBCENPF_01298","KKCBMJKJ_02112","GEPIEMCB_00215","ELELPFCC_00635","OHGDDBEJ_01308","PJHKONLG_01830","BMGCDLMI_03175","JIDNIGFB_00217","LBKLGAEM_01368","MGNDMLEC_00701","CNEOHEEB_01304","OKEMFKGG_00993","EJCMFNNE_00192","IKEDIMNK_00527","OOMOJDPP_01195"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"ENBCENPF_01299","KKCBMJKJ_02111","GEPIEMCB_00216","ELELPFCC_00634","OHGDDBEJ_01307","PJHKONLG_01829","BMGCDLMI_03174","JIDNIGFB_00218","LBKLGAEM_01369","MGNDMLEC_00702","CNEOHEEB_01303","OKEMFKGG_00992","EJCMFNNE_00191","IKEDIMNK_00526","OOMOJDPP_01194"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"ENBCENPF_01302","KKCBMJKJ_02108","GEPIEMCB_00219","ELELPFCC_00631","OHGDDBEJ_01304","PJHKONLG_01826","BMGCDLMI_03171","JIDNIGFB_00221","LBKLGAEM_01372","MGNDMLEC_00705","CNEOHEEB_01300","OKEMFKGG_00989","EJCMFNNE_00188","IKEDIMNK_00523","OOMOJDPP_01191"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"ENBCENPF_01308","KKCBMJKJ_02102","GEPIEMCB_00225","ELELPFCC_00625","OHGDDBEJ_01298","PJHKONLG_01820","BMGCDLMI_03165","JIDNIGFB_00227","LBKLGAEM_01378","MGNDMLEC_00711","CNEOHEEB_01294","OKEMFKGG_00983","EJCMFNNE_00182","IKEDIMNK_00517","OOMOJDPP_01185"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"ENBCENPF_01309","KKCBMJKJ_02101","GEPIEMCB_00226","ELELPFCC_00624","OHGDDBEJ_01297","PJHKONLG_01819","BMGCDLMI_03164","JIDNIGFB_00228","LBKLGAEM_01379","MGNDMLEC_00712","CNEOHEEB_01293","OKEMFKGG_00982","EJCMFNNE_00181","IKEDIMNK_00516","OOMOJDPP_01184"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"ENBCENPF_01439","KKCBMJKJ_03671","GEPIEMCB_00356","ELELPFCC_00495","OHGDDBEJ_01167","PJHKONLG_02528","BMGCDLMI_03034","JIDNIGFB_00358","LBKLGAEM_01508","MGNDMLEC_00842","CNEOHEEB_01163","OKEMFKGG_00852","EJCMFNNE_00051","IKEDIMNK_00387","OOMOJDPP_02020"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"ENBCENPF_01440","KKCBMJKJ_03670","GEPIEMCB_00357","ELELPFCC_00494","OHGDDBEJ_01166","PJHKONLG_02527","BMGCDLMI_03033","JIDNIGFB_00359","LBKLGAEM_01509","MGNDMLEC_00843","CNEOHEEB_01162","OKEMFKGG_00851","EJCMFNNE_00050","IKEDIMNK_00386","OOMOJDPP_02019"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"ENBCENPF_01443","KKCBMJKJ_03667","GEPIEMCB_00360","ELELPFCC_00491","OHGDDBEJ_01163","PJHKONLG_02524","BMGCDLMI_03030","JIDNIGFB_00362","LBKLGAEM_01512","MGNDMLEC_00846","CNEOHEEB_01159","OKEMFKGG_00848","EJCMFNNE_00047","IKEDIMNK_00383","OOMOJDPP_02016"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"ENBCENPF_01445","KKCBMJKJ_03665","GEPIEMCB_00362","ELELPFCC_00489","OHGDDBEJ_01161","PJHKONLG_02522","BMGCDLMI_03028","JIDNIGFB_00364","LBKLGAEM_01514","MGNDMLEC_00848","CNEOHEEB_01157","OKEMFKGG_00846","EJCMFNNE_00045","IKEDIMNK_00381","OOMOJDPP_02014"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"ENBCENPF_01450","KKCBMJKJ_03660","GEPIEMCB_00367","ELELPFCC_00484","OHGDDBEJ_01156","PJHKONLG_02517","BMGCDLMI_03023","JIDNIGFB_00369","LBKLGAEM_01519","MGNDMLEC_00853","CNEOHEEB_01152","OKEMFKGG_00841","EJCMFNNE_00040","IKEDIMNK_00376","OOMOJDPP_02009"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"ENBCENPF_01488","KKCBMJKJ_03622","GEPIEMCB_00405","ELELPFCC_00446","OHGDDBEJ_01118","PJHKONLG_04558","BMGCDLMI_02985","JIDNIGFB_00407","LBKLGAEM_01557","MGNDMLEC_00891","CNEOHEEB_01114","OKEMFKGG_00803","EJCMFNNE_00002","IKEDIMNK_00338","OOMOJDPP_01971"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"ENBCENPF_02519","KKCBMJKJ_02679","GEPIEMCB_00412","ELELPFCC_02784","OHGDDBEJ_02497","PJHKONLG_01064","BMGCDLMI_02165","JIDNIGFB_00414","LBKLGAEM_01564","MGNDMLEC_02996","CNEOHEEB_03593","OKEMFKGG_00796","EJCMFNNE_01227","IKEDIMNK_00331","OOMOJDPP_03543"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"ENBCENPF_02509","KKCBMJKJ_02689","GEPIEMCB_00422","ELELPFCC_02794","OHGDDBEJ_02487","PJHKONLG_01054","BMGCDLMI_02155","JIDNIGFB_00424","LBKLGAEM_01574","MGNDMLEC_02986","CNEOHEEB_03583","OKEMFKGG_00786","EJCMFNNE_01237","IKEDIMNK_00321","OOMOJDPP_03533"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"ENBCENPF_02502","KKCBMJKJ_02696","GEPIEMCB_00429","ELELPFCC_02801","OHGDDBEJ_02480","PJHKONLG_01047","BMGCDLMI_02148","JIDNIGFB_00431","LBKLGAEM_01581","MGNDMLEC_02979","CNEOHEEB_03576","OKEMFKGG_00779","EJCMFNNE_01244","IKEDIMNK_00314","OOMOJDPP_03526"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"ENBCENPF_02494","KKCBMJKJ_02704","GEPIEMCB_00437","ELELPFCC_02809","OHGDDBEJ_02472","PJHKONLG_01039","BMGCDLMI_02140","JIDNIGFB_00439","LBKLGAEM_01589","MGNDMLEC_02971","CNEOHEEB_03568","OKEMFKGG_00771","EJCMFNNE_01252","IKEDIMNK_00306","OOMOJDPP_03518"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"ENBCENPF_02458","KKCBMJKJ_02740","GEPIEMCB_00473","ELELPFCC_02845","OHGDDBEJ_02436","PJHKONLG_01003","BMGCDLMI_02104","JIDNIGFB_00475","LBKLGAEM_01625","MGNDMLEC_02935","CNEOHEEB_03532","OKEMFKGG_00735","EJCMFNNE_01288","IKEDIMNK_00270","OOMOJDPP_03482"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"ENBCENPF_02428","KKCBMJKJ_02770","GEPIEMCB_00503","ELELPFCC_02875","OHGDDBEJ_02406","PJHKONLG_00973","BMGCDLMI_02074","JIDNIGFB_00505","LBKLGAEM_04397","MGNDMLEC_02905","CNEOHEEB_03502","OKEMFKGG_00705","EJCMFNNE_01318","IKEDIMNK_00240","OOMOJDPP_01654"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"ENBCENPF_02422","KKCBMJKJ_02776","GEPIEMCB_00509","ELELPFCC_02881","OHGDDBEJ_02400","PJHKONLG_00967","BMGCDLMI_02068","JIDNIGFB_00511","LBKLGAEM_04403","MGNDMLEC_02899","CNEOHEEB_03496","OKEMFKGG_00699","EJCMFNNE_01324","IKEDIMNK_00234","OOMOJDPP_01660"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"ENBCENPF_02421","KKCBMJKJ_02777","GEPIEMCB_00510","ELELPFCC_02882","OHGDDBEJ_02399","PJHKONLG_00966","BMGCDLMI_02067","JIDNIGFB_00512","LBKLGAEM_04404","MGNDMLEC_02898","CNEOHEEB_03495","OKEMFKGG_00698","EJCMFNNE_01325","IKEDIMNK_00233","OOMOJDPP_01661"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"ENBCENPF_02390","KKCBMJKJ_02808","GEPIEMCB_00541","ELELPFCC_02913","OHGDDBEJ_02368","PJHKONLG_00936","BMGCDLMI_02036","JIDNIGFB_00543","LBKLGAEM_03600","MGNDMLEC_02867","CNEOHEEB_03464","OKEMFKGG_03809","EJCMFNNE_01356","IKEDIMNK_00202","OOMOJDPP_01691"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"ENBCENPF_02388","KKCBMJKJ_02810","GEPIEMCB_00543","ELELPFCC_02915","OHGDDBEJ_02366","PJHKONLG_00934","BMGCDLMI_02034","JIDNIGFB_00545","LBKLGAEM_03602","MGNDMLEC_02865","CNEOHEEB_03462","OKEMFKGG_03807","EJCMFNNE_01358","IKEDIMNK_00200","OOMOJDPP_01693"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"ENBCENPF_02382","KKCBMJKJ_02816","GEPIEMCB_00549","ELELPFCC_02921","OHGDDBEJ_02360","PJHKONLG_00928","BMGCDLMI_02028","JIDNIGFB_00551","LBKLGAEM_03608","MGNDMLEC_02859","CNEOHEEB_03456","OKEMFKGG_03801","EJCMFNNE_01364","IKEDIMNK_00194","OOMOJDPP_01699"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"ENBCENPF_02375","KKCBMJKJ_02823","GEPIEMCB_00556","ELELPFCC_02928","OHGDDBEJ_02353","PJHKONLG_00921","BMGCDLMI_02021","JIDNIGFB_00558","LBKLGAEM_03615","MGNDMLEC_02852","CNEOHEEB_03449","OKEMFKGG_03794","EJCMFNNE_01371","IKEDIMNK_00187","OOMOJDPP_01706"
