"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR16297816","SRR7010475","SRR12075372","SRR5905519","SRR28412124","SRR14766397","SRR27714943","SRR8728075","SRR14766394","SRR5883582","NDSU24","SRR14766350","NDSU10","SRR18233386","SRR27708439"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"IIHPGJAB_04397","IMMEOONP_04506","OHGDDBEJ_04422","OAAFEBHG_04546","NGHPPALG_04482","CDEANNNL_04604","APJAPAOH_04532","EDHNKBAJ_04339","AHAJJFKC_02862","HGPPELBO_04588","DFEIMHLH_04562","KNJLKBEO_04170","PGKCJFEA_03700","OKDIKGGJ_04503","JJJDFGFB_04396"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"IIHPGJAB_04394","IMMEOONP_04509","OHGDDBEJ_04425","OAAFEBHG_04543","NGHPPALG_04485","CDEANNNL_04601","APJAPAOH_04529","EDHNKBAJ_04342","AHAJJFKC_02865","HGPPELBO_04585","DFEIMHLH_04559","KNJLKBEO_04167","PGKCJFEA_03697","OKDIKGGJ_04506","JJJDFGFB_04399"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"IIHPGJAB_04373","IMMEOONP_04530","OHGDDBEJ_04446","OAAFEBHG_04522","NGHPPALG_04506","CDEANNNL_04580","APJAPAOH_04508","EDHNKBAJ_04363","AHAJJFKC_02886","HGPPELBO_04564","DFEIMHLH_04538","KNJLKBEO_04146","PGKCJFEA_03676","OKDIKGGJ_04527","JJJDFGFB_04420"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"IIHPGJAB_04481","IMMEOONP_04473","OHGDDBEJ_04348","OAAFEBHG_04576","NGHPPALG_04547","CDEANNNL_04534","APJAPAOH_04467","EDHNKBAJ_04269","AHAJJFKC_03630","HGPPELBO_04618","DFEIMHLH_04591","KNJLKBEO_04105","PGKCJFEA_03935","OKDIKGGJ_04470","JJJDFGFB_04462"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"IIHPGJAB_04532","IMMEOONP_04579","OHGDDBEJ_04526","OAAFEBHG_04634","NGHPPALG_04599","CDEANNNL_04609","APJAPAOH_04539","EDHNKBAJ_04484","AHAJJFKC_04161","HGPPELBO_04647","DFEIMHLH_04621","KNJLKBEO_04581","PGKCJFEA_04200","OKDIKGGJ_04546","JJJDFGFB_04491"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"IIHPGJAB_01338","IMMEOONP_00595","OHGDDBEJ_00599","OAAFEBHG_00594","NGHPPALG_01339","CDEANNNL_01603","APJAPAOH_00820","EDHNKBAJ_01816","AHAJJFKC_03098","HGPPELBO_00595","DFEIMHLH_00916","KNJLKBEO_03038","PGKCJFEA_00866","OKDIKGGJ_00595","JJJDFGFB_00818"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"IIHPGJAB_02335","IMMEOONP_01161","OHGDDBEJ_01109","OAAFEBHG_00675","NGHPPALG_01905","CDEANNNL_00436","APJAPAOH_01907","EDHNKBAJ_01508","AHAJJFKC_03908","HGPPELBO_00676","DFEIMHLH_02082","KNJLKBEO_03807","PGKCJFEA_04403","OKDIKGGJ_01591","JJJDFGFB_01904"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"IIHPGJAB_01235","IMMEOONP_00492","OHGDDBEJ_00495","OAAFEBHG_00491","NGHPPALG_01236","CDEANNNL_01500","APJAPAOH_00923","EDHNKBAJ_01919","AHAJJFKC_03747","HGPPELBO_00492","DFEIMHLH_01019","KNJLKBEO_02872","PGKCJFEA_00763","OKDIKGGJ_00492","JJJDFGFB_00921"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"IIHPGJAB_00047","IMMEOONP_02370","OHGDDBEJ_01476","OAAFEBHG_01572","NGHPPALG_00047","CDEANNNL_02036","APJAPAOH_00700","EDHNKBAJ_00332","AHAJJFKC_02002","HGPPELBO_01573","DFEIMHLH_00797","KNJLKBEO_00360","PGKCJFEA_01878","OKDIKGGJ_01959","JJJDFGFB_00047"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"IIHPGJAB_00051","IMMEOONP_02366","OHGDDBEJ_01472","OAAFEBHG_01576","NGHPPALG_00051","CDEANNNL_02032","APJAPAOH_00696","EDHNKBAJ_00328","AHAJJFKC_02006","HGPPELBO_01577","DFEIMHLH_00793","KNJLKBEO_00356","PGKCJFEA_01874","OKDIKGGJ_01955","JJJDFGFB_00051"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"IIHPGJAB_00054","IMMEOONP_02363","OHGDDBEJ_01469","OAAFEBHG_01579","NGHPPALG_00054","CDEANNNL_02029","APJAPAOH_00693","EDHNKBAJ_00325","AHAJJFKC_02009","HGPPELBO_01580","DFEIMHLH_00790","KNJLKBEO_00353","PGKCJFEA_01871","OKDIKGGJ_01952","JJJDFGFB_00054"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"IIHPGJAB_00055","IMMEOONP_02362","OHGDDBEJ_01468","OAAFEBHG_01580","NGHPPALG_00055","CDEANNNL_02028","APJAPAOH_00692","EDHNKBAJ_00324","AHAJJFKC_02010","HGPPELBO_01581","DFEIMHLH_00789","KNJLKBEO_00352","PGKCJFEA_01870","OKDIKGGJ_01951","JJJDFGFB_00055"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"IIHPGJAB_00080","IMMEOONP_02337","OHGDDBEJ_01443","OAAFEBHG_01605","NGHPPALG_00080","CDEANNNL_02003","APJAPAOH_00667","EDHNKBAJ_00299","AHAJJFKC_02035","HGPPELBO_01606","DFEIMHLH_00764","KNJLKBEO_00327","PGKCJFEA_01845","OKDIKGGJ_01926","JJJDFGFB_00080"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"IIHPGJAB_00081","IMMEOONP_02336","OHGDDBEJ_01442","OAAFEBHG_01606","NGHPPALG_00081","CDEANNNL_02002","APJAPAOH_00666","EDHNKBAJ_00298","AHAJJFKC_02036","HGPPELBO_01607","DFEIMHLH_00763","KNJLKBEO_00326","PGKCJFEA_01844","OKDIKGGJ_01925","JJJDFGFB_00081"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"IIHPGJAB_00082","IMMEOONP_02335","OHGDDBEJ_01441","OAAFEBHG_01607","NGHPPALG_00082","CDEANNNL_02001","APJAPAOH_00665","EDHNKBAJ_00297","AHAJJFKC_02037","HGPPELBO_01608","DFEIMHLH_00762","KNJLKBEO_00325","PGKCJFEA_01843","OKDIKGGJ_01924","JJJDFGFB_00082"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"IIHPGJAB_00097","IMMEOONP_02320","OHGDDBEJ_01426","OAAFEBHG_01623","NGHPPALG_00097","CDEANNNL_01986","APJAPAOH_00650","EDHNKBAJ_00282","AHAJJFKC_03008","HGPPELBO_01623","DFEIMHLH_00747","KNJLKBEO_00310","PGKCJFEA_01828","OKDIKGGJ_01908","JJJDFGFB_00097"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"IIHPGJAB_00107","IMMEOONP_02310","OHGDDBEJ_01416","OAAFEBHG_01633","NGHPPALG_00107","CDEANNNL_01976","APJAPAOH_00640","EDHNKBAJ_00272","AHAJJFKC_03018","HGPPELBO_01633","DFEIMHLH_00737","KNJLKBEO_00300","PGKCJFEA_01818","OKDIKGGJ_01898","JJJDFGFB_00107"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"IIHPGJAB_00109","IMMEOONP_02308","OHGDDBEJ_01414","OAAFEBHG_01635","NGHPPALG_00109","CDEANNNL_01974","APJAPAOH_00638","EDHNKBAJ_00270","AHAJJFKC_03020","HGPPELBO_01635","DFEIMHLH_00735","KNJLKBEO_00298","PGKCJFEA_01816","OKDIKGGJ_01896","JJJDFGFB_00109"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"IIHPGJAB_00134","IMMEOONP_02283","OHGDDBEJ_01389","OAAFEBHG_01660","NGHPPALG_00134","CDEANNNL_01949","APJAPAOH_00613","EDHNKBAJ_00245","AHAJJFKC_00916","HGPPELBO_01660","DFEIMHLH_00710","KNJLKBEO_00273","PGKCJFEA_00725","OKDIKGGJ_01871","JJJDFGFB_00134"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"IIHPGJAB_00138","IMMEOONP_02279","OHGDDBEJ_01385","OAAFEBHG_01664","NGHPPALG_00138","CDEANNNL_01945","APJAPAOH_00609","EDHNKBAJ_00241","AHAJJFKC_00912","HGPPELBO_01664","DFEIMHLH_00706","KNJLKBEO_00269","PGKCJFEA_00721","OKDIKGGJ_01867","JJJDFGFB_00138"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"IIHPGJAB_00148","IMMEOONP_02269","OHGDDBEJ_01375","OAAFEBHG_01674","NGHPPALG_00148","CDEANNNL_01935","APJAPAOH_00599","EDHNKBAJ_00231","AHAJJFKC_00902","HGPPELBO_01674","DFEIMHLH_00696","KNJLKBEO_00259","PGKCJFEA_00711","OKDIKGGJ_01857","JJJDFGFB_00148"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"IIHPGJAB_00149","IMMEOONP_02268","OHGDDBEJ_01374","OAAFEBHG_01675","NGHPPALG_00149","CDEANNNL_01934","APJAPAOH_00598","EDHNKBAJ_00230","AHAJJFKC_00901","HGPPELBO_01675","DFEIMHLH_00695","KNJLKBEO_00258","PGKCJFEA_00710","OKDIKGGJ_01856","JJJDFGFB_00149"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"IIHPGJAB_00168","IMMEOONP_02249","OHGDDBEJ_01355","OAAFEBHG_01694","NGHPPALG_00168","CDEANNNL_01915","APJAPAOH_00579","EDHNKBAJ_00211","AHAJJFKC_00882","HGPPELBO_01694","DFEIMHLH_00676","KNJLKBEO_00239","PGKCJFEA_00691","OKDIKGGJ_01837","JJJDFGFB_00168"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"IIHPGJAB_00183","IMMEOONP_02234","OHGDDBEJ_01340","OAAFEBHG_01709","NGHPPALG_00183","CDEANNNL_01900","APJAPAOH_00564","EDHNKBAJ_00196","AHAJJFKC_00867","HGPPELBO_01709","DFEIMHLH_00661","KNJLKBEO_00224","PGKCJFEA_00676","OKDIKGGJ_01822","JJJDFGFB_00184"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"IIHPGJAB_00197","IMMEOONP_02220","OHGDDBEJ_01326","OAAFEBHG_01723","NGHPPALG_00197","CDEANNNL_01886","APJAPAOH_00550","EDHNKBAJ_00182","AHAJJFKC_00853","HGPPELBO_01723","DFEIMHLH_00647","KNJLKBEO_00210","PGKCJFEA_00662","OKDIKGGJ_01808","JJJDFGFB_00198"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"IIHPGJAB_00209","IMMEOONP_02208","OHGDDBEJ_01314","OAAFEBHG_01735","NGHPPALG_00209","CDEANNNL_01874","APJAPAOH_00538","EDHNKBAJ_00170","AHAJJFKC_00841","HGPPELBO_01735","DFEIMHLH_00635","KNJLKBEO_00198","PGKCJFEA_00650","OKDIKGGJ_01796","JJJDFGFB_00210"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"IIHPGJAB_00215","IMMEOONP_02202","OHGDDBEJ_01308","OAAFEBHG_01741","NGHPPALG_00215","CDEANNNL_01868","APJAPAOH_00532","EDHNKBAJ_00164","AHAJJFKC_00835","HGPPELBO_01741","DFEIMHLH_00629","KNJLKBEO_00192","PGKCJFEA_00644","OKDIKGGJ_01790","JJJDFGFB_00216"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"IIHPGJAB_00216","IMMEOONP_02201","OHGDDBEJ_01307","OAAFEBHG_01742","NGHPPALG_00216","CDEANNNL_01867","APJAPAOH_00531","EDHNKBAJ_00163","AHAJJFKC_00834","HGPPELBO_01742","DFEIMHLH_00628","KNJLKBEO_00191","PGKCJFEA_00643","OKDIKGGJ_01789","JJJDFGFB_00217"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"IIHPGJAB_00219","IMMEOONP_02198","OHGDDBEJ_01304","OAAFEBHG_01745","NGHPPALG_00219","CDEANNNL_01864","APJAPAOH_00528","EDHNKBAJ_00160","AHAJJFKC_00831","HGPPELBO_01745","DFEIMHLH_00625","KNJLKBEO_00188","PGKCJFEA_00640","OKDIKGGJ_01786","JJJDFGFB_00220"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"IIHPGJAB_00225","IMMEOONP_02192","OHGDDBEJ_01298","OAAFEBHG_01751","NGHPPALG_00225","CDEANNNL_01858","APJAPAOH_00522","EDHNKBAJ_00154","AHAJJFKC_03972","HGPPELBO_01751","DFEIMHLH_00619","KNJLKBEO_00182","PGKCJFEA_00634","OKDIKGGJ_01780","JJJDFGFB_00226"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"IIHPGJAB_00226","IMMEOONP_02191","OHGDDBEJ_01297","OAAFEBHG_01752","NGHPPALG_00226","CDEANNNL_01857","APJAPAOH_00521","EDHNKBAJ_00153","AHAJJFKC_03971","HGPPELBO_01752","DFEIMHLH_00618","KNJLKBEO_00181","PGKCJFEA_00633","OKDIKGGJ_01779","JJJDFGFB_00227"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"IIHPGJAB_00356","IMMEOONP_02061","OHGDDBEJ_01167","OAAFEBHG_01882","NGHPPALG_00355","CDEANNNL_01727","APJAPAOH_00391","EDHNKBAJ_00024","AHAJJFKC_01480","HGPPELBO_01883","DFEIMHLH_00488","KNJLKBEO_00051","PGKCJFEA_03320","OKDIKGGJ_01649","JJJDFGFB_00357"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"IIHPGJAB_00357","IMMEOONP_02060","OHGDDBEJ_01166","OAAFEBHG_01883","NGHPPALG_00356","CDEANNNL_01726","APJAPAOH_00390","EDHNKBAJ_00023","AHAJJFKC_01481","HGPPELBO_01884","DFEIMHLH_00487","KNJLKBEO_00050","PGKCJFEA_03321","OKDIKGGJ_01648","JJJDFGFB_00358"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"IIHPGJAB_00360","IMMEOONP_02057","OHGDDBEJ_01163","OAAFEBHG_01886","NGHPPALG_00359","CDEANNNL_01723","APJAPAOH_00387","EDHNKBAJ_00020","AHAJJFKC_01484","HGPPELBO_01887","DFEIMHLH_00484","KNJLKBEO_00047","PGKCJFEA_03324","OKDIKGGJ_01645","JJJDFGFB_00361"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"IIHPGJAB_00362","IMMEOONP_02055","OHGDDBEJ_01161","OAAFEBHG_01888","NGHPPALG_00361","CDEANNNL_01721","APJAPAOH_00385","EDHNKBAJ_00018","AHAJJFKC_01486","HGPPELBO_01889","DFEIMHLH_00482","KNJLKBEO_00045","PGKCJFEA_03326","OKDIKGGJ_01643","JJJDFGFB_00363"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"IIHPGJAB_00367","IMMEOONP_02050","OHGDDBEJ_01156","OAAFEBHG_01893","NGHPPALG_00366","CDEANNNL_01716","APJAPAOH_00380","EDHNKBAJ_00013","AHAJJFKC_01491","HGPPELBO_01894","DFEIMHLH_00477","KNJLKBEO_00040","PGKCJFEA_03331","OKDIKGGJ_01638","JJJDFGFB_00368"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"IIHPGJAB_00405","IMMEOONP_02012","OHGDDBEJ_01118","OAAFEBHG_01931","NGHPPALG_00404","CDEANNNL_01678","APJAPAOH_00342","EDHNKBAJ_04432","AHAJJFKC_04280","HGPPELBO_01932","DFEIMHLH_00439","KNJLKBEO_00002","PGKCJFEA_03134","OKDIKGGJ_01600","JJJDFGFB_00406"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"IIHPGJAB_00412","IMMEOONP_03440","OHGDDBEJ_02497","OAAFEBHG_02626","NGHPPALG_00411","CDEANNNL_03091","APJAPAOH_00335","EDHNKBAJ_01975","AHAJJFKC_03301","HGPPELBO_02626","DFEIMHLH_00432","KNJLKBEO_01601","PGKCJFEA_03141","OKDIKGGJ_03067","JJJDFGFB_00413"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"IIHPGJAB_00422","IMMEOONP_03430","OHGDDBEJ_02487","OAAFEBHG_02616","NGHPPALG_00421","CDEANNNL_03081","APJAPAOH_00325","EDHNKBAJ_01985","AHAJJFKC_03311","HGPPELBO_02636","DFEIMHLH_00422","KNJLKBEO_01611","PGKCJFEA_03151","OKDIKGGJ_03077","JJJDFGFB_00423"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"IIHPGJAB_00429","IMMEOONP_03423","OHGDDBEJ_02480","OAAFEBHG_02609","NGHPPALG_00428","CDEANNNL_03074","APJAPAOH_00318","EDHNKBAJ_01992","AHAJJFKC_03318","HGPPELBO_02643","DFEIMHLH_00415","KNJLKBEO_01618","PGKCJFEA_03158","OKDIKGGJ_03084","JJJDFGFB_00430"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"IIHPGJAB_00437","IMMEOONP_03415","OHGDDBEJ_02472","OAAFEBHG_02601","NGHPPALG_00436","CDEANNNL_03066","APJAPAOH_00310","EDHNKBAJ_02000","AHAJJFKC_03326","HGPPELBO_02651","DFEIMHLH_00407","KNJLKBEO_01626","PGKCJFEA_04524","OKDIKGGJ_03092","JJJDFGFB_00438"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"IIHPGJAB_00473","IMMEOONP_03379","OHGDDBEJ_02436","OAAFEBHG_02565","NGHPPALG_00472","CDEANNNL_03030","APJAPAOH_00274","EDHNKBAJ_02036","AHAJJFKC_04019","HGPPELBO_02687","DFEIMHLH_00371","KNJLKBEO_01662","PGKCJFEA_02322","OKDIKGGJ_03128","JJJDFGFB_00474"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"IIHPGJAB_00503","IMMEOONP_03349","OHGDDBEJ_02406","OAAFEBHG_02535","NGHPPALG_00502","CDEANNNL_03000","APJAPAOH_00244","EDHNKBAJ_02066","AHAJJFKC_00420","HGPPELBO_02717","DFEIMHLH_00341","KNJLKBEO_01692","PGKCJFEA_02352","OKDIKGGJ_03158","JJJDFGFB_00504"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"IIHPGJAB_00509","IMMEOONP_03343","OHGDDBEJ_02400","OAAFEBHG_02529","NGHPPALG_00508","CDEANNNL_02994","APJAPAOH_00238","EDHNKBAJ_02072","AHAJJFKC_00414","HGPPELBO_02723","DFEIMHLH_00335","KNJLKBEO_01698","PGKCJFEA_02358","OKDIKGGJ_03164","JJJDFGFB_00510"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"IIHPGJAB_00510","IMMEOONP_03342","OHGDDBEJ_02399","OAAFEBHG_02528","NGHPPALG_00509","CDEANNNL_02993","APJAPAOH_00237","EDHNKBAJ_02073","AHAJJFKC_00413","HGPPELBO_02724","DFEIMHLH_00334","KNJLKBEO_01699","PGKCJFEA_02359","OKDIKGGJ_03165","JJJDFGFB_00511"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"IIHPGJAB_00541","IMMEOONP_03311","OHGDDBEJ_02368","OAAFEBHG_02497","NGHPPALG_00540","CDEANNNL_02962","APJAPAOH_00206","EDHNKBAJ_02104","AHAJJFKC_00383","HGPPELBO_02755","DFEIMHLH_00303","KNJLKBEO_01730","PGKCJFEA_02390","OKDIKGGJ_03196","JJJDFGFB_00542"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"IIHPGJAB_00543","IMMEOONP_03309","OHGDDBEJ_02366","OAAFEBHG_02495","NGHPPALG_00542","CDEANNNL_02960","APJAPAOH_00204","EDHNKBAJ_02106","AHAJJFKC_00381","HGPPELBO_02757","DFEIMHLH_00301","KNJLKBEO_01732","PGKCJFEA_02392","OKDIKGGJ_03198","JJJDFGFB_00544"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"IIHPGJAB_00549","IMMEOONP_03303","OHGDDBEJ_02360","OAAFEBHG_02489","NGHPPALG_00548","CDEANNNL_02954","APJAPAOH_00198","EDHNKBAJ_02112","AHAJJFKC_00375","HGPPELBO_02763","DFEIMHLH_00295","KNJLKBEO_01738","PGKCJFEA_02398","OKDIKGGJ_03204","JJJDFGFB_00550"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"IIHPGJAB_00556","IMMEOONP_03296","OHGDDBEJ_02353","OAAFEBHG_02482","NGHPPALG_00555","CDEANNNL_02947","APJAPAOH_00191","EDHNKBAJ_02119","AHAJJFKC_00368","HGPPELBO_02770","DFEIMHLH_00288","KNJLKBEO_01745","PGKCJFEA_02405","OKDIKGGJ_03211","JJJDFGFB_00557"
