"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5905069","NDSU1","SRR14766415","SRR14766399","SRR3037435","SRR16506855","SRR16297815","SRR14766441","SRR2911775","SRR5905029","SRR7638087","SRR2994394","SRR14766408","SRR11043408","SRR3037400"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"CNBCECDA_04596","GEPIEMCB_04602","FGNPIGJI_04431","MAMCPOAM_03068","CKPEMOEN_04467","MMJAGEHG_04482","DCCGOOHM_04440","IOEMIFOP_04359","NCJKFECA_04412","PLHCNFHB_04642","HNLCLDHN_04510","NNGIMOCL_03712","IEICFKFC_04484","OBBHNEFO_04522","JILAKEMF_04510"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"CNBCECDA_04649","GEPIEMCB_04720","FGNPIGJI_04542","MAMCPOAM_03852","CKPEMOEN_04575","MMJAGEHG_04604","DCCGOOHM_04512","IOEMIFOP_04530","NCJKFECA_04475","PLHCNFHB_04672","HNLCLDHN_04586","NNGIMOCL_04531","IEICFKFC_04587","OBBHNEFO_04573","JILAKEMF_04562"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"CNBCECDA_02936","GEPIEMCB_01338","FGNPIGJI_00073","MAMCPOAM_02443","CKPEMOEN_00895","MMJAGEHG_00074","DCCGOOHM_00074","IOEMIFOP_00596","NCJKFECA_02075","PLHCNFHB_00596","HNLCLDHN_00074","NNGIMOCL_00595","IEICFKFC_00596","OBBHNEFO_00074","JILAKEMF_00074"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"CNBCECDA_04356","GEPIEMCB_02412","FGNPIGJI_04143","MAMCPOAM_04054","CKPEMOEN_04380","MMJAGEHG_01161","DCCGOOHM_02218","IOEMIFOP_03239","NCJKFECA_04225","PLHCNFHB_01104","HNLCLDHN_00676","NNGIMOCL_02682","IEICFKFC_01592","OBBHNEFO_00677","JILAKEMF_01161"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"CNBCECDA_02833","GEPIEMCB_01235","FGNPIGJI_00176","MAMCPOAM_03485","CKPEMOEN_00998","MMJAGEHG_00177","DCCGOOHM_00177","IOEMIFOP_00493","NCJKFECA_01972","PLHCNFHB_00493","HNLCLDHN_00177","NNGIMOCL_00492","IEICFKFC_00493","OBBHNEFO_00177","JILAKEMF_00177"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"CNBCECDA_01188","GEPIEMCB_00047","FGNPIGJI_00714","MAMCPOAM_02023","CKPEMOEN_00048","MMJAGEHG_01644","DCCGOOHM_04131","IOEMIFOP_01201","NCJKFECA_00360","PLHCNFHB_01988","HNLCLDHN_01472","NNGIMOCL_03487","IEICFKFC_02060","OBBHNEFO_01620","JILAKEMF_01644"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"CNBCECDA_01184","GEPIEMCB_00051","FGNPIGJI_00718","MAMCPOAM_02027","CKPEMOEN_00052","MMJAGEHG_01648","DCCGOOHM_04135","IOEMIFOP_01205","NCJKFECA_00356","PLHCNFHB_01992","HNLCLDHN_01468","NNGIMOCL_03491","IEICFKFC_02064","OBBHNEFO_01624","JILAKEMF_01648"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"CNBCECDA_01181","GEPIEMCB_00054","FGNPIGJI_00721","MAMCPOAM_02030","CKPEMOEN_00055","MMJAGEHG_01651","DCCGOOHM_04138","IOEMIFOP_01208","NCJKFECA_00353","PLHCNFHB_01995","HNLCLDHN_01465","NNGIMOCL_03494","IEICFKFC_02067","OBBHNEFO_01627","JILAKEMF_01651"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"CNBCECDA_01180","GEPIEMCB_00055","FGNPIGJI_00722","MAMCPOAM_02031","CKPEMOEN_00056","MMJAGEHG_01652","DCCGOOHM_04139","IOEMIFOP_01209","NCJKFECA_00352","PLHCNFHB_01996","HNLCLDHN_01464","NNGIMOCL_03495","IEICFKFC_02068","OBBHNEFO_01628","JILAKEMF_01652"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"CNBCECDA_01155","GEPIEMCB_00080","FGNPIGJI_00747","MAMCPOAM_02056","CKPEMOEN_00081","MMJAGEHG_01677","DCCGOOHM_04164","IOEMIFOP_01234","NCJKFECA_00327","PLHCNFHB_02021","HNLCLDHN_01439","NNGIMOCL_03520","IEICFKFC_02093","OBBHNEFO_01653","JILAKEMF_01677"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"CNBCECDA_01154","GEPIEMCB_00081","FGNPIGJI_00748","MAMCPOAM_02057","CKPEMOEN_00082","MMJAGEHG_01678","DCCGOOHM_04165","IOEMIFOP_01235","NCJKFECA_00326","PLHCNFHB_02022","HNLCLDHN_01438","NNGIMOCL_03521","IEICFKFC_02094","OBBHNEFO_01654","JILAKEMF_01678"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"CNBCECDA_01153","GEPIEMCB_00082","FGNPIGJI_00749","MAMCPOAM_02058","CKPEMOEN_00083","MMJAGEHG_01679","DCCGOOHM_04166","IOEMIFOP_01236","NCJKFECA_00325","PLHCNFHB_02023","HNLCLDHN_01437","NNGIMOCL_03522","IEICFKFC_02095","OBBHNEFO_01655","JILAKEMF_01679"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"CNBCECDA_01138","GEPIEMCB_00097","FGNPIGJI_00764","MAMCPOAM_03254","CKPEMOEN_00098","MMJAGEHG_01694","DCCGOOHM_04182","IOEMIFOP_01251","NCJKFECA_00310","PLHCNFHB_02038","HNLCLDHN_01422","NNGIMOCL_03537","IEICFKFC_02110","OBBHNEFO_01670","JILAKEMF_01694"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"CNBCECDA_01128","GEPIEMCB_00107","FGNPIGJI_00774","MAMCPOAM_03264","CKPEMOEN_00108","MMJAGEHG_01704","DCCGOOHM_04192","IOEMIFOP_01261","NCJKFECA_00300","PLHCNFHB_02048","HNLCLDHN_01412","NNGIMOCL_03547","IEICFKFC_02120","OBBHNEFO_01680","JILAKEMF_01704"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"CNBCECDA_01126","GEPIEMCB_00109","FGNPIGJI_00776","MAMCPOAM_03266","CKPEMOEN_00110","MMJAGEHG_01706","DCCGOOHM_04194","IOEMIFOP_01263","NCJKFECA_00298","PLHCNFHB_02050","HNLCLDHN_01410","NNGIMOCL_03549","IEICFKFC_02122","OBBHNEFO_01682","JILAKEMF_01706"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"CNBCECDA_01101","GEPIEMCB_00134","FGNPIGJI_00801","MAMCPOAM_04022","CKPEMOEN_00135","MMJAGEHG_01731","DCCGOOHM_00687","IOEMIFOP_01288","NCJKFECA_00273","PLHCNFHB_02075","HNLCLDHN_01385","NNGIMOCL_04638","IEICFKFC_02147","OBBHNEFO_01707","JILAKEMF_01731"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"CNBCECDA_01097","GEPIEMCB_00138","FGNPIGJI_00805","MAMCPOAM_04018","CKPEMOEN_00139","MMJAGEHG_01735","DCCGOOHM_00691","IOEMIFOP_01292","NCJKFECA_00269","PLHCNFHB_02079","HNLCLDHN_01381","NNGIMOCL_04642","IEICFKFC_02151","OBBHNEFO_01711","JILAKEMF_01735"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"CNBCECDA_01087","GEPIEMCB_00148","FGNPIGJI_00815","MAMCPOAM_02794","CKPEMOEN_00149","MMJAGEHG_01745","DCCGOOHM_00701","IOEMIFOP_01302","NCJKFECA_00259","PLHCNFHB_02089","HNLCLDHN_01371","NNGIMOCL_02190","IEICFKFC_02161","OBBHNEFO_01721","JILAKEMF_01745"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"CNBCECDA_01086","GEPIEMCB_00149","FGNPIGJI_00816","MAMCPOAM_02795","CKPEMOEN_00150","MMJAGEHG_01746","DCCGOOHM_00702","IOEMIFOP_01303","NCJKFECA_00258","PLHCNFHB_02090","HNLCLDHN_01370","NNGIMOCL_02191","IEICFKFC_02162","OBBHNEFO_01722","JILAKEMF_01746"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"CNBCECDA_01067","GEPIEMCB_00168","FGNPIGJI_00835","MAMCPOAM_02814","CKPEMOEN_00169","MMJAGEHG_01765","DCCGOOHM_00721","IOEMIFOP_01322","NCJKFECA_00239","PLHCNFHB_02109","HNLCLDHN_01351","NNGIMOCL_02210","IEICFKFC_02181","OBBHNEFO_01741","JILAKEMF_01765"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"CNBCECDA_01052","GEPIEMCB_00183","FGNPIGJI_00850","MAMCPOAM_03729","CKPEMOEN_00184","MMJAGEHG_01780","DCCGOOHM_00736","IOEMIFOP_01337","NCJKFECA_00224","PLHCNFHB_02124","HNLCLDHN_01336","NNGIMOCL_02225","IEICFKFC_02196","OBBHNEFO_01756","JILAKEMF_01780"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"CNBCECDA_01038","GEPIEMCB_00197","FGNPIGJI_00864","MAMCPOAM_04500","CKPEMOEN_00198","MMJAGEHG_01794","DCCGOOHM_00750","IOEMIFOP_01351","NCJKFECA_00210","PLHCNFHB_02138","HNLCLDHN_01322","NNGIMOCL_02239","IEICFKFC_02210","OBBHNEFO_01770","JILAKEMF_01794"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"CNBCECDA_01026","GEPIEMCB_00209","FGNPIGJI_00876","MAMCPOAM_02692","CKPEMOEN_00210","MMJAGEHG_01806","DCCGOOHM_00762","IOEMIFOP_01363","NCJKFECA_00198","PLHCNFHB_02150","HNLCLDHN_01310","NNGIMOCL_02251","IEICFKFC_02222","OBBHNEFO_01782","JILAKEMF_01806"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"CNBCECDA_01020","GEPIEMCB_00215","FGNPIGJI_00882","MAMCPOAM_02686","CKPEMOEN_00216","MMJAGEHG_01812","DCCGOOHM_00768","IOEMIFOP_01369","NCJKFECA_00192","PLHCNFHB_02156","HNLCLDHN_01304","NNGIMOCL_02257","IEICFKFC_02228","OBBHNEFO_01788","JILAKEMF_01812"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"CNBCECDA_01019","GEPIEMCB_00216","FGNPIGJI_00883","MAMCPOAM_02685","CKPEMOEN_00217","MMJAGEHG_01813","DCCGOOHM_00769","IOEMIFOP_01370","NCJKFECA_00191","PLHCNFHB_02157","HNLCLDHN_01303","NNGIMOCL_02258","IEICFKFC_02229","OBBHNEFO_01789","JILAKEMF_01813"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"CNBCECDA_01016","GEPIEMCB_00219","FGNPIGJI_00886","MAMCPOAM_02682","CKPEMOEN_00220","MMJAGEHG_01816","DCCGOOHM_00772","IOEMIFOP_01373","NCJKFECA_00188","PLHCNFHB_02160","HNLCLDHN_01300","NNGIMOCL_02261","IEICFKFC_02232","OBBHNEFO_01792","JILAKEMF_01816"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"CNBCECDA_01010","GEPIEMCB_00225","FGNPIGJI_00892","MAMCPOAM_02676","CKPEMOEN_00226","MMJAGEHG_01822","DCCGOOHM_00778","IOEMIFOP_01379","NCJKFECA_00182","PLHCNFHB_02166","HNLCLDHN_01294","NNGIMOCL_02267","IEICFKFC_02238","OBBHNEFO_01798","JILAKEMF_01822"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"CNBCECDA_01009","GEPIEMCB_00226","FGNPIGJI_00893","MAMCPOAM_02675","CKPEMOEN_00227","MMJAGEHG_01823","DCCGOOHM_00779","IOEMIFOP_01380","NCJKFECA_00181","PLHCNFHB_02167","HNLCLDHN_01293","NNGIMOCL_02268","IEICFKFC_02239","OBBHNEFO_01799","JILAKEMF_01823"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"CNBCECDA_00879","GEPIEMCB_00356","FGNPIGJI_01023","MAMCPOAM_02093","CKPEMOEN_00357","MMJAGEHG_01953","DCCGOOHM_00908","IOEMIFOP_01510","NCJKFECA_00051","PLHCNFHB_02281","HNLCLDHN_01163","NNGIMOCL_02398","IEICFKFC_02369","OBBHNEFO_01929","JILAKEMF_01953"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"CNBCECDA_00878","GEPIEMCB_00357","FGNPIGJI_01024","MAMCPOAM_02094","CKPEMOEN_00358","MMJAGEHG_01954","DCCGOOHM_00909","IOEMIFOP_01511","NCJKFECA_00050","PLHCNFHB_02282","HNLCLDHN_01162","NNGIMOCL_02399","IEICFKFC_02370","OBBHNEFO_01930","JILAKEMF_01954"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"CNBCECDA_00875","GEPIEMCB_00360","FGNPIGJI_01027","MAMCPOAM_02097","CKPEMOEN_00361","MMJAGEHG_01957","DCCGOOHM_00912","IOEMIFOP_01514","NCJKFECA_00047","PLHCNFHB_02285","HNLCLDHN_01159","NNGIMOCL_02402","IEICFKFC_02373","OBBHNEFO_01933","JILAKEMF_01957"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"CNBCECDA_00873","GEPIEMCB_00362","FGNPIGJI_01029","MAMCPOAM_02099","CKPEMOEN_00363","MMJAGEHG_01959","DCCGOOHM_00914","IOEMIFOP_01516","NCJKFECA_00045","PLHCNFHB_02287","HNLCLDHN_01157","NNGIMOCL_02404","IEICFKFC_02375","OBBHNEFO_01935","JILAKEMF_01959"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"CNBCECDA_00868","GEPIEMCB_00367","FGNPIGJI_01034","MAMCPOAM_02104","CKPEMOEN_00368","MMJAGEHG_01964","DCCGOOHM_00919","IOEMIFOP_01521","NCJKFECA_00040","PLHCNFHB_02292","HNLCLDHN_01152","NNGIMOCL_02409","IEICFKFC_02380","OBBHNEFO_01940","JILAKEMF_01964"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"CNBCECDA_00830","GEPIEMCB_00405","FGNPIGJI_01072","MAMCPOAM_04105","CKPEMOEN_00406","MMJAGEHG_02002","DCCGOOHM_00957","IOEMIFOP_01559","NCJKFECA_00002","PLHCNFHB_02330","HNLCLDHN_01114","NNGIMOCL_02447","IEICFKFC_02418","OBBHNEFO_01978","JILAKEMF_02002"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"CNBCECDA_03015","GEPIEMCB_00412","FGNPIGJI_03212","MAMCPOAM_01454","CKPEMOEN_02675","MMJAGEHG_03392","DCCGOOHM_00964","IOEMIFOP_02519","NCJKFECA_03798","PLHCNFHB_03024","HNLCLDHN_02545","NNGIMOCL_01003","IEICFKFC_03205","OBBHNEFO_03366","JILAKEMF_04028"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"CNBCECDA_03025","GEPIEMCB_00422","FGNPIGJI_03222","MAMCPOAM_01444","CKPEMOEN_02665","MMJAGEHG_03382","DCCGOOHM_00974","IOEMIFOP_02529","NCJKFECA_03788","PLHCNFHB_03014","HNLCLDHN_02555","NNGIMOCL_01013","IEICFKFC_03215","OBBHNEFO_03356","JILAKEMF_04018"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"CNBCECDA_03032","GEPIEMCB_00429","FGNPIGJI_03229","MAMCPOAM_01437","CKPEMOEN_02658","MMJAGEHG_03375","DCCGOOHM_00981","IOEMIFOP_02536","NCJKFECA_03781","PLHCNFHB_03007","HNLCLDHN_02562","NNGIMOCL_01020","IEICFKFC_03222","OBBHNEFO_03349","JILAKEMF_04011"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"CNBCECDA_03040","GEPIEMCB_00437","FGNPIGJI_03237","MAMCPOAM_01429","CKPEMOEN_02650","MMJAGEHG_03367","DCCGOOHM_00989","IOEMIFOP_02544","NCJKFECA_03773","PLHCNFHB_02999","HNLCLDHN_02570","NNGIMOCL_01028","IEICFKFC_03230","OBBHNEFO_03341","JILAKEMF_04003"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"CNBCECDA_03076","GEPIEMCB_00473","FGNPIGJI_03273","MAMCPOAM_01393","CKPEMOEN_02614","MMJAGEHG_03331","DCCGOOHM_01025","IOEMIFOP_02580","NCJKFECA_03737","PLHCNFHB_02963","HNLCLDHN_02606","NNGIMOCL_01064","IEICFKFC_03266","OBBHNEFO_03305","JILAKEMF_03967"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"CNBCECDA_03106","GEPIEMCB_00503","FGNPIGJI_03303","MAMCPOAM_00630","CKPEMOEN_02584","MMJAGEHG_03301","DCCGOOHM_01055","IOEMIFOP_02610","NCJKFECA_03707","PLHCNFHB_02933","HNLCLDHN_02636","NNGIMOCL_01094","IEICFKFC_03296","OBBHNEFO_03275","JILAKEMF_03937"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"CNBCECDA_03112","GEPIEMCB_00509","FGNPIGJI_03309","MAMCPOAM_00624","CKPEMOEN_02578","MMJAGEHG_03295","DCCGOOHM_01061","IOEMIFOP_02616","NCJKFECA_03701","PLHCNFHB_02927","HNLCLDHN_02642","NNGIMOCL_01100","IEICFKFC_03302","OBBHNEFO_03269","JILAKEMF_03931"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"CNBCECDA_03113","GEPIEMCB_00510","FGNPIGJI_03310","MAMCPOAM_00623","CKPEMOEN_02577","MMJAGEHG_03294","DCCGOOHM_01062","IOEMIFOP_02617","NCJKFECA_03700","PLHCNFHB_02926","HNLCLDHN_02643","NNGIMOCL_01101","IEICFKFC_03303","OBBHNEFO_03268","JILAKEMF_03930"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"CNBCECDA_03144","GEPIEMCB_00541","FGNPIGJI_03341","MAMCPOAM_00794","CKPEMOEN_02546","MMJAGEHG_03263","DCCGOOHM_01093","IOEMIFOP_02646","NCJKFECA_03331","PLHCNFHB_02895","HNLCLDHN_02674","NNGIMOCL_01132","IEICFKFC_03334","OBBHNEFO_03237","JILAKEMF_03554"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"CNBCECDA_03146","GEPIEMCB_00543","FGNPIGJI_03343","MAMCPOAM_00792","CKPEMOEN_02544","MMJAGEHG_03261","DCCGOOHM_01095","IOEMIFOP_02648","NCJKFECA_03329","PLHCNFHB_02893","HNLCLDHN_02676","NNGIMOCL_01134","IEICFKFC_03336","OBBHNEFO_03235","JILAKEMF_03556"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"CNBCECDA_03152","GEPIEMCB_00549","FGNPIGJI_03349","MAMCPOAM_00786","CKPEMOEN_02538","MMJAGEHG_03255","DCCGOOHM_01101","IOEMIFOP_02654","NCJKFECA_03323","PLHCNFHB_02887","HNLCLDHN_02682","NNGIMOCL_01140","IEICFKFC_03342","OBBHNEFO_03229","JILAKEMF_03562"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"CNBCECDA_03159","GEPIEMCB_00556","FGNPIGJI_03356","MAMCPOAM_00779","CKPEMOEN_02531","MMJAGEHG_03248","DCCGOOHM_01108","IOEMIFOP_02661","NCJKFECA_03316","PLHCNFHB_02880","HNLCLDHN_02689","NNGIMOCL_01147","IEICFKFC_03349","OBBHNEFO_03222","JILAKEMF_03569"
