"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2911774","SRR1334790","SRR5883581","SRR14766462","SRR12991092","SRR7010474","SRR7010301","SRR3037403","SRR3037467","SRR14766434","SRR2077386","NDSU28","SRR10258286","SRR10502094","SRR3037491"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"PFMPIDLH_04613","EEHBNCGH_04538","LBEPEMJH_04532","GEBDBFBM_04336","KEBBHCLF_04470","ANAGKALP_04592","KLLMCOIF_04589","ICMJKFCL_04654","FONGDKBB_04553","JAJDIPKB_04249","AHCJAMEF_04578","KBLPGKMM_04454","NKIHGGCG_04548","BMPMIIIC_04449","GJABAPEG_04595"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"PFMPIDLH_00074","EEHBNCGH_00074","LBEPEMJH_00479","GEBDBFBM_01936","KEBBHCLF_02153","ANAGKALP_02092","KLLMCOIF_02946","ICMJKFCL_01749","FONGDKBB_04074","JAJDIPKB_01922","AHCJAMEF_00074","KBLPGKMM_00759","NKIHGGCG_01524","BMPMIIIC_00890","GJABAPEG_01341"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"PFMPIDLH_01108","EEHBNCGH_01696","LBEPEMJH_04226","GEBDBFBM_03640","KEBBHCLF_00436","ANAGKALP_03953","KLLMCOIF_04074","ICMJKFCL_00435","FONGDKBB_04491","JAJDIPKB_04004","AHCJAMEF_04251","KBLPGKMM_03742","NKIHGGCG_04463","BMPMIIIC_02078","GJABAPEG_01422"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"PFMPIDLH_00177","EEHBNCGH_00177","LBEPEMJH_00582","GEBDBFBM_01833","KEBBHCLF_02050","ANAGKALP_01989","KLLMCOIF_01972","ICMJKFCL_01852","FONGDKBB_02920","JAJDIPKB_02292","AHCJAMEF_00177","KBLPGKMM_00862","NKIHGGCG_01627","BMPMIIIC_00787","GJABAPEG_01238"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"PFMPIDLH_03038","EEHBNCGH_00715","LBEPEMJH_00047","GEBDBFBM_01239","KEBBHCLF_04199","ANAGKALP_00361","KLLMCOIF_03865","ICMJKFCL_01316","FONGDKBB_01180","JAJDIPKB_02780","AHCJAMEF_00716","KBLPGKMM_00397","NKIHGGCG_04092","BMPMIIIC_03759","GJABAPEG_00700"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"PFMPIDLH_03034","EEHBNCGH_00719","LBEPEMJH_00051","GEBDBFBM_01235","KEBBHCLF_04203","ANAGKALP_00357","KLLMCOIF_03861","ICMJKFCL_01320","FONGDKBB_01184","JAJDIPKB_02776","AHCJAMEF_00720","KBLPGKMM_00401","NKIHGGCG_04088","BMPMIIIC_03763","GJABAPEG_00696"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"PFMPIDLH_03031","EEHBNCGH_00722","LBEPEMJH_00054","GEBDBFBM_01232","KEBBHCLF_04206","ANAGKALP_00354","KLLMCOIF_03858","ICMJKFCL_01323","FONGDKBB_01187","JAJDIPKB_02773","AHCJAMEF_00723","KBLPGKMM_00404","NKIHGGCG_04085","BMPMIIIC_03766","GJABAPEG_00693"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"PFMPIDLH_03030","EEHBNCGH_00723","LBEPEMJH_00055","GEBDBFBM_01231","KEBBHCLF_04207","ANAGKALP_00353","KLLMCOIF_03857","ICMJKFCL_01324","FONGDKBB_01188","JAJDIPKB_02772","AHCJAMEF_00724","KBLPGKMM_00405","NKIHGGCG_04084","BMPMIIIC_03767","GJABAPEG_00692"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"PFMPIDLH_03005","EEHBNCGH_00748","LBEPEMJH_00080","GEBDBFBM_01206","KEBBHCLF_00842","ANAGKALP_00328","KLLMCOIF_03832","ICMJKFCL_01349","FONGDKBB_01213","JAJDIPKB_02747","AHCJAMEF_00749","KBLPGKMM_00430","NKIHGGCG_04059","BMPMIIIC_03792","GJABAPEG_00667"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"PFMPIDLH_03004","EEHBNCGH_00749","LBEPEMJH_00081","GEBDBFBM_01205","KEBBHCLF_00841","ANAGKALP_00327","KLLMCOIF_03831","ICMJKFCL_01350","FONGDKBB_01214","JAJDIPKB_02746","AHCJAMEF_00750","KBLPGKMM_00431","NKIHGGCG_04058","BMPMIIIC_03793","GJABAPEG_00666"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"PFMPIDLH_03003","EEHBNCGH_00750","LBEPEMJH_00082","GEBDBFBM_01204","KEBBHCLF_00840","ANAGKALP_00326","KLLMCOIF_03830","ICMJKFCL_01351","FONGDKBB_01215","JAJDIPKB_02745","AHCJAMEF_00751","KBLPGKMM_00432","NKIHGGCG_04057","BMPMIIIC_03794","GJABAPEG_00665"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"PFMPIDLH_02988","EEHBNCGH_00765","LBEPEMJH_00097","GEBDBFBM_01189","KEBBHCLF_00825","ANAGKALP_00310","KLLMCOIF_00651","ICMJKFCL_01366","FONGDKBB_01230","JAJDIPKB_00733","AHCJAMEF_00766","KBLPGKMM_00447","NKIHGGCG_04248","BMPMIIIC_02289","GJABAPEG_00650"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"PFMPIDLH_02978","EEHBNCGH_00775","LBEPEMJH_00107","GEBDBFBM_01179","KEBBHCLF_00815","ANAGKALP_00300","KLLMCOIF_00641","ICMJKFCL_01376","FONGDKBB_01240","JAJDIPKB_00723","AHCJAMEF_00776","KBLPGKMM_00457","NKIHGGCG_04238","BMPMIIIC_02299","GJABAPEG_00640"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"PFMPIDLH_02976","EEHBNCGH_00777","LBEPEMJH_00109","GEBDBFBM_01177","KEBBHCLF_00813","ANAGKALP_00298","KLLMCOIF_00639","ICMJKFCL_01378","FONGDKBB_01242","JAJDIPKB_00721","AHCJAMEF_00778","KBLPGKMM_00459","NKIHGGCG_04236","BMPMIIIC_02301","GJABAPEG_00638"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"PFMPIDLH_02951","EEHBNCGH_00802","LBEPEMJH_00134","GEBDBFBM_01152","KEBBHCLF_00788","ANAGKALP_00273","KLLMCOIF_00614","ICMJKFCL_01403","FONGDKBB_01267","JAJDIPKB_00696","AHCJAMEF_00803","KBLPGKMM_00484","NKIHGGCG_00686","BMPMIIIC_02326","GJABAPEG_00613"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"PFMPIDLH_02947","EEHBNCGH_00806","LBEPEMJH_00138","GEBDBFBM_01148","KEBBHCLF_00784","ANAGKALP_00269","KLLMCOIF_00610","ICMJKFCL_01407","FONGDKBB_01271","JAJDIPKB_00692","AHCJAMEF_00807","KBLPGKMM_00488","NKIHGGCG_00682","BMPMIIIC_02330","GJABAPEG_00609"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"PFMPIDLH_02937","EEHBNCGH_00816","LBEPEMJH_00148","GEBDBFBM_01138","KEBBHCLF_00774","ANAGKALP_00259","KLLMCOIF_00600","ICMJKFCL_01417","FONGDKBB_01281","JAJDIPKB_00682","AHCJAMEF_00817","KBLPGKMM_00498","NKIHGGCG_00672","BMPMIIIC_02340","GJABAPEG_00599"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"PFMPIDLH_02936","EEHBNCGH_00817","LBEPEMJH_00149","GEBDBFBM_01137","KEBBHCLF_00773","ANAGKALP_00258","KLLMCOIF_00599","ICMJKFCL_01418","FONGDKBB_01282","JAJDIPKB_00681","AHCJAMEF_00818","KBLPGKMM_00499","NKIHGGCG_00671","BMPMIIIC_02341","GJABAPEG_00598"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"PFMPIDLH_02917","EEHBNCGH_00836","LBEPEMJH_00168","GEBDBFBM_01118","KEBBHCLF_00754","ANAGKALP_00239","KLLMCOIF_00580","ICMJKFCL_01437","FONGDKBB_01301","JAJDIPKB_00662","AHCJAMEF_00837","KBLPGKMM_00518","NKIHGGCG_00652","BMPMIIIC_02360","GJABAPEG_00579"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"PFMPIDLH_02902","EEHBNCGH_00851","LBEPEMJH_00183","GEBDBFBM_01103","KEBBHCLF_00739","ANAGKALP_00224","KLLMCOIF_00565","ICMJKFCL_01452","FONGDKBB_01316","JAJDIPKB_00647","AHCJAMEF_00852","KBLPGKMM_00533","NKIHGGCG_00637","BMPMIIIC_02376","GJABAPEG_00564"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"PFMPIDLH_02888","EEHBNCGH_00865","LBEPEMJH_00197","GEBDBFBM_01089","KEBBHCLF_00725","ANAGKALP_00210","KLLMCOIF_00551","ICMJKFCL_01466","FONGDKBB_01330","JAJDIPKB_00633","AHCJAMEF_00866","KBLPGKMM_00547","NKIHGGCG_00623","BMPMIIIC_02390","GJABAPEG_00550"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"PFMPIDLH_02876","EEHBNCGH_00877","LBEPEMJH_00209","GEBDBFBM_01077","KEBBHCLF_00713","ANAGKALP_00198","KLLMCOIF_00539","ICMJKFCL_01478","FONGDKBB_03266","JAJDIPKB_03888","AHCJAMEF_00878","KBLPGKMM_00559","NKIHGGCG_00611","BMPMIIIC_02402","GJABAPEG_00538"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"PFMPIDLH_02870","EEHBNCGH_00883","LBEPEMJH_00215","GEBDBFBM_01071","KEBBHCLF_00707","ANAGKALP_00192","KLLMCOIF_00533","ICMJKFCL_01484","FONGDKBB_03260","JAJDIPKB_03894","AHCJAMEF_00884","KBLPGKMM_00565","NKIHGGCG_00605","BMPMIIIC_02408","GJABAPEG_00532"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"PFMPIDLH_02869","EEHBNCGH_00884","LBEPEMJH_00216","GEBDBFBM_01070","KEBBHCLF_00706","ANAGKALP_00191","KLLMCOIF_00532","ICMJKFCL_01485","FONGDKBB_03259","JAJDIPKB_03895","AHCJAMEF_00885","KBLPGKMM_00566","NKIHGGCG_00604","BMPMIIIC_02409","GJABAPEG_00531"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"PFMPIDLH_02866","EEHBNCGH_00887","LBEPEMJH_00219","GEBDBFBM_01067","KEBBHCLF_00703","ANAGKALP_00188","KLLMCOIF_00529","ICMJKFCL_01488","FONGDKBB_03256","JAJDIPKB_03898","AHCJAMEF_00888","KBLPGKMM_00569","NKIHGGCG_00601","BMPMIIIC_02412","GJABAPEG_00528"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"PFMPIDLH_02860","EEHBNCGH_00893","LBEPEMJH_00225","GEBDBFBM_01061","KEBBHCLF_00697","ANAGKALP_00182","KLLMCOIF_00523","ICMJKFCL_01494","FONGDKBB_03250","JAJDIPKB_03904","AHCJAMEF_00894","KBLPGKMM_00575","NKIHGGCG_00595","BMPMIIIC_02418","GJABAPEG_00522"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"PFMPIDLH_02859","EEHBNCGH_00894","LBEPEMJH_00226","GEBDBFBM_01060","KEBBHCLF_00696","ANAGKALP_00181","KLLMCOIF_00522","ICMJKFCL_01495","FONGDKBB_03249","JAJDIPKB_04245","AHCJAMEF_00895","KBLPGKMM_00576","NKIHGGCG_00594","BMPMIIIC_02419","GJABAPEG_00521"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"PFMPIDLH_03266","EEHBNCGH_01022","LBEPEMJH_00355","GEBDBFBM_03392","KEBBHCLF_00567","ANAGKALP_00051","KLLMCOIF_00391","ICMJKFCL_01625","FONGDKBB_02606","JAJDIPKB_02645","AHCJAMEF_01024","KBLPGKMM_03673","NKIHGGCG_00464","BMPMIIIC_03573","GJABAPEG_00391"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"PFMPIDLH_03265","EEHBNCGH_01023","LBEPEMJH_00356","GEBDBFBM_03393","KEBBHCLF_00566","ANAGKALP_00050","KLLMCOIF_00390","ICMJKFCL_01626","FONGDKBB_02605","JAJDIPKB_02646","AHCJAMEF_01025","KBLPGKMM_03672","NKIHGGCG_00463","BMPMIIIC_03572","GJABAPEG_00390"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"PFMPIDLH_03262","EEHBNCGH_01026","LBEPEMJH_00359","GEBDBFBM_03396","KEBBHCLF_00563","ANAGKALP_00047","KLLMCOIF_00387","ICMJKFCL_01629","FONGDKBB_02602","JAJDIPKB_02649","AHCJAMEF_01028","KBLPGKMM_03669","NKIHGGCG_00460","BMPMIIIC_03569","GJABAPEG_00387"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"PFMPIDLH_03260","EEHBNCGH_01028","LBEPEMJH_00361","GEBDBFBM_03398","KEBBHCLF_00561","ANAGKALP_00045","KLLMCOIF_00385","ICMJKFCL_01631","FONGDKBB_02600","JAJDIPKB_02651","AHCJAMEF_01030","KBLPGKMM_03667","NKIHGGCG_00458","BMPMIIIC_03567","GJABAPEG_00385"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"PFMPIDLH_03255","EEHBNCGH_01033","LBEPEMJH_00366","GEBDBFBM_03403","KEBBHCLF_00556","ANAGKALP_00040","KLLMCOIF_00380","ICMJKFCL_01636","FONGDKBB_02595","JAJDIPKB_02656","AHCJAMEF_01035","KBLPGKMM_03662","NKIHGGCG_00453","BMPMIIIC_03562","GJABAPEG_00380"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"PFMPIDLH_03217","EEHBNCGH_01071","LBEPEMJH_00404","GEBDBFBM_04405","KEBBHCLF_00518","ANAGKALP_00002","KLLMCOIF_00342","ICMJKFCL_01674","FONGDKBB_02557","JAJDIPKB_04388","AHCJAMEF_01073","KBLPGKMM_03624","NKIHGGCG_00415","BMPMIIIC_03524","GJABAPEG_00342"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"PFMPIDLH_03210","EEHBNCGH_01078","LBEPEMJH_02142","GEBDBFBM_04308","KEBBHCLF_00511","ANAGKALP_01095","KLLMCOIF_00335","ICMJKFCL_03101","FONGDKBB_00991","JAJDIPKB_02561","AHCJAMEF_04380","KBLPGKMM_04111","NKIHGGCG_02214","BMPMIIIC_01286","GJABAPEG_00335"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"PFMPIDLH_03200","EEHBNCGH_01088","LBEPEMJH_02132","GEBDBFBM_04298","KEBBHCLF_00501","ANAGKALP_01105","KLLMCOIF_00325","ICMJKFCL_03091","FONGDKBB_01001","JAJDIPKB_02571","AHCJAMEF_04370","KBLPGKMM_04121","NKIHGGCG_02204","BMPMIIIC_01276","GJABAPEG_00325"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"PFMPIDLH_03193","EEHBNCGH_01095","LBEPEMJH_02125","GEBDBFBM_04291","KEBBHCLF_00494","ANAGKALP_01112","KLLMCOIF_00318","ICMJKFCL_03084","FONGDKBB_01008","JAJDIPKB_02578","AHCJAMEF_04363","KBLPGKMM_04128","NKIHGGCG_02197","BMPMIIIC_01269","GJABAPEG_00318"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"PFMPIDLH_03185","EEHBNCGH_01103","LBEPEMJH_02117","GEBDBFBM_04283","KEBBHCLF_00486","ANAGKALP_01120","KLLMCOIF_00310","ICMJKFCL_03076","FONGDKBB_01016","JAJDIPKB_02586","AHCJAMEF_04355","KBLPGKMM_04136","NKIHGGCG_02189","BMPMIIIC_01261","GJABAPEG_00310"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"PFMPIDLH_03149","EEHBNCGH_01139","LBEPEMJH_02081","GEBDBFBM_04522","KEBBHCLF_00450","ANAGKALP_01156","KLLMCOIF_00274","ICMJKFCL_03040","FONGDKBB_01052","JAJDIPKB_02622","AHCJAMEF_04319","KBLPGKMM_04172","NKIHGGCG_02153","BMPMIIIC_01225","GJABAPEG_00274"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"PFMPIDLH_03119","EEHBNCGH_01169","LBEPEMJH_02051","GEBDBFBM_02739","KEBBHCLF_02795","ANAGKALP_01186","KLLMCOIF_00244","ICMJKFCL_03010","FONGDKBB_01082","JAJDIPKB_00965","AHCJAMEF_03243","KBLPGKMM_01295","NKIHGGCG_02123","BMPMIIIC_01195","GJABAPEG_00244"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"PFMPIDLH_03113","EEHBNCGH_01175","LBEPEMJH_02045","GEBDBFBM_02745","KEBBHCLF_02801","ANAGKALP_01192","KLLMCOIF_00238","ICMJKFCL_03004","FONGDKBB_01088","JAJDIPKB_00971","AHCJAMEF_03249","KBLPGKMM_01301","NKIHGGCG_02117","BMPMIIIC_01189","GJABAPEG_00238"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"PFMPIDLH_03112","EEHBNCGH_01176","LBEPEMJH_02044","GEBDBFBM_02746","KEBBHCLF_02802","ANAGKALP_01193","KLLMCOIF_00237","ICMJKFCL_03003","FONGDKBB_01089","JAJDIPKB_00972","AHCJAMEF_03250","KBLPGKMM_01302","NKIHGGCG_02116","BMPMIIIC_01188","GJABAPEG_00237"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"PFMPIDLH_03554","EEHBNCGH_03461","LBEPEMJH_02013","GEBDBFBM_02777","KEBBHCLF_02833","ANAGKALP_01222","KLLMCOIF_00206","ICMJKFCL_02972","FONGDKBB_01120","JAJDIPKB_01002","AHCJAMEF_03281","KBLPGKMM_01332","NKIHGGCG_02085","BMPMIIIC_01157","GJABAPEG_00206"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"PFMPIDLH_03552","EEHBNCGH_03463","LBEPEMJH_02011","GEBDBFBM_02779","KEBBHCLF_02835","ANAGKALP_01224","KLLMCOIF_00204","ICMJKFCL_02970","FONGDKBB_01122","JAJDIPKB_01004","AHCJAMEF_03283","KBLPGKMM_01334","NKIHGGCG_02083","BMPMIIIC_01155","GJABAPEG_00204"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"PFMPIDLH_03546","EEHBNCGH_03469","LBEPEMJH_02005","GEBDBFBM_02785","KEBBHCLF_02841","ANAGKALP_01230","KLLMCOIF_00198","ICMJKFCL_02964","FONGDKBB_01128","JAJDIPKB_01010","AHCJAMEF_03289","KBLPGKMM_01340","NKIHGGCG_02077","BMPMIIIC_01149","GJABAPEG_00198"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"PFMPIDLH_03539","EEHBNCGH_03476","LBEPEMJH_01998","GEBDBFBM_02792","KEBBHCLF_02848","ANAGKALP_01237","KLLMCOIF_00191","ICMJKFCL_02957","FONGDKBB_01135","JAJDIPKB_01017","AHCJAMEF_03296","KBLPGKMM_01347","NKIHGGCG_02070","BMPMIIIC_01142","GJABAPEG_00191"
