"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR9016885","SRR14766373","SRR1363292","SRR3037518","SRR5877168","SRR3000887","SRR3037434","SRR3000888","SRR1300738","SRR9016907","SRR14766363","SRR14766398","SRR14766349","NDSU6","NDSU13"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"OMEBOICM_01840","OCHGHCBG_02866","HECGGPDK_00519","OIEPJHKP_01739","ABGDGJIO_02202","HEJLPIII_00660","ENBCENPF_01299","HAJGLMEJ_02719","BGBDHPIL_01483","BONMBINM_03617","HDHIBFGB_00549","POCPDFCE_03937","FMNDBGIB_01412","LBKLGAEM_01369","GBFFMACB_00732"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"OMEBOICM_01843","OCHGHCBG_02863","HECGGPDK_00516","OIEPJHKP_01742","ABGDGJIO_02199","HEJLPIII_00663","ENBCENPF_01302","HAJGLMEJ_02716","BGBDHPIL_01486","BONMBINM_03620","HDHIBFGB_00546","POCPDFCE_03934","FMNDBGIB_01409","LBKLGAEM_01372","GBFFMACB_00735"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"OMEBOICM_01849","OCHGHCBG_02857","HECGGPDK_00510","OIEPJHKP_01748","ABGDGJIO_02193","HEJLPIII_00669","ENBCENPF_01308","HAJGLMEJ_01996","BGBDHPIL_01492","BONMBINM_03626","HDHIBFGB_00540","POCPDFCE_03812","FMNDBGIB_01403","LBKLGAEM_01378","GBFFMACB_00741"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"OMEBOICM_01850","OCHGHCBG_02856","HECGGPDK_00509","OIEPJHKP_01749","ABGDGJIO_02192","HEJLPIII_00670","ENBCENPF_01309","HAJGLMEJ_01995","BGBDHPIL_01493","BONMBINM_03627","HDHIBFGB_00539","POCPDFCE_03813","FMNDBGIB_01402","LBKLGAEM_01379","GBFFMACB_00742"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"OMEBOICM_03484","OCHGHCBG_02727","HECGGPDK_00379","OIEPJHKP_01879","ABGDGJIO_02062","HEJLPIII_00800","ENBCENPF_01439","HAJGLMEJ_01865","BGBDHPIL_03422","BONMBINM_03740","HDHIBFGB_00409","POCPDFCE_00585","FMNDBGIB_02748","LBKLGAEM_01508","GBFFMACB_00872"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"OMEBOICM_03485","OCHGHCBG_02726","HECGGPDK_00378","OIEPJHKP_01880","ABGDGJIO_02061","HEJLPIII_00801","ENBCENPF_01440","HAJGLMEJ_01864","BGBDHPIL_03423","BONMBINM_03739","HDHIBFGB_00408","POCPDFCE_00584","FMNDBGIB_02749","LBKLGAEM_01509","GBFFMACB_00873"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"OMEBOICM_03488","OCHGHCBG_02723","HECGGPDK_00375","OIEPJHKP_01883","ABGDGJIO_02058","HEJLPIII_00804","ENBCENPF_01443","HAJGLMEJ_01861","BGBDHPIL_03426","BONMBINM_03736","HDHIBFGB_00405","POCPDFCE_00581","FMNDBGIB_02752","LBKLGAEM_01512","GBFFMACB_00876"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"OMEBOICM_03490","OCHGHCBG_02721","HECGGPDK_00373","OIEPJHKP_01885","ABGDGJIO_02056","HEJLPIII_00806","ENBCENPF_01445","HAJGLMEJ_01859","BGBDHPIL_03428","BONMBINM_03734","HDHIBFGB_00403","POCPDFCE_00579","FMNDBGIB_02754","LBKLGAEM_01514","GBFFMACB_00878"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"OMEBOICM_03495","OCHGHCBG_02716","HECGGPDK_00368","OIEPJHKP_01890","ABGDGJIO_02051","HEJLPIII_00811","ENBCENPF_01450","HAJGLMEJ_01854","BGBDHPIL_03433","BONMBINM_03729","HDHIBFGB_00398","POCPDFCE_00574","FMNDBGIB_02759","LBKLGAEM_01519","GBFFMACB_00883"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"OMEBOICM_03533","OCHGHCBG_02678","HECGGPDK_00330","OIEPJHKP_01928","ABGDGJIO_02013","HEJLPIII_00849","ENBCENPF_01488","HAJGLMEJ_01816","BGBDHPIL_00339","BONMBINM_03691","HDHIBFGB_00360","POCPDFCE_00961","FMNDBGIB_04452","LBKLGAEM_01557","GBFFMACB_00921"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"OMEBOICM_01206","OCHGHCBG_00674","HECGGPDK_00323","OIEPJHKP_03972","ABGDGJIO_03142","HEJLPIII_02933","ENBCENPF_02519","HAJGLMEJ_03664","BGBDHPIL_00332","BONMBINM_00739","HDHIBFGB_01062","POCPDFCE_00954","FMNDBGIB_01381","LBKLGAEM_01564","GBFFMACB_00928"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"OMEBOICM_01196","OCHGHCBG_00684","HECGGPDK_00313","OIEPJHKP_03962","ABGDGJIO_03152","HEJLPIII_02923","ENBCENPF_02509","HAJGLMEJ_03654","BGBDHPIL_00322","BONMBINM_00749","HDHIBFGB_01072","POCPDFCE_00944","FMNDBGIB_01371","LBKLGAEM_01574","GBFFMACB_00938"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"OMEBOICM_01189","OCHGHCBG_00691","HECGGPDK_00306","OIEPJHKP_03955","ABGDGJIO_03159","HEJLPIII_02916","ENBCENPF_02502","HAJGLMEJ_03647","BGBDHPIL_00315","BONMBINM_00756","HDHIBFGB_01079","POCPDFCE_00937","FMNDBGIB_01364","LBKLGAEM_01581","GBFFMACB_00945"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"OMEBOICM_01181","OCHGHCBG_00699","HECGGPDK_00298","OIEPJHKP_03947","ABGDGJIO_03167","HEJLPIII_02908","ENBCENPF_02494","HAJGLMEJ_03639","BGBDHPIL_00311","BONMBINM_00764","HDHIBFGB_01087","POCPDFCE_00929","FMNDBGIB_01356","LBKLGAEM_01589","GBFFMACB_00953"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"OMEBOICM_01145","OCHGHCBG_00735","HECGGPDK_00262","OIEPJHKP_03911","ABGDGJIO_03203","HEJLPIII_02872","ENBCENPF_02458","HAJGLMEJ_03603","BGBDHPIL_00275","BONMBINM_00800","HDHIBFGB_01123","POCPDFCE_03444","FMNDBGIB_01320","LBKLGAEM_01625","GBFFMACB_04780"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"OMEBOICM_01115","OCHGHCBG_00765","HECGGPDK_00232","OIEPJHKP_03881","ABGDGJIO_03233","HEJLPIII_02842","ENBCENPF_02428","HAJGLMEJ_03087","BGBDHPIL_00245","BONMBINM_00830","HDHIBFGB_01153","POCPDFCE_01424","FMNDBGIB_01290","LBKLGAEM_04397","GBFFMACB_02799"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"OMEBOICM_01109","OCHGHCBG_00771","HECGGPDK_00226","OIEPJHKP_03875","ABGDGJIO_03239","HEJLPIII_02836","ENBCENPF_02422","HAJGLMEJ_03093","BGBDHPIL_00239","BONMBINM_00836","HDHIBFGB_01159","POCPDFCE_01430","FMNDBGIB_01284","LBKLGAEM_04403","GBFFMACB_02793"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"OMEBOICM_01108","OCHGHCBG_00772","HECGGPDK_00225","OIEPJHKP_03874","ABGDGJIO_03240","HEJLPIII_02835","ENBCENPF_02421","HAJGLMEJ_03094","BGBDHPIL_00238","BONMBINM_00837","HDHIBFGB_01160","POCPDFCE_01431","FMNDBGIB_01283","LBKLGAEM_04404","GBFFMACB_02792"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"OMEBOICM_01078","OCHGHCBG_00803","HECGGPDK_00194","OIEPJHKP_03561","ABGDGJIO_03271","HEJLPIII_02803","ENBCENPF_02390","HAJGLMEJ_03125","BGBDHPIL_00207","BONMBINM_00868","HDHIBFGB_01190","POCPDFCE_00840","FMNDBGIB_01253","LBKLGAEM_03600","GBFFMACB_02761"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"OMEBOICM_01076","OCHGHCBG_00805","HECGGPDK_00192","OIEPJHKP_03559","ABGDGJIO_03273","HEJLPIII_02801","ENBCENPF_02388","HAJGLMEJ_03127","BGBDHPIL_00205","BONMBINM_00870","HDHIBFGB_01192","POCPDFCE_00842","FMNDBGIB_01251","LBKLGAEM_03602","GBFFMACB_02759"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"OMEBOICM_01070","OCHGHCBG_00811","HECGGPDK_00186","OIEPJHKP_03553","ABGDGJIO_03279","HEJLPIII_02795","ENBCENPF_02382","HAJGLMEJ_03133","BGBDHPIL_00199","BONMBINM_00876","HDHIBFGB_01198","POCPDFCE_00848","FMNDBGIB_01245","LBKLGAEM_03608","GBFFMACB_02753"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"OMEBOICM_01063","OCHGHCBG_00818","HECGGPDK_00179","OIEPJHKP_03546","ABGDGJIO_03286","HEJLPIII_02788","ENBCENPF_02375","HAJGLMEJ_03140","BGBDHPIL_00192","BONMBINM_00883","HDHIBFGB_01205","POCPDFCE_00855","FMNDBGIB_01238","LBKLGAEM_03615","GBFFMACB_02746"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"OMEBOICM_01059","OCHGHCBG_00822","HECGGPDK_00175","OIEPJHKP_03542","ABGDGJIO_03290","HEJLPIII_02784","ENBCENPF_02371","HAJGLMEJ_03144","BGBDHPIL_00188","BONMBINM_00887","HDHIBFGB_01209","POCPDFCE_00859","FMNDBGIB_01234","LBKLGAEM_03619","GBFFMACB_02742"
