"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3000893","SRR15357283","SRR5928619","SRR14766355","NDSU4","SRR2911780","SRR25926991","SRR3000890","SRR19572341","SRR14766443","SRR9016885","SRR8728075","SRR5000227","SRR16297815","SRR14272153"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"NNFNPJIH_04420","PDNNBANI_04611","JKCDLFCP_03662","KIGINCLF_04077","MLOHFGPA_03952","FENEHPHI_04520","MAFDEBPG_04187","GEFNPNKI_04332","PBAHMKCA_04476","BJFLHFPA_04207","OMEBOICM_04117","EDHNKBAJ_04339","FKHFPJNE_04370","DCCGOOHM_04469","HIMMJIDH_04457"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"NNFNPJIH_04417","PDNNBANI_04608","JKCDLFCP_03659","KIGINCLF_04080","MLOHFGPA_03949","FENEHPHI_04517","MAFDEBPG_04184","GEFNPNKI_04335","PBAHMKCA_04473","BJFLHFPA_04204","OMEBOICM_04114","EDHNKBAJ_04342","FKHFPJNE_04373","DCCGOOHM_04472","HIMMJIDH_04460"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"NNFNPJIH_04396","PDNNBANI_04587","JKCDLFCP_03638","KIGINCLF_04101","MLOHFGPA_03928","FENEHPHI_04496","MAFDEBPG_04163","GEFNPNKI_04356","PBAHMKCA_04452","BJFLHFPA_04183","OMEBOICM_04093","EDHNKBAJ_04363","FKHFPJNE_04394","DCCGOOHM_04493","HIMMJIDH_04481"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"NNFNPJIH_04351","PDNNBANI_04542","JKCDLFCP_03459","KIGINCLF_04044","MLOHFGPA_04066","FENEHPHI_04451","MAFDEBPG_02501","GEFNPNKI_04398","PBAHMKCA_04505","BJFLHFPA_04235","OMEBOICM_03968","EDHNKBAJ_04269","FKHFPJNE_04436","DCCGOOHM_04440","HIMMJIDH_00517"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"NNFNPJIH_04470","PDNNBANI_04618","JKCDLFCP_04451","KIGINCLF_04311","MLOHFGPA_04313","FENEHPHI_04549","MAFDEBPG_04333","GEFNPNKI_04448","PBAHMKCA_04557","BJFLHFPA_04492","OMEBOICM_04452","EDHNKBAJ_04484","FKHFPJNE_04465","DCCGOOHM_04512","HIMMJIDH_04555"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"NNFNPJIH_01068","PDNNBANI_02851","JKCDLFCP_00803","KIGINCLF_00358","MLOHFGPA_01351","FENEHPHI_00595","MAFDEBPG_00425","GEFNPNKI_00074","PBAHMKCA_01347","BJFLHFPA_01765","OMEBOICM_03054","EDHNKBAJ_01816","FKHFPJNE_03938","DCCGOOHM_00074","HIMMJIDH_01892"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"NNFNPJIH_02159","PDNNBANI_01667","JKCDLFCP_04281","KIGINCLF_04466","MLOHFGPA_03032","FENEHPHI_01104","MAFDEBPG_04552","GEFNPNKI_01807","PBAHMKCA_01428","BJFLHFPA_04606","OMEBOICM_03685","EDHNKBAJ_01508","FKHFPJNE_01668","DCCGOOHM_02218","HIMMJIDH_02402"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"NNFNPJIH_01171","PDNNBANI_02954","JKCDLFCP_02641","KIGINCLF_00461","MLOHFGPA_01454","FENEHPHI_00492","MAFDEBPG_00528","GEFNPNKI_00177","PBAHMKCA_01244","BJFLHFPA_01868","OMEBOICM_00306","EDHNKBAJ_01919","FKHFPJNE_03835","DCCGOOHM_00177","HIMMJIDH_01789"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"NNFNPJIH_00589","PDNNBANI_00699","JKCDLFCP_02436","KIGINCLF_02499","MLOHFGPA_02147","FENEHPHI_01159","MAFDEBPG_01562","GEFNPNKI_01029","PBAHMKCA_00047","BJFLHFPA_03829","OMEBOICM_03637","EDHNKBAJ_00332","FKHFPJNE_00700","DCCGOOHM_04131","HIMMJIDH_00591"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"NNFNPJIH_00585","PDNNBANI_00695","JKCDLFCP_02440","KIGINCLF_02495","MLOHFGPA_02151","FENEHPHI_01163","MAFDEBPG_01558","GEFNPNKI_01025","PBAHMKCA_00051","BJFLHFPA_03833","OMEBOICM_03641","EDHNKBAJ_00328","FKHFPJNE_00696","DCCGOOHM_04135","HIMMJIDH_00595"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"NNFNPJIH_00582","PDNNBANI_00692","JKCDLFCP_02443","KIGINCLF_02492","MLOHFGPA_02154","FENEHPHI_01166","MAFDEBPG_01555","GEFNPNKI_01022","PBAHMKCA_00054","BJFLHFPA_03836","OMEBOICM_03644","EDHNKBAJ_00325","FKHFPJNE_00693","DCCGOOHM_04138","HIMMJIDH_00598"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"NNFNPJIH_00581","PDNNBANI_00691","JKCDLFCP_02444","KIGINCLF_02491","MLOHFGPA_02155","FENEHPHI_01167","MAFDEBPG_01554","GEFNPNKI_01021","PBAHMKCA_00055","BJFLHFPA_03837","OMEBOICM_03645","EDHNKBAJ_00324","FKHFPJNE_00692","DCCGOOHM_04139","HIMMJIDH_00599"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"NNFNPJIH_00556","PDNNBANI_00666","JKCDLFCP_02469","KIGINCLF_02466","MLOHFGPA_02180","FENEHPHI_01192","MAFDEBPG_01529","GEFNPNKI_00996","PBAHMKCA_00080","BJFLHFPA_03862","OMEBOICM_03670","EDHNKBAJ_00299","FKHFPJNE_00667","DCCGOOHM_04164","HIMMJIDH_00624"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"NNFNPJIH_00555","PDNNBANI_00665","JKCDLFCP_02470","KIGINCLF_02465","MLOHFGPA_02181","FENEHPHI_01193","MAFDEBPG_01528","GEFNPNKI_00995","PBAHMKCA_00081","BJFLHFPA_03863","OMEBOICM_03671","EDHNKBAJ_00298","FKHFPJNE_00666","DCCGOOHM_04165","HIMMJIDH_00625"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"NNFNPJIH_00554","PDNNBANI_00664","JKCDLFCP_02471","KIGINCLF_02464","MLOHFGPA_02182","FENEHPHI_01194","MAFDEBPG_01527","GEFNPNKI_00994","PBAHMKCA_00082","BJFLHFPA_03864","OMEBOICM_03672","EDHNKBAJ_00297","FKHFPJNE_00665","DCCGOOHM_04166","HIMMJIDH_00626"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"NNFNPJIH_00539","PDNNBANI_00648","JKCDLFCP_03674","KIGINCLF_02449","MLOHFGPA_02197","FENEHPHI_01209","MAFDEBPG_01512","GEFNPNKI_00978","PBAHMKCA_00097","BJFLHFPA_03879","OMEBOICM_01721","EDHNKBAJ_00282","FKHFPJNE_00650","DCCGOOHM_04182","HIMMJIDH_00641"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"NNFNPJIH_00529","PDNNBANI_00638","JKCDLFCP_03684","KIGINCLF_02439","MLOHFGPA_02207","FENEHPHI_01219","MAFDEBPG_01502","GEFNPNKI_00968","PBAHMKCA_00107","BJFLHFPA_03889","OMEBOICM_01731","EDHNKBAJ_00272","FKHFPJNE_00640","DCCGOOHM_04192","HIMMJIDH_00651"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"NNFNPJIH_00527","PDNNBANI_00636","JKCDLFCP_03686","KIGINCLF_02437","MLOHFGPA_02209","FENEHPHI_01221","MAFDEBPG_01500","GEFNPNKI_00966","PBAHMKCA_00109","BJFLHFPA_02939","OMEBOICM_01733","EDHNKBAJ_00270","FKHFPJNE_00638","DCCGOOHM_04194","HIMMJIDH_00653"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"NNFNPJIH_00502","PDNNBANI_00611","JKCDLFCP_01373","KIGINCLF_02412","MLOHFGPA_01041","FENEHPHI_01246","MAFDEBPG_01475","GEFNPNKI_00941","PBAHMKCA_00134","BJFLHFPA_02964","OMEBOICM_01758","EDHNKBAJ_00245","FKHFPJNE_00613","DCCGOOHM_00687","HIMMJIDH_00678"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"NNFNPJIH_00498","PDNNBANI_00607","JKCDLFCP_01369","KIGINCLF_02408","MLOHFGPA_01037","FENEHPHI_01250","MAFDEBPG_01471","GEFNPNKI_00937","PBAHMKCA_00138","BJFLHFPA_02968","OMEBOICM_01762","EDHNKBAJ_00241","FKHFPJNE_00609","DCCGOOHM_00691","HIMMJIDH_00682"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"NNFNPJIH_00488","PDNNBANI_00597","JKCDLFCP_01359","KIGINCLF_02632","MLOHFGPA_01027","FENEHPHI_01260","MAFDEBPG_01461","GEFNPNKI_00927","PBAHMKCA_00148","BJFLHFPA_02978","OMEBOICM_01772","EDHNKBAJ_00231","FKHFPJNE_00599","DCCGOOHM_00701","HIMMJIDH_00692"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"NNFNPJIH_00487","PDNNBANI_00596","JKCDLFCP_01358","KIGINCLF_02633","MLOHFGPA_01026","FENEHPHI_01261","MAFDEBPG_01460","GEFNPNKI_00926","PBAHMKCA_00149","BJFLHFPA_02979","OMEBOICM_01773","EDHNKBAJ_00230","FKHFPJNE_00598","DCCGOOHM_00702","HIMMJIDH_00693"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"NNFNPJIH_00468","PDNNBANI_00577","JKCDLFCP_01339","KIGINCLF_02652","MLOHFGPA_01007","FENEHPHI_01280","MAFDEBPG_01441","GEFNPNKI_00907","PBAHMKCA_00168","BJFLHFPA_02998","OMEBOICM_01792","EDHNKBAJ_00211","FKHFPJNE_00579","DCCGOOHM_00721","HIMMJIDH_00712"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"NNFNPJIH_00453","PDNNBANI_00561","JKCDLFCP_01324","KIGINCLF_02667","MLOHFGPA_00992","FENEHPHI_01295","MAFDEBPG_01426","GEFNPNKI_00892","PBAHMKCA_00183","BJFLHFPA_03013","OMEBOICM_01807","EDHNKBAJ_00196","FKHFPJNE_00564","DCCGOOHM_00736","HIMMJIDH_00727"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"NNFNPJIH_00439","PDNNBANI_00547","JKCDLFCP_01310","KIGINCLF_02681","MLOHFGPA_00978","FENEHPHI_01309","MAFDEBPG_01412","GEFNPNKI_00878","PBAHMKCA_00197","BJFLHFPA_03027","OMEBOICM_01821","EDHNKBAJ_00182","FKHFPJNE_00550","DCCGOOHM_00750","HIMMJIDH_00741"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"NNFNPJIH_00427","PDNNBANI_00535","JKCDLFCP_01298","KIGINCLF_02693","MLOHFGPA_00966","FENEHPHI_01321","MAFDEBPG_02278","GEFNPNKI_00866","PBAHMKCA_00209","BJFLHFPA_03039","OMEBOICM_01833","EDHNKBAJ_00170","FKHFPJNE_00538","DCCGOOHM_00762","HIMMJIDH_00753"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"NNFNPJIH_00421","PDNNBANI_00529","JKCDLFCP_01292","KIGINCLF_02699","MLOHFGPA_00960","FENEHPHI_01327","MAFDEBPG_02284","GEFNPNKI_00860","PBAHMKCA_00215","BJFLHFPA_03045","OMEBOICM_01839","EDHNKBAJ_00164","FKHFPJNE_00532","DCCGOOHM_00768","HIMMJIDH_00759"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"NNFNPJIH_00420","PDNNBANI_00528","JKCDLFCP_01291","KIGINCLF_02700","MLOHFGPA_00959","FENEHPHI_01328","MAFDEBPG_02285","GEFNPNKI_00859","PBAHMKCA_00216","BJFLHFPA_03046","OMEBOICM_01840","EDHNKBAJ_00163","FKHFPJNE_00531","DCCGOOHM_00769","HIMMJIDH_00760"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"NNFNPJIH_00417","PDNNBANI_00525","JKCDLFCP_01288","KIGINCLF_02703","MLOHFGPA_00956","FENEHPHI_01331","MAFDEBPG_02288","GEFNPNKI_00856","PBAHMKCA_00219","BJFLHFPA_03049","OMEBOICM_01843","EDHNKBAJ_00160","FKHFPJNE_00528","DCCGOOHM_00772","HIMMJIDH_00763"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"NNFNPJIH_00411","PDNNBANI_00519","JKCDLFCP_01282","KIGINCLF_02709","MLOHFGPA_00950","FENEHPHI_01337","MAFDEBPG_02294","GEFNPNKI_00850","PBAHMKCA_00225","BJFLHFPA_03055","OMEBOICM_01849","EDHNKBAJ_00154","FKHFPJNE_00522","DCCGOOHM_00778","HIMMJIDH_00769"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"NNFNPJIH_00410","PDNNBANI_00518","JKCDLFCP_01281","KIGINCLF_02710","MLOHFGPA_00949","FENEHPHI_01338","MAFDEBPG_02295","GEFNPNKI_00849","PBAHMKCA_00226","BJFLHFPA_01876","OMEBOICM_01850","EDHNKBAJ_00153","FKHFPJNE_00521","DCCGOOHM_00779","HIMMJIDH_00770"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"NNFNPJIH_00280","PDNNBANI_00388","JKCDLFCP_02854","KIGINCLF_02578","MLOHFGPA_02336","FENEHPHI_01468","MAFDEBPG_02423","GEFNPNKI_00719","PBAHMKCA_00356","BJFLHFPA_02007","OMEBOICM_03484","EDHNKBAJ_00024","FKHFPJNE_00391","DCCGOOHM_00908","HIMMJIDH_00900"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"NNFNPJIH_00279","PDNNBANI_00387","JKCDLFCP_02855","KIGINCLF_02577","MLOHFGPA_02337","FENEHPHI_01469","MAFDEBPG_02422","GEFNPNKI_00718","PBAHMKCA_00357","BJFLHFPA_02008","OMEBOICM_03485","EDHNKBAJ_00023","FKHFPJNE_00390","DCCGOOHM_00909","HIMMJIDH_00901"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"NNFNPJIH_00276","PDNNBANI_00384","JKCDLFCP_02858","KIGINCLF_02574","MLOHFGPA_02340","FENEHPHI_01472","MAFDEBPG_02419","GEFNPNKI_00715","PBAHMKCA_00360","BJFLHFPA_02011","OMEBOICM_03488","EDHNKBAJ_00020","FKHFPJNE_00387","DCCGOOHM_00912","HIMMJIDH_00904"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"NNFNPJIH_00274","PDNNBANI_00382","JKCDLFCP_02860","KIGINCLF_02572","MLOHFGPA_02342","FENEHPHI_01474","MAFDEBPG_02417","GEFNPNKI_00713","PBAHMKCA_00363","BJFLHFPA_02013","OMEBOICM_03490","EDHNKBAJ_00018","FKHFPJNE_00385","DCCGOOHM_00914","HIMMJIDH_00906"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"NNFNPJIH_00269","PDNNBANI_00377","JKCDLFCP_02865","KIGINCLF_02567","MLOHFGPA_02347","FENEHPHI_01479","MAFDEBPG_02412","GEFNPNKI_00708","PBAHMKCA_00368","BJFLHFPA_02018","OMEBOICM_03495","EDHNKBAJ_00013","FKHFPJNE_00380","DCCGOOHM_00919","HIMMJIDH_00911"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"NNFNPJIH_00231","PDNNBANI_00339","JKCDLFCP_04523","KIGINCLF_02529","MLOHFGPA_02385","FENEHPHI_01517","MAFDEBPG_02374","GEFNPNKI_00670","PBAHMKCA_00406","BJFLHFPA_04623","OMEBOICM_03533","EDHNKBAJ_04432","FKHFPJNE_00342","DCCGOOHM_00957","HIMMJIDH_00949"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"NNFNPJIH_00224","PDNNBANI_00332","JKCDLFCP_03840","KIGINCLF_01001","MLOHFGPA_02392","FENEHPHI_03940","MAFDEBPG_03868","GEFNPNKI_02544","PBAHMKCA_00413","BJFLHFPA_04069","OMEBOICM_01206","EDHNKBAJ_01975","FKHFPJNE_00335","DCCGOOHM_00964","HIMMJIDH_00956"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"NNFNPJIH_00214","PDNNBANI_00322","JKCDLFCP_03850","KIGINCLF_01011","MLOHFGPA_02402","FENEHPHI_03930","MAFDEBPG_03878","GEFNPNKI_02534","PBAHMKCA_00423","BJFLHFPA_04059","OMEBOICM_01196","EDHNKBAJ_01985","FKHFPJNE_00325","DCCGOOHM_00974","HIMMJIDH_00966"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"NNFNPJIH_00207","PDNNBANI_00315","JKCDLFCP_03857","KIGINCLF_01018","MLOHFGPA_02409","FENEHPHI_03923","MAFDEBPG_03885","GEFNPNKI_02527","PBAHMKCA_00430","BJFLHFPA_04052","OMEBOICM_01189","EDHNKBAJ_01992","FKHFPJNE_00318","DCCGOOHM_00981","HIMMJIDH_00973"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"NNFNPJIH_00199","PDNNBANI_00307","JKCDLFCP_03865","KIGINCLF_01026","MLOHFGPA_02417","FENEHPHI_03915","MAFDEBPG_03893","GEFNPNKI_02519","PBAHMKCA_00438","BJFLHFPA_04044","OMEBOICM_01181","EDHNKBAJ_02000","FKHFPJNE_00310","DCCGOOHM_00989","HIMMJIDH_00981"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"NNFNPJIH_00163","PDNNBANI_00271","JKCDLFCP_04343","KIGINCLF_01062","MLOHFGPA_03403","FENEHPHI_03879","MAFDEBPG_03929","GEFNPNKI_02483","PBAHMKCA_00474","BJFLHFPA_04009","OMEBOICM_01145","EDHNKBAJ_02036","FKHFPJNE_00274","DCCGOOHM_01025","HIMMJIDH_01017"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"NNFNPJIH_00133","PDNNBANI_00241","JKCDLFCP_00231","KIGINCLF_01093","MLOHFGPA_03373","FENEHPHI_03849","MAFDEBPG_01186","GEFNPNKI_02453","PBAHMKCA_00504","BJFLHFPA_00676","OMEBOICM_01115","EDHNKBAJ_02066","FKHFPJNE_00244","DCCGOOHM_01055","HIMMJIDH_01047"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"NNFNPJIH_00127","PDNNBANI_00235","JKCDLFCP_00225","KIGINCLF_01099","MLOHFGPA_03367","FENEHPHI_03843","MAFDEBPG_01180","GEFNPNKI_02447","PBAHMKCA_00510","BJFLHFPA_00682","OMEBOICM_01109","EDHNKBAJ_02072","FKHFPJNE_00238","DCCGOOHM_01061","HIMMJIDH_01053"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"NNFNPJIH_00126","PDNNBANI_00234","JKCDLFCP_00224","KIGINCLF_01100","MLOHFGPA_03366","FENEHPHI_03842","MAFDEBPG_01179","GEFNPNKI_02446","PBAHMKCA_00511","BJFLHFPA_00683","OMEBOICM_01108","EDHNKBAJ_02073","FKHFPJNE_00237","DCCGOOHM_01062","HIMMJIDH_01054"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"NNFNPJIH_00095","PDNNBANI_00203","JKCDLFCP_00194","KIGINCLF_01131","MLOHFGPA_01262","FENEHPHI_03479","MAFDEBPG_01149","GEFNPNKI_02415","PBAHMKCA_00542","BJFLHFPA_00713","OMEBOICM_01078","EDHNKBAJ_02104","FKHFPJNE_00206","DCCGOOHM_01093","HIMMJIDH_01085"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"NNFNPJIH_00093","PDNNBANI_00201","JKCDLFCP_00192","KIGINCLF_01133","MLOHFGPA_01260","FENEHPHI_03477","MAFDEBPG_01147","GEFNPNKI_02413","PBAHMKCA_00544","BJFLHFPA_00715","OMEBOICM_01076","EDHNKBAJ_02106","FKHFPJNE_00204","DCCGOOHM_01095","HIMMJIDH_01087"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"NNFNPJIH_00087","PDNNBANI_00195","JKCDLFCP_00186","KIGINCLF_01139","MLOHFGPA_01254","FENEHPHI_03471","MAFDEBPG_01141","GEFNPNKI_02407","PBAHMKCA_00550","BJFLHFPA_00721","OMEBOICM_01070","EDHNKBAJ_02112","FKHFPJNE_00198","DCCGOOHM_01101","HIMMJIDH_01093"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"NNFNPJIH_00080","PDNNBANI_00188","JKCDLFCP_00179","KIGINCLF_01146","MLOHFGPA_01247","FENEHPHI_03464","MAFDEBPG_01134","GEFNPNKI_02400","PBAHMKCA_00558","BJFLHFPA_00728","OMEBOICM_01063","EDHNKBAJ_02119","FKHFPJNE_00191","DCCGOOHM_01108","HIMMJIDH_01100"
