"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR9016861","SRR16506855","NDSU10","SRR1515953","SRR5000237","SRR14766407","SRR14766455","SRR10037239","SRR2911780","SRR23043682","SRR14766451","SRR5883589","SRR28412155","SRR14766423","SRR14272154"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"DPFOFGOO_00773","MMJAGEHG_01765","PGKCJFEA_00691","JICBPFCI_03715","GJOEKIMA_00652","FCNMCNAM_03095","BHJELCCI_00240","OOMIMPCI_00579","FENEHPHI_01280","NJDFJAED_01099","JKFJINKE_01305","IKEIDPHJ_00597","KODEOOAH_00168","ONBFLLJP_02587","HAANCNKA_00239"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"DPFOFGOO_00788","MMJAGEHG_01780","PGKCJFEA_00676","JICBPFCI_03700","GJOEKIMA_00637","FCNMCNAM_03110","BHJELCCI_00225","OOMIMPCI_00564","FENEHPHI_01295","NJDFJAED_01114","JKFJINKE_01290","IKEIDPHJ_00582","KODEOOAH_00183","ONBFLLJP_02572","HAANCNKA_00224"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"DPFOFGOO_00802","MMJAGEHG_01794","PGKCJFEA_00662","JICBPFCI_03686","GJOEKIMA_00623","FCNMCNAM_03124","BHJELCCI_00211","OOMIMPCI_00550","FENEHPHI_01309","NJDFJAED_01128","JKFJINKE_01276","IKEIDPHJ_00568","KODEOOAH_00197","ONBFLLJP_02558","HAANCNKA_00210"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"DPFOFGOO_00814","MMJAGEHG_01806","PGKCJFEA_00650","JICBPFCI_01015","GJOEKIMA_00611","FCNMCNAM_03136","BHJELCCI_00199","OOMIMPCI_00538","FENEHPHI_01321","NJDFJAED_01140","JKFJINKE_01264","IKEIDPHJ_00556","KODEOOAH_00209","ONBFLLJP_02546","HAANCNKA_00198"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"DPFOFGOO_00820","MMJAGEHG_01812","PGKCJFEA_00644","JICBPFCI_01021","GJOEKIMA_00605","FCNMCNAM_03142","BHJELCCI_00193","OOMIMPCI_00532","FENEHPHI_01327","NJDFJAED_01146","JKFJINKE_01258","IKEIDPHJ_00550","KODEOOAH_00215","ONBFLLJP_02540","HAANCNKA_00192"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"DPFOFGOO_00821","MMJAGEHG_01813","PGKCJFEA_00643","JICBPFCI_01022","GJOEKIMA_00604","FCNMCNAM_03143","BHJELCCI_00192","OOMIMPCI_00531","FENEHPHI_01328","NJDFJAED_01147","JKFJINKE_01257","IKEIDPHJ_00549","KODEOOAH_00216","ONBFLLJP_02539","HAANCNKA_00191"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"DPFOFGOO_00824","MMJAGEHG_01816","PGKCJFEA_00640","JICBPFCI_01025","GJOEKIMA_00601","FCNMCNAM_03146","BHJELCCI_00189","OOMIMPCI_00528","FENEHPHI_01331","NJDFJAED_01150","JKFJINKE_01254","IKEIDPHJ_00546","KODEOOAH_00219","ONBFLLJP_02536","HAANCNKA_00188"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"DPFOFGOO_00830","MMJAGEHG_01822","PGKCJFEA_00634","JICBPFCI_01031","GJOEKIMA_00595","FCNMCNAM_03152","BHJELCCI_00183","OOMIMPCI_00522","FENEHPHI_01337","NJDFJAED_01156","JKFJINKE_04164","IKEIDPHJ_00540","KODEOOAH_00225","ONBFLLJP_02530","HAANCNKA_00182"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"DPFOFGOO_00831","MMJAGEHG_01823","PGKCJFEA_00633","JICBPFCI_01032","GJOEKIMA_00594","FCNMCNAM_03153","BHJELCCI_00182","OOMIMPCI_00521","FENEHPHI_01338","NJDFJAED_01157","JKFJINKE_04165","IKEIDPHJ_00539","KODEOOAH_00226","ONBFLLJP_02529","HAANCNKA_00181"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"DPFOFGOO_00961","MMJAGEHG_01953","PGKCJFEA_03320","JICBPFCI_01161","GJOEKIMA_00464","FCNMCNAM_02063","BHJELCCI_00051","OOMIMPCI_00391","FENEHPHI_01468","NJDFJAED_01287","JKFJINKE_01703","IKEIDPHJ_00409","KODEOOAH_00354","ONBFLLJP_02399","HAANCNKA_00051"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"DPFOFGOO_00962","MMJAGEHG_01954","PGKCJFEA_03321","JICBPFCI_01162","GJOEKIMA_00463","FCNMCNAM_02064","BHJELCCI_00050","OOMIMPCI_00390","FENEHPHI_01469","NJDFJAED_01288","JKFJINKE_01704","IKEIDPHJ_00408","KODEOOAH_00355","ONBFLLJP_02398","HAANCNKA_00050"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"DPFOFGOO_00965","MMJAGEHG_01957","PGKCJFEA_03324","JICBPFCI_01165","GJOEKIMA_00460","FCNMCNAM_02067","BHJELCCI_00047","OOMIMPCI_00387","FENEHPHI_01472","NJDFJAED_01291","JKFJINKE_01707","IKEIDPHJ_00405","KODEOOAH_00358","ONBFLLJP_02395","HAANCNKA_00047"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"DPFOFGOO_00967","MMJAGEHG_01959","PGKCJFEA_03326","JICBPFCI_01167","GJOEKIMA_00458","FCNMCNAM_02069","BHJELCCI_00045","OOMIMPCI_00385","FENEHPHI_01474","NJDFJAED_01293","JKFJINKE_01709","IKEIDPHJ_00403","KODEOOAH_00360","ONBFLLJP_02393","HAANCNKA_00045"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"DPFOFGOO_00972","MMJAGEHG_01964","PGKCJFEA_03331","JICBPFCI_01172","GJOEKIMA_00453","FCNMCNAM_02074","BHJELCCI_00040","OOMIMPCI_00380","FENEHPHI_01479","NJDFJAED_01298","JKFJINKE_01714","IKEIDPHJ_00398","KODEOOAH_00365","ONBFLLJP_02388","HAANCNKA_00040"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"DPFOFGOO_01010","MMJAGEHG_02002","PGKCJFEA_03134","JICBPFCI_01210","GJOEKIMA_00415","FCNMCNAM_02112","BHJELCCI_00002","OOMIMPCI_00342","FENEHPHI_01517","NJDFJAED_01336","JKFJINKE_02703","IKEIDPHJ_00360","KODEOOAH_00403","ONBFLLJP_02350","HAANCNKA_00002"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"DPFOFGOO_01348","MMJAGEHG_03392","PGKCJFEA_03141","JICBPFCI_01994","GJOEKIMA_02304","FCNMCNAM_00724","BHJELCCI_00779","OOMIMPCI_00335","FENEHPHI_03940","NJDFJAED_03053","JKFJINKE_02696","IKEIDPHJ_02255","KODEOOAH_00410","ONBFLLJP_03298","HAANCNKA_03175"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"DPFOFGOO_01358","MMJAGEHG_03382","PGKCJFEA_03151","JICBPFCI_01984","GJOEKIMA_02294","FCNMCNAM_00734","BHJELCCI_00789","OOMIMPCI_00325","FENEHPHI_03930","NJDFJAED_03043","JKFJINKE_02686","IKEIDPHJ_02245","KODEOOAH_00420","ONBFLLJP_03308","HAANCNKA_03165"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"DPFOFGOO_01365","MMJAGEHG_03375","PGKCJFEA_03158","JICBPFCI_01977","GJOEKIMA_02287","FCNMCNAM_00741","BHJELCCI_00796","OOMIMPCI_00318","FENEHPHI_03923","NJDFJAED_03036","JKFJINKE_02679","IKEIDPHJ_02238","KODEOOAH_00427","ONBFLLJP_03315","HAANCNKA_03158"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"DPFOFGOO_01373","MMJAGEHG_03367","PGKCJFEA_04524","JICBPFCI_01969","GJOEKIMA_02279","FCNMCNAM_00749","BHJELCCI_00804","OOMIMPCI_00310","FENEHPHI_03915","NJDFJAED_03028","JKFJINKE_02671","IKEIDPHJ_02230","KODEOOAH_00435","ONBFLLJP_03323","HAANCNKA_03150"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"DPFOFGOO_01409","MMJAGEHG_03331","PGKCJFEA_02322","JICBPFCI_01933","GJOEKIMA_02243","FCNMCNAM_00785","BHJELCCI_00840","OOMIMPCI_00274","FENEHPHI_03879","NJDFJAED_02992","JKFJINKE_01834","IKEIDPHJ_02194","KODEOOAH_00471","ONBFLLJP_03359","HAANCNKA_03114"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"DPFOFGOO_01439","MMJAGEHG_03301","PGKCJFEA_02352","JICBPFCI_01903","GJOEKIMA_02213","FCNMCNAM_00815","BHJELCCI_00870","OOMIMPCI_00244","FENEHPHI_03849","NJDFJAED_02962","JKFJINKE_01864","IKEIDPHJ_02164","KODEOOAH_00501","ONBFLLJP_03389","HAANCNKA_03084"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"DPFOFGOO_01445","MMJAGEHG_03295","PGKCJFEA_02358","JICBPFCI_01897","GJOEKIMA_02207","FCNMCNAM_00821","BHJELCCI_00876","OOMIMPCI_00238","FENEHPHI_03843","NJDFJAED_02956","JKFJINKE_01870","IKEIDPHJ_02158","KODEOOAH_00507","ONBFLLJP_03395","HAANCNKA_03078"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"DPFOFGOO_01446","MMJAGEHG_03294","PGKCJFEA_02359","JICBPFCI_01896","GJOEKIMA_02206","FCNMCNAM_00822","BHJELCCI_00877","OOMIMPCI_00237","FENEHPHI_03842","NJDFJAED_02955","JKFJINKE_01871","IKEIDPHJ_02157","KODEOOAH_00508","ONBFLLJP_03396","HAANCNKA_03077"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"DPFOFGOO_01476","MMJAGEHG_03263","PGKCJFEA_02390","JICBPFCI_01865","GJOEKIMA_02175","FCNMCNAM_00853","BHJELCCI_00908","OOMIMPCI_00206","FENEHPHI_03479","NJDFJAED_02924","JKFJINKE_01096","IKEIDPHJ_02127","KODEOOAH_00539","ONBFLLJP_03427","HAANCNKA_03046"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"DPFOFGOO_01478","MMJAGEHG_03261","PGKCJFEA_02392","JICBPFCI_01863","GJOEKIMA_02173","FCNMCNAM_00855","BHJELCCI_00910","OOMIMPCI_00204","FENEHPHI_03477","NJDFJAED_02922","JKFJINKE_01098","IKEIDPHJ_02125","KODEOOAH_00541","ONBFLLJP_03429","HAANCNKA_03044"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"DPFOFGOO_01484","MMJAGEHG_03255","PGKCJFEA_02398","JICBPFCI_01857","GJOEKIMA_02167","FCNMCNAM_00861","BHJELCCI_00916","OOMIMPCI_00198","FENEHPHI_03471","NJDFJAED_02916","JKFJINKE_01104","IKEIDPHJ_02119","KODEOOAH_00547","ONBFLLJP_03435","HAANCNKA_03038"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"DPFOFGOO_01491","MMJAGEHG_03248","PGKCJFEA_02405","JICBPFCI_01850","GJOEKIMA_02160","FCNMCNAM_00868","BHJELCCI_00923","OOMIMPCI_00191","FENEHPHI_03464","NJDFJAED_02909","JKFJINKE_01111","IKEIDPHJ_02112","KODEOOAH_00554","ONBFLLJP_03442","HAANCNKA_03031"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"DPFOFGOO_01495","MMJAGEHG_03244","PGKCJFEA_02409","JICBPFCI_01846","GJOEKIMA_02156","FCNMCNAM_00872","BHJELCCI_00927","OOMIMPCI_00187","FENEHPHI_03460","NJDFJAED_02905","JKFJINKE_01115","IKEIDPHJ_02108","KODEOOAH_00558","ONBFLLJP_03446","HAANCNKA_03027"
