"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323381","SRR8280066","SRR14766395","SRR14766367","NDSU17","SRR14766454","SRR14766374","SRR11101171","SRR7011986","SRR5000227","SRR27714918","SRR5000221","SRR2096623","SRR2994394","NDSU13"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"AAOAKINP_04480","FLNDLMAF_04397","HEGDAGBG_04552","OOJFKJFD_04403","OMAFMDHC_04400","DHLDAANJ_02910","OGNHHAPP_04407","EPILMDOP_04232","OJOAJMDO_04256","FKHFPJNE_04370","JDGPEFCB_04479","EKBIAHBP_04463","GEOHAANM_04363","NNGIMOCL_04463","GBFFMACB_03624"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"AAOAKINP_04483","FLNDLMAF_04400","HEGDAGBG_04549","OOJFKJFD_04406","OMAFMDHC_04403","DHLDAANJ_02907","OGNHHAPP_04404","EPILMDOP_04235","OJOAJMDO_04253","FKHFPJNE_04373","JDGPEFCB_04482","EKBIAHBP_04466","GEOHAANM_04360","NNGIMOCL_04460","GBFFMACB_03627"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"AAOAKINP_04504","FLNDLMAF_04421","HEGDAGBG_04528","OOJFKJFD_04427","OMAFMDHC_04424","DHLDAANJ_02886","OGNHHAPP_04383","EPILMDOP_04256","OJOAJMDO_04232","FKHFPJNE_04394","JDGPEFCB_04503","EKBIAHBP_04487","GEOHAANM_04339","NNGIMOCL_04439","GBFFMACB_03648"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"AAOAKINP_04546","FLNDLMAF_04462","HEGDAGBG_04487","OOJFKJFD_04469","OMAFMDHC_04465","DHLDAANJ_03017","OGNHHAPP_04434","EPILMDOP_02557","OJOAJMDO_04101","FKHFPJNE_04436","JDGPEFCB_04544","EKBIAHBP_04528","GEOHAANM_04241","NNGIMOCL_03712","GBFFMACB_03687"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"AAOAKINP_04575","FLNDLMAF_04617","HEGDAGBG_04610","OOJFKJFD_04571","OMAFMDHC_04557","DHLDAANJ_04187","OGNHHAPP_04464","EPILMDOP_04554","OJOAJMDO_04564","FKHFPJNE_04465","JDGPEFCB_04596","EKBIAHBP_04580","GEOHAANM_04546","NNGIMOCL_04531","GBFFMACB_04138"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"AAOAKINP_00815","FLNDLMAF_03809","HEGDAGBG_02457","OOJFKJFD_00559","OMAFMDHC_00073","DHLDAANJ_00462","OGNHHAPP_01970","EPILMDOP_03160","OJOAJMDO_00637","FKHFPJNE_03938","JDGPEFCB_00073","EKBIAHBP_01328","GEOHAANM_00073","NNGIMOCL_00595","GBFFMACB_00659"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"AAOAKINP_02331","FLNDLMAF_02965","HEGDAGBG_00008","OOJFKJFD_02576","OMAFMDHC_01594","DHLDAANJ_04239","OGNHHAPP_00008","EPILMDOP_03971","OJOAJMDO_04514","FKHFPJNE_01668","JDGPEFCB_01589","EKBIAHBP_01894","GEOHAANM_03940","NNGIMOCL_02682","GBFFMACB_03336"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"AAOAKINP_00918","FLNDLMAF_00004","HEGDAGBG_02560","OOJFKJFD_00662","OMAFMDHC_00176","DHLDAANJ_03929","OGNHHAPP_02073","EPILMDOP_04159","OJOAJMDO_00534","FKHFPJNE_03835","JDGPEFCB_00176","EKBIAHBP_01225","GEOHAANM_00176","NNGIMOCL_00492","GBFFMACB_00556"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"AAOAKINP_00696","FLNDLMAF_00956","HEGDAGBG_01218","OOJFKJFD_03308","OMAFMDHC_02372","DHLDAANJ_02623","OGNHHAPP_00491","EPILMDOP_03851","OJOAJMDO_00030","FKHFPJNE_00700","JDGPEFCB_01958","EKBIAHBP_00047","GEOHAANM_03852","NNGIMOCL_03487","GBFFMACB_01550"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"AAOAKINP_00692","FLNDLMAF_00960","HEGDAGBG_01214","OOJFKJFD_03312","OMAFMDHC_02376","DHLDAANJ_02619","OGNHHAPP_00495","EPILMDOP_03855","OJOAJMDO_00034","FKHFPJNE_00696","JDGPEFCB_01954","EKBIAHBP_00051","GEOHAANM_03856","NNGIMOCL_03491","GBFFMACB_01546"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"AAOAKINP_00689","FLNDLMAF_00963","HEGDAGBG_01211","OOJFKJFD_03315","OMAFMDHC_02379","DHLDAANJ_02616","OGNHHAPP_00498","EPILMDOP_03858","OJOAJMDO_00037","FKHFPJNE_00693","JDGPEFCB_01951","EKBIAHBP_00054","GEOHAANM_03859","NNGIMOCL_03494","GBFFMACB_01543"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"AAOAKINP_00688","FLNDLMAF_00964","HEGDAGBG_01210","OOJFKJFD_03316","OMAFMDHC_02380","DHLDAANJ_02615","OGNHHAPP_00499","EPILMDOP_03859","OJOAJMDO_00038","FKHFPJNE_00692","JDGPEFCB_01950","EKBIAHBP_00055","GEOHAANM_03860","NNGIMOCL_03495","GBFFMACB_01542"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"AAOAKINP_00663","FLNDLMAF_00989","HEGDAGBG_01185","OOJFKJFD_03341","OMAFMDHC_02405","DHLDAANJ_02590","OGNHHAPP_00524","EPILMDOP_03884","OJOAJMDO_00063","FKHFPJNE_00667","JDGPEFCB_01925","EKBIAHBP_00080","GEOHAANM_03885","NNGIMOCL_03520","GBFFMACB_01517"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"AAOAKINP_00662","FLNDLMAF_00990","HEGDAGBG_01184","OOJFKJFD_03342","OMAFMDHC_02406","DHLDAANJ_02589","OGNHHAPP_00525","EPILMDOP_03885","OJOAJMDO_00064","FKHFPJNE_00666","JDGPEFCB_01924","EKBIAHBP_00081","GEOHAANM_03886","NNGIMOCL_03521","GBFFMACB_01516"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"AAOAKINP_00661","FLNDLMAF_00991","HEGDAGBG_01183","OOJFKJFD_03343","OMAFMDHC_02407","DHLDAANJ_02588","OGNHHAPP_00526","EPILMDOP_03886","OJOAJMDO_00065","FKHFPJNE_00665","JDGPEFCB_01923","EKBIAHBP_00082","GEOHAANM_03887","NNGIMOCL_03522","GBFFMACB_01515"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"AAOAKINP_00646","FLNDLMAF_01006","HEGDAGBG_01168","OOJFKJFD_03358","OMAFMDHC_02422","DHLDAANJ_03793","OGNHHAPP_00541","EPILMDOP_01862","OJOAJMDO_00080","FKHFPJNE_00650","JDGPEFCB_01908","EKBIAHBP_00097","GEOHAANM_02585","NNGIMOCL_03537","GBFFMACB_01500"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"AAOAKINP_00636","FLNDLMAF_01016","HEGDAGBG_01158","OOJFKJFD_03368","OMAFMDHC_02432","DHLDAANJ_03783","OGNHHAPP_00551","EPILMDOP_01852","OJOAJMDO_00090","FKHFPJNE_00640","JDGPEFCB_01898","EKBIAHBP_00107","GEOHAANM_02595","NNGIMOCL_03547","GBFFMACB_01490"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"AAOAKINP_00634","FLNDLMAF_01018","HEGDAGBG_01156","OOJFKJFD_03370","OMAFMDHC_02434","DHLDAANJ_03781","OGNHHAPP_00553","EPILMDOP_01850","OJOAJMDO_00092","FKHFPJNE_00638","JDGPEFCB_01896","EKBIAHBP_00109","GEOHAANM_02597","NNGIMOCL_03549","GBFFMACB_01488"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"AAOAKINP_00609","FLNDLMAF_01042","HEGDAGBG_01131","OOJFKJFD_03395","OMAFMDHC_02459","DHLDAANJ_01338","OGNHHAPP_00578","EPILMDOP_01825","OJOAJMDO_00117","FKHFPJNE_00613","JDGPEFCB_01871","EKBIAHBP_00134","GEOHAANM_02622","NNGIMOCL_04638","GBFFMACB_01463"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"AAOAKINP_00605","FLNDLMAF_01046","HEGDAGBG_01127","OOJFKJFD_03399","OMAFMDHC_02463","DHLDAANJ_01334","OGNHHAPP_00582","EPILMDOP_01821","OJOAJMDO_00121","FKHFPJNE_00609","JDGPEFCB_01867","EKBIAHBP_00138","GEOHAANM_02626","NNGIMOCL_04642","GBFFMACB_01459"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"AAOAKINP_00595","FLNDLMAF_01056","HEGDAGBG_01117","OOJFKJFD_03409","OMAFMDHC_02473","DHLDAANJ_01324","OGNHHAPP_00592","EPILMDOP_01811","OJOAJMDO_00131","FKHFPJNE_00599","JDGPEFCB_01857","EKBIAHBP_00148","GEOHAANM_02636","NNGIMOCL_02190","GBFFMACB_01449"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"AAOAKINP_00594","FLNDLMAF_01057","HEGDAGBG_01116","OOJFKJFD_03410","OMAFMDHC_02474","DHLDAANJ_01323","OGNHHAPP_00593","EPILMDOP_01810","OJOAJMDO_00132","FKHFPJNE_00598","JDGPEFCB_01856","EKBIAHBP_00149","GEOHAANM_02637","NNGIMOCL_02191","GBFFMACB_01448"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"AAOAKINP_00575","FLNDLMAF_01076","HEGDAGBG_01097","OOJFKJFD_03429","OMAFMDHC_02493","DHLDAANJ_01304","OGNHHAPP_00612","EPILMDOP_01791","OJOAJMDO_00151","FKHFPJNE_00579","JDGPEFCB_01837","EKBIAHBP_00168","GEOHAANM_02656","NNGIMOCL_02210","GBFFMACB_01429"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"AAOAKINP_00560","FLNDLMAF_01091","HEGDAGBG_01082","OOJFKJFD_03444","OMAFMDHC_02508","DHLDAANJ_01289","OGNHHAPP_00627","EPILMDOP_01776","OJOAJMDO_00166","FKHFPJNE_00564","JDGPEFCB_01822","EKBIAHBP_00183","GEOHAANM_02671","NNGIMOCL_02225","GBFFMACB_01414"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"AAOAKINP_00546","FLNDLMAF_01105","HEGDAGBG_01068","OOJFKJFD_03458","OMAFMDHC_02522","DHLDAANJ_01275","OGNHHAPP_00641","EPILMDOP_01762","OJOAJMDO_00180","FKHFPJNE_00550","JDGPEFCB_01808","EKBIAHBP_00197","GEOHAANM_02685","NNGIMOCL_02239","GBFFMACB_01400"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"AAOAKINP_00534","FLNDLMAF_01117","HEGDAGBG_01056","OOJFKJFD_03470","OMAFMDHC_02534","DHLDAANJ_03591","OGNHHAPP_00653","EPILMDOP_01750","OJOAJMDO_00192","FKHFPJNE_00538","JDGPEFCB_01796","EKBIAHBP_00209","GEOHAANM_02697","NNGIMOCL_02251","GBFFMACB_01388"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"AAOAKINP_00528","FLNDLMAF_01123","HEGDAGBG_01050","OOJFKJFD_03664","OMAFMDHC_02540","DHLDAANJ_03585","OGNHHAPP_00659","EPILMDOP_01744","OJOAJMDO_00198","FKHFPJNE_00532","JDGPEFCB_01790","EKBIAHBP_00215","GEOHAANM_02703","NNGIMOCL_02257","GBFFMACB_01382"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"AAOAKINP_00527","FLNDLMAF_01124","HEGDAGBG_01049","OOJFKJFD_03663","OMAFMDHC_02541","DHLDAANJ_03584","OGNHHAPP_00660","EPILMDOP_01743","OJOAJMDO_00199","FKHFPJNE_00531","JDGPEFCB_01789","EKBIAHBP_00216","GEOHAANM_02704","NNGIMOCL_02258","GBFFMACB_00732"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"AAOAKINP_00524","FLNDLMAF_01127","HEGDAGBG_01046","OOJFKJFD_03660","OMAFMDHC_02544","DHLDAANJ_03581","OGNHHAPP_00663","EPILMDOP_01740","OJOAJMDO_00202","FKHFPJNE_00528","JDGPEFCB_01786","EKBIAHBP_00219","GEOHAANM_02707","NNGIMOCL_02261","GBFFMACB_00735"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"AAOAKINP_00518","FLNDLMAF_01133","HEGDAGBG_01040","OOJFKJFD_03654","OMAFMDHC_02550","DHLDAANJ_03575","OGNHHAPP_00669","EPILMDOP_01734","OJOAJMDO_00208","FKHFPJNE_00522","JDGPEFCB_01780","EKBIAHBP_00225","GEOHAANM_02713","NNGIMOCL_02267","GBFFMACB_00741"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"AAOAKINP_00517","FLNDLMAF_01134","HEGDAGBG_01039","OOJFKJFD_03653","OMAFMDHC_02551","DHLDAANJ_03574","OGNHHAPP_00670","EPILMDOP_01733","OJOAJMDO_00209","FKHFPJNE_00521","JDGPEFCB_01779","EKBIAHBP_00226","GEOHAANM_02714","NNGIMOCL_02268","GBFFMACB_00742"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"AAOAKINP_00387","FLNDLMAF_01265","HEGDAGBG_00909","OOJFKJFD_03523","OMAFMDHC_02678","DHLDAANJ_01474","OGNHHAPP_00800","EPILMDOP_03380","OJOAJMDO_00339","FKHFPJNE_00391","JDGPEFCB_01650","EKBIAHBP_00356","GEOHAANM_02313","NNGIMOCL_02398","GBFFMACB_00872"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"AAOAKINP_00386","FLNDLMAF_01266","HEGDAGBG_00908","OOJFKJFD_03522","OMAFMDHC_02679","DHLDAANJ_01473","OGNHHAPP_00801","EPILMDOP_03381","OJOAJMDO_00340","FKHFPJNE_00390","JDGPEFCB_01649","EKBIAHBP_00357","GEOHAANM_02312","NNGIMOCL_02399","GBFFMACB_00873"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"AAOAKINP_00383","FLNDLMAF_01269","HEGDAGBG_00905","OOJFKJFD_03519","OMAFMDHC_02682","DHLDAANJ_01470","OGNHHAPP_00804","EPILMDOP_03384","OJOAJMDO_00343","FKHFPJNE_00387","JDGPEFCB_01646","EKBIAHBP_00360","GEOHAANM_02309","NNGIMOCL_02402","GBFFMACB_00876"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"AAOAKINP_00381","FLNDLMAF_01271","HEGDAGBG_00903","OOJFKJFD_03517","OMAFMDHC_02684","DHLDAANJ_01468","OGNHHAPP_00806","EPILMDOP_03386","OJOAJMDO_00345","FKHFPJNE_00385","JDGPEFCB_01644","EKBIAHBP_00362","GEOHAANM_02307","NNGIMOCL_02404","GBFFMACB_00878"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"AAOAKINP_00376","FLNDLMAF_01276","HEGDAGBG_00898","OOJFKJFD_03512","OMAFMDHC_02689","DHLDAANJ_01463","OGNHHAPP_00811","EPILMDOP_03391","OJOAJMDO_00350","FKHFPJNE_00380","JDGPEFCB_01639","EKBIAHBP_00367","GEOHAANM_02302","NNGIMOCL_02409","GBFFMACB_00883"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"AAOAKINP_00338","FLNDLMAF_01314","HEGDAGBG_00860","OOJFKJFD_03474","OMAFMDHC_02727","DHLDAANJ_04338","OGNHHAPP_00849","EPILMDOP_03429","OJOAJMDO_00388","FKHFPJNE_00342","JDGPEFCB_01598","EKBIAHBP_00405","GEOHAANM_02264","NNGIMOCL_02447","GBFFMACB_00921"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"AAOAKINP_00331","FLNDLMAF_02361","HEGDAGBG_03027","OOJFKJFD_02306","OMAFMDHC_02734","DHLDAANJ_00396","OGNHHAPP_01562","EPILMDOP_00006","OJOAJMDO_01937","FKHFPJNE_00335","JDGPEFCB_03391","EKBIAHBP_00412","GEOHAANM_02067","NNGIMOCL_01003","GBFFMACB_00928"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"AAOAKINP_00321","FLNDLMAF_02371","HEGDAGBG_03017","OOJFKJFD_02296","OMAFMDHC_02744","DHLDAANJ_00386","OGNHHAPP_01572","EPILMDOP_00016","OJOAJMDO_01927","FKHFPJNE_00325","JDGPEFCB_03381","EKBIAHBP_00422","GEOHAANM_02057","NNGIMOCL_01013","GBFFMACB_00938"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"AAOAKINP_00314","FLNDLMAF_02378","HEGDAGBG_03010","OOJFKJFD_02289","OMAFMDHC_02751","DHLDAANJ_00379","OGNHHAPP_01579","EPILMDOP_00023","OJOAJMDO_01920","FKHFPJNE_00318","JDGPEFCB_03374","EKBIAHBP_00429","GEOHAANM_02050","NNGIMOCL_01020","GBFFMACB_00945"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"AAOAKINP_00306","FLNDLMAF_02386","HEGDAGBG_03002","OOJFKJFD_02281","OMAFMDHC_02759","DHLDAANJ_00371","OGNHHAPP_01587","EPILMDOP_00031","OJOAJMDO_01912","FKHFPJNE_00310","JDGPEFCB_03366","EKBIAHBP_00437","GEOHAANM_02042","NNGIMOCL_01028","GBFFMACB_00953"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"AAOAKINP_00270","FLNDLMAF_02422","HEGDAGBG_02966","OOJFKJFD_02245","OMAFMDHC_02795","DHLDAANJ_00335","OGNHHAPP_01623","EPILMDOP_00067","OJOAJMDO_01876","FKHFPJNE_00274","JDGPEFCB_03330","EKBIAHBP_00473","GEOHAANM_02006","NNGIMOCL_01064","GBFFMACB_04780"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"AAOAKINP_00240","FLNDLMAF_02452","HEGDAGBG_02936","OOJFKJFD_02215","OMAFMDHC_02825","DHLDAANJ_00305","OGNHHAPP_01653","EPILMDOP_00097","OJOAJMDO_01846","FKHFPJNE_00244","JDGPEFCB_03300","EKBIAHBP_00503","GEOHAANM_01976","NNGIMOCL_01094","GBFFMACB_02799"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"AAOAKINP_00234","FLNDLMAF_02458","HEGDAGBG_02930","OOJFKJFD_02209","OMAFMDHC_02831","DHLDAANJ_00299","OGNHHAPP_01659","EPILMDOP_00103","OJOAJMDO_01840","FKHFPJNE_00238","JDGPEFCB_03294","EKBIAHBP_00509","GEOHAANM_01970","NNGIMOCL_01100","GBFFMACB_02793"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"AAOAKINP_00233","FLNDLMAF_02459","HEGDAGBG_02929","OOJFKJFD_02208","OMAFMDHC_02832","DHLDAANJ_00298","OGNHHAPP_01660","EPILMDOP_00104","OJOAJMDO_01839","FKHFPJNE_00237","JDGPEFCB_03293","EKBIAHBP_00510","GEOHAANM_01969","NNGIMOCL_01101","GBFFMACB_02792"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"AAOAKINP_00202","FLNDLMAF_02490","HEGDAGBG_02898","OOJFKJFD_02177","OMAFMDHC_02863","DHLDAANJ_00268","OGNHHAPP_01691","EPILMDOP_00135","OJOAJMDO_01807","FKHFPJNE_00206","JDGPEFCB_03262","EKBIAHBP_00541","GEOHAANM_01938","NNGIMOCL_01132","GBFFMACB_02761"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"AAOAKINP_00200","FLNDLMAF_02492","HEGDAGBG_02896","OOJFKJFD_02175","OMAFMDHC_02865","DHLDAANJ_00266","OGNHHAPP_01693","EPILMDOP_00137","OJOAJMDO_01805","FKHFPJNE_00204","JDGPEFCB_03260","EKBIAHBP_00543","GEOHAANM_01936","NNGIMOCL_01134","GBFFMACB_02759"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"AAOAKINP_00194","FLNDLMAF_02498","HEGDAGBG_02890","OOJFKJFD_02169","OMAFMDHC_02871","DHLDAANJ_00260","OGNHHAPP_01699","EPILMDOP_00143","OJOAJMDO_01799","FKHFPJNE_00198","JDGPEFCB_03254","EKBIAHBP_00549","GEOHAANM_01930","NNGIMOCL_01140","GBFFMACB_02753"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"AAOAKINP_00187","FLNDLMAF_02505","HEGDAGBG_02883","OOJFKJFD_02162","OMAFMDHC_02878","DHLDAANJ_00253","OGNHHAPP_01706","EPILMDOP_00150","OJOAJMDO_01792","FKHFPJNE_00191","JDGPEFCB_03247","EKBIAHBP_00556","GEOHAANM_01923","NNGIMOCL_01147","GBFFMACB_02746"
