"sra_accession"	"location"	"HHS_region"	"date"	"agency_submitter"	"clin_env"	"sample_type_std"	"host_assoc"	"bioproject"	"biosample"	"year_uploaded"	"ST"	"source"
"23"	"NDSU29"	"USA:MN"	"5"	2022	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA1181261"	"SAMN44551971"	2024	"10"	"bovclin"
"24"	"NDSU30"	"USA:MN"	"5"	2022	"PENN STATE UNIVERSTIY"	"clinical/host-associated"	"Intestine"	"bovine"	"PRJNA1181261"	"SAMN44551972"	2024	"10"	"bovclin"
"11001"	"SRR10001202"	"USA"	"9"	2019	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN12604811"	2019	"10"	"humall"
"2127"	"SRR10013295"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12621398"	2019	"10"	"bovenv"
"3101"	"SRR10013299"	"USA:WI"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12621397"	2019	"10"	"bovenv"
"4101"	"SRR10018785"	"USA"	"10"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN12629481"	2019	"10"	"humall"
"5101"	"SRR10027107"	"USA:WI"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12621396"	2019	"10"	"bovenv"
"612"	"SRR10027407"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12628432"	2019	"10"	"bovenv"
"712"	"SRR10027552"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12628431"	2019	"10"	"bovenv"
"8101"	"SRR10027554"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12628433"	2019	"10"	"bovenv"
"9101"	"SRR10028757"	"USA:CO"	"8"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12620781"	2019	"10"	"bovenv"
"10101"	"SRR10031119"	"USA"	"6"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN12648048"	2019	"10"	"humall"
"11101"	"SRR10032843"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12649008"	2019	"10"	"bovenv"
"12101"	"SRR10037224"	"USA:IN"	"5"	2018	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA316452"	"SAMN12660029"	2019	"10"	"bovclin"
"13101"	"SRR10037225"	"USA:IN"	"5"	2018	"CFSAN"	"clinical/host-associated"	"Tissue Pool"	"bovine"	"PRJNA316452"	"SAMN12660042"	2019	"10"	"bovclin"
"14101"	"SRR10037239"	"USA:NV"	"9"	2018	"CFSAN"	"clinical/host-associated"	"Feces"	"bovine"	"PRJNA316452"	"SAMN12660028"	2019	"10"	"bovclin"
"15101"	"SRR10037243"	"USA:WA"	"10"	2018	"CFSAN"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA316452"	"SAMN12660061"	2019	"10"	"bovclin"
"16101"	"SRR10037353"	"USA"	"8"	2019	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN12660111"	2019	"10"	"humall"
"17101"	"SRR10049737"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12662372"	2019	"10"	"bovenv"
"18101"	"SRR10060559"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12684570"	2019	"10"	"bovenv"
"19101"	"SRR10063213"	"USA"	"6"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN12687026"	2019	"10"	"humall"
"20101"	"SRR10068688"	"USA"	"10"	2019	"PULSENET"	"clinical/host-associated"	"Feces"	"human"	"PRJNA230403"	"SAMN12695916"	2019	"10"	"humall"
"2128"	"SRR10084388"	"USA"	"2"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN12714956"	2019	"10"	"humall"
"2211"	"SRR10084895"	"USA:OH"	"5"	2019	"CFSAN"	"clinical/host-associated"	"Lymph Node"	"bovine"	"PRJNA338674"	"SAMN12715322"	2019	"10"	"bovclin"
"2311"	"SRR10096074"	"USA:WA"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12723859"	2019	"10"	"bovenv"
"2411"	"SRR10113612"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12741518"	2019	"10"	"bovenv"
"25"	"SRR10115349"	"USA"	"8"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN12743442"	2019	"10"	"humall"
"26"	"SRR10126592"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12768431"	2019	"10"	"bovenv"
"27"	"SRR10126593"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12768433"	2019	"10"	"bovenv"
"28"	"SRR10126605"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12768432"	2019	"10"	"bovenv"
"29"	"SRR10126612"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12768434"	2019	"10"	"bovenv"
"30"	"SRR10126613"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12768435"	2019	"10"	"bovenv"
"31"	"SRR10126617"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12768430"	2019	"10"	"bovenv"
"32"	"SRR10138335"	"USA"	"7"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN12783346"	2019	"10"	"humall"
"33"	"SRR10153950"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12797754"	2019	"10"	"bovenv"
"34"	"SRR10155170"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798162"	2019	"10"	"bovenv"
"35"	"SRR10155174"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798160"	2019	"10"	"bovenv"
"36"	"SRR10155176"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798163"	2019	"10"	"bovenv"
"37"	"SRR10155179"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798164"	2019	"10"	"bovenv"
"38"	"SRR10155181"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798161"	2019	"10"	"bovenv"
"39"	"SRR10155182"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798165"	2019	"10"	"bovenv"
"40"	"SRR10155184"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12798166"	2019	"10"	"bovenv"
"41"	"SRR10164593"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Not Specified"	"bovine"	"PRJNA292666"	"SAMN12821642"	2019	"10"	"bovenv"
"42"	"SRR10165306"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12821529"	2019	"10"	"bovenv"
"43"	"SRR10165308"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12821527"	2019	"10"	"bovenv"
"44"	"SRR10165309"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12821528"	2019	"10"	"bovenv"
"45"	"SRR10165346"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12821530"	2019	"10"	"bovenv"
"46"	"SRR10166181"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12822608"	2019	"10"	"bovenv"
"47"	"SRR10176078"	"USA"	"8"	2019	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN12833195"	2019	"10"	"humall"
"48"	"SRR10186809"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12851096"	2019	"10"	"bovenv"
"49"	"SRR10218548"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12898073"	2019	"10"	"bovenv"
"50"	"SRR10222526"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901208"	2019	"10"	"bovenv"
"51"	"SRR10222529"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901210"	2019	"10"	"bovenv"
"52"	"SRR10222530"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901209"	2019	"10"	"bovenv"
"53"	"SRR10222567"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901218"	2019	"10"	"bovenv"
"54"	"SRR10222602"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901207"	2019	"10"	"bovenv"
"55"	"SRR10222641"	"USA:NE"	"7"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901250"	2019	"10"	"bovenv"
"56"	"SRR10222642"	"USA:NE"	"7"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12901249"	2019	"10"	"bovenv"
"57"	"SRR10240819"	"USA:NY"	"2"	2019	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA481328"	"SAMN12987033"	2019	"10"	"bovclin"
"58"	"SRR10246259"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN12993543"	2019	"10"	"bovenv"
"59"	"SRR10254989"	"USA"	"9"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13005719"	2019	"10"	"humall"
"60"	"SRR10257879"	"USA:OH"	"5"	2019	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA316457"	"SAMN13012274"	2019	"10"	"bovclin"
"61"	"SRR10258286"	"USA:MN"	"5"	2019	"CFSAN"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA316457"	"SAMN13012713"	2019	"10"	"bovclin"
"62"	"SRR10258289"	"USA:MI"	"5"	2019	"CFSAN"	"clinical/host-associated"	"Liver"	"bovine"	"PRJNA316457"	"SAMN13012699"	2019	"10"	"bovclin"
"63"	"SRR10258362"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13003067"	2019	"10"	"bovenv"
"64"	"SRR10269621"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019846"	2019	"10"	"bovenv"
"65"	"SRR10269622"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019847"	2019	"10"	"bovenv"
"66"	"SRR10269628"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019848"	2019	"10"	"bovenv"
"67"	"SRR10269630"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019850"	2019	"10"	"bovenv"
"68"	"SRR10269631"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019851"	2019	"10"	"bovenv"
"69"	"SRR10269633"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019845"	2019	"10"	"bovenv"
"70"	"SRR10269634"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019852"	2019	"10"	"bovenv"
"71"	"SRR10269673"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13019849"	2019	"10"	"bovenv"
"72"	"SRR10286960"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13034549"	2019	"10"	"bovenv"
"73"	"SRR10287053"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13034469"	2019	"10"	"bovenv"
"74"	"SRR10287065"	"USA:CA"	"9"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13034470"	2019	"10"	"bovenv"
"75"	"SRR10287713"	"USA"	"9"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13036866"	2019	"10"	"humall"
"76"	"SRR10298208"	"USA:NY"	"2"	2019	"CFSAN"	"clinical/host-associated"	"Lung"	"bovine"	"PRJNA481328"	"SAMN13047694"	2019	"10"	"bovclin"
"77"	"SRR1030845"	"USA:TX"	"6"	2011	"CFSAN"	"env/food/other"	"Beef"	"bovine"	"PRJNA183847"	"SAMN02314158"	2013	"10"	"bovenv"
"78"	"SRR10325385"	"USA"	"6"	2019	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN13087158"	2019	"10"	"humall"
"79"	"SRR10335944"	"USA:CA"	"9"	2019	"PULSENET"	"env/food/other"	"Not Specified"	"bovine"	"PRJNA230403"	"SAMN13092643"	2019	"10"	"bovenv"
"80"	"SRR10341301"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13108199"	2019	"10"	"bovenv"
"81"	"SRR10343288"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111048"	2019	"10"	"bovenv"
"82"	"SRR10343295"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111045"	2019	"10"	"bovenv"
"83"	"SRR10343296"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111042"	2019	"10"	"bovenv"
"84"	"SRR10343297"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111043"	2019	"10"	"bovenv"
"85"	"SRR10343298"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111044"	2019	"10"	"bovenv"
"86"	"SRR10343299"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111046"	2019	"10"	"bovenv"
"87"	"SRR10343300"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111047"	2019	"10"	"bovenv"
"88"	"SRR10343301"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111041"	2019	"10"	"bovenv"
"89"	"SRR10343302"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111049"	2019	"10"	"bovenv"
"90"	"SRR10343303"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111051"	2019	"10"	"bovenv"
"91"	"SRR10343304"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111052"	2019	"10"	"bovenv"
"92"	"SRR10343305"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13111050"	2019	"10"	"bovenv"
"93"	"SRR10349484"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13116991"	2019	"10"	"bovenv"
"94"	"SRR10349492"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13116993"	2019	"10"	"bovenv"
"95"	"SRR10349504"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13116992"	2019	"10"	"bovenv"
"96"	"SRR10349510"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13116994"	2019	"10"	"bovenv"
"97"	"SRR10356381"	"USA"	"5"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13148849"	2019	"10"	"humall"
"98"	"SRR10356966"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13148789"	2019	"10"	"bovenv"
"99"	"SRR10360903"	"USA:WI"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13153813"	2019	"10"	"bovenv"
"100"	"SRR10363909"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13157223"	2019	"10"	"bovenv"
"101"	"SRR10363935"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13157220"	2019	"10"	"bovenv"
"102"	"SRR10363936"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13157224"	2019	"10"	"bovenv"
"103"	"SRR10363937"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13157221"	2019	"10"	"bovenv"
"104"	"SRR10363939"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13157222"	2019	"10"	"bovenv"
"105"	"SRR10363981"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13157225"	2019	"10"	"bovenv"
"106"	"SRR10395059"	"USA"	"5"	2019	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN13197519"	2019	"10"	"humall"
"107"	"SRR10425329"	"USA"	"10"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13255372"	2019	"10"	"humall"
"108"	"SRR10429896"	"USA"	"5"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13264088"	2019	"10"	"humall"
"109"	"SRR10435105"	"USA:MT"	"8"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13265209"	2019	"10"	"bovenv"
"110"	"SRR10442241"	"USA"	"6"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13284218"	2019	"10"	"humall"
"111"	"SRR10445513"	"USA"	"8"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13288037"	2019	"10"	"humall"
"112"	"SRR10447378"	"USA:TX"	"6"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13287165"	2019	"10"	"bovenv"
"113"	"SRR10465575"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292704"	2019	"10"	"bovenv"
"114"	"SRR10465580"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292705"	2019	"10"	"bovenv"
"115"	"SRR10465592"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292702"	2019	"10"	"bovenv"
"116"	"SRR10465594"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292703"	2019	"10"	"bovenv"
"117"	"SRR10465595"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292706"	2019	"10"	"bovenv"
"118"	"SRR10465596"	"USA:MN"	"5"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292708"	2019	"10"	"bovenv"
"119"	"SRR10465603"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13292701"	2019	"10"	"bovenv"
"120"	"SRR10489463"	"USA"	"7"	2019	"PULSENET"	"clinical/host-associated"	"Blood"	"human"	"PRJNA230403"	"SAMN13326446"	2019	"10"	"humall"
"121"	"SRR10491305"	"USA"	"9"	2019	"PULSENET"	"clinical/host-associated"	"Not Specified"	"human"	"PRJNA230403"	"SAMN13330832"	2019	"10"	"humall"
"122"	"SRR10493604"	"USA:ID"	"10"	2019	"USDA-FSIS"	"env/food/other"	"Beef"	"bovine"	"PRJNA242847"	"SAMN13326217"	2019	"10"	"bovenv"
