Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10027107	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10027107_seqsero	SRR10027107_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10027407	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10027407_seqsero	SRR10027407_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10027552	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10027552_seqsero	SRR10027552_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10027554	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10027554_seqsero	SRR10027554_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10028757	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10028757_seqsero	SRR10028757_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10031119	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10031119_seqsero	SRR10031119_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10032843	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10032843_seqsero	SRR10032843_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10037224	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10037224_seqsero	SRR10037224_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10037225	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10037225_seqsero	SRR10037225_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10037239	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10037239_seqsero	SRR10037239_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10037243	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10037243_seqsero	SRR10037243_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10037353	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10037353_seqsero	SRR10037353_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10049737	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10049737_seqsero	SRR10049737_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10060559	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10060559_seqsero	SRR10060559_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10063213	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10063213_seqsero	SRR10063213_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10068688	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10068688_seqsero	SRR10068688_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10084388	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10084388_seqsero	SRR10084388_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10084895	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10084895_seqsero	SRR10084895_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10096074	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10096074_seqsero	SRR10096074_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10113612	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10113612_seqsero	SRR10113612_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10115349	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10115349_seqsero	SRR10115349_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10126592	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10126592_seqsero	SRR10126592_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10126593	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10126593_seqsero	SRR10126593_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10126605	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10126605_seqsero	SRR10126605_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10126612	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10126612_seqsero	SRR10126612_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10126613	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10126613_seqsero	SRR10126613_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10126617	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10126617_seqsero	SRR10126617_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10137199	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10137199_seqsero	SRR10137199_assembly.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	
SRR10138335	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10138335_seqsero	SRR10138335_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10153950	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10153950_seqsero	SRR10153950_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155170	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155170_seqsero	SRR10155170_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155174	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155174_seqsero	SRR10155174_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155176	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155176_seqsero	SRR10155176_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155179	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155179_seqsero	SRR10155179_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155181	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155181_seqsero	SRR10155181_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155182	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155182_seqsero	SRR10155182_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10155184	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10155184_seqsero	SRR10155184_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10164593	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10164593_seqsero	SRR10164593_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10165306	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10165306_seqsero	SRR10165306_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10165308	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10165308_seqsero	SRR10165308_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10165309	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10165309_seqsero	SRR10165309_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10165346	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10165346_seqsero	SRR10165346_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10166181	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10166181_seqsero	SRR10166181_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10176078	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10176078_seqsero	SRR10176078_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10186809	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10186809_seqsero	SRR10186809_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10211355	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10211355_seqsero	SRR10211355_assembly.fasta	-	l,z28	l,z13,z28	Salmonella enterica subspecies enterica (subspecies I)	-:l,z28:l,z13,z28	I -:l,z28:l,z13,z28	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10218548	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10218548_seqsero	SRR10218548_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222526	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222526_seqsero	SRR10222526_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222529	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222529_seqsero	SRR10222529_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222530	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222530_seqsero	SRR10222530_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222567	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222567_seqsero	SRR10222567_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222602	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222602_seqsero	SRR10222602_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222641	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222641_seqsero	SRR10222641_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10222642	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10222642_seqsero	SRR10222642_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10240819	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10240819_seqsero	SRR10240819_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10246259	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10246259_seqsero	SRR10246259_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10254989	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10254989_seqsero	SRR10254989_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10257879	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10257879_seqsero	SRR10257879_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10258286	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10258286_seqsero	SRR10258286_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10258289	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10258289_seqsero	SRR10258289_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10258362	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10258362_seqsero	SRR10258362_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269621	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269621_seqsero	SRR10269621_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269622	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269622_seqsero	SRR10269622_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269628	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269628_seqsero	SRR10269628_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269630	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269630_seqsero	SRR10269630_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269631	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269631_seqsero	SRR10269631_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269633	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269633_seqsero	SRR10269633_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269634	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269634_seqsero	SRR10269634_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10269673	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10269673_seqsero	SRR10269673_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10286960	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10286960_seqsero	SRR10286960_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10287053	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10287053_seqsero	SRR10287053_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10287065	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10287065_seqsero	SRR10287065_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10287713	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10287713_seqsero	SRR10287713_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10298208	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10298208_seqsero	SRR10298208_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR1030845	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR1030845_seqsero	SRR1030845_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10325385	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10325385_seqsero	SRR10325385_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10335944	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10335944_seqsero	SRR10335944_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10341301	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10341301_seqsero	SRR10341301_assembly.fasta	-	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	-:g,p:-	I -:g,p:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
SRR10343288	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10343288_seqsero	SRR10343288_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
SRR10343295	/storage/home/smk459/scratch/dub-omics/1.5-seroentero/seqsero/SRR10343295_seqsero	SRR10343295_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
